"Date","131 m","156 m","186 m","222 m","266 m","763 m","1062 m"
1993-01-01,8.39,8.45,9.55,9.08,8.17,4.17,3.72
1993-01-02,8.47,8.61,9.58,9.06,8.33,4.19,3.74
1993-01-03,8.56,8.85,9.58,9.04,8.5,4.23,3.76
1993-01-04,8.54,8.89,9.49,9.02,8.54,4.29,3.8
1993-01-05,8.46,8.97,9.24,8.84,8.47,4.35,3.84
1993-01-06,8.69,8.94,9.06,8.63,8.25,4.44,3.89
1993-01-07,8.91,8.94,9.08,8.76,8.28,4.53,3.95
1993-01-08,8.82,9.01,9,8.8,8.32,4.6,4.01
1993-01-09,8.81,8.98,8.92,8.76,8.34,4.67,4.06
1993-01-10,8.63,8.89,8.82,8.78,8.37,4.7,4.09
1993-01-11,8.34,8.62,8.69,8.68,8.35,4.73,4.11
1993-01-12,8.23,8.43,8.58,8.51,8.27,4.76,4.13
1993-01-13,8.27,8.39,8.53,8.43,8.18,4.8,4.15
1993-01-14,8.33,8.46,8.52,8.37,8.07,4.78,4.16
1993-01-15,8.38,8.58,8.57,8.38,7.97,4.77,4.16
1993-01-16,8.37,8.61,8.63,8.34,7.92,4.74,4.16
1993-01-17,8.44,8.73,8.73,8.34,7.92,4.72,4.15
1993-01-18,8.47,8.86,8.77,8.36,7.87,4.7,4.14
1993-01-19,8.58,8.81,8.73,8.29,7.68,4.68,4.13
1993-01-20,8.93,8.84,8.94,8.43,7.61,4.66,4.11
1993-01-21,8.91,8.98,9.16,8.59,7.67,4.67,4.09
1993-01-22,8.58,8.98,9.18,8.61,7.73,4.66,4.06
1993-01-23,8.38,8.75,9.15,8.55,7.79,4.64,4.03
1993-01-24,8.31,8.57,9.05,8.47,7.78,4.63,3.99
1993-01-25,8.26,8.59,8.94,8.42,7.79,4.66,3.99
1993-01-26,8.27,8.9,8.77,8.39,7.84,4.73,3.99
1993-01-27,8.5,8.97,8.82,8.36,7.87,4.8,4
1993-01-28,8.57,8.96,8.76,8.27,7.95,4.82,4.02
1993-01-29,8.58,8.88,8.64,7.86,7.91,4.88,4.04
1993-01-30,8.83,8.85,8.51,7.75,7.8,4.92,4.07
1993-01-31,8.93,8.84,8.15,7.73,7.63,4.94,4.09
1993-02-01,8.98,8.96,8.14,7.89,7.67,4.95,4.11
1993-02-02,8.69,8.99,8.13,8.03,7.79,4.91,4.1
