"Date","22 m","47 m","78 m","110 m","131 m"
1993-01-01,6.04,6.14,6.28,7.83,7.55
1993-01-02,5.62,5.84,5.98,7.75,7.37
1993-01-03,5.1,5.46,5.41,7.62,7.16
1993-01-04,5.21,5.3,5.3,7.51,6.99
1993-01-05,5,5.04,5.47,7.05,6.77
1993-01-06,4.94,5.21,5.97,6.5,6.69
1993-01-07,5.04,5.63,6.07,5.94,6.81
1993-01-08,4.95,5.79,6.04,5.79,6.96
1993-01-09,4.79,5.76,6,5.75,6.98
1993-01-10,4.5,5.65,5.96,5.73,6.96
1993-01-11,4.4,5.58,5.95,5.82,6.97
1993-01-12,4.46,5.6,5.98,5.85,6.92
1993-01-13,4.64,5.66,6,5.84,6.75
1993-01-14,4.63,5.59,5.87,5.83,6.58
1993-01-15,4.44,5.41,5.49,5.72,6.29
1993-01-16,4.21,4.87,5.03,5.34,5.52
1993-01-17,4.18,4.91,5.32,4.92,5.19
1993-01-18,4.3,5.36,5.51,4.86,5.26
1993-01-19,3.96,5.61,5.51,5.02,5.32
1993-01-20,4.44,5.48,5.5,5.13,5.38
1993-01-21,4.1,5.29,5.49,5.18,5.49
1993-01-22,3.89,5.21,5.45,5.22,5.65
1993-01-23,4.05,5.26,5.43,5.25,5.61
1993-01-24,4.22,5.41,5.42,5.3,5.52
1993-01-25,4.31,5.39,5.32,5.32,5.45
1993-01-26,3.92,5.19,5.16,5.31,5.37
1993-01-27,3.89,4.89,4.97,5.28,5.39
1993-01-28,3.85,4.57,4.95,5.29,5.44
1993-01-29,3.54,4.2,4.97,5.35,5.46
1993-01-30,3.4,4.14,4.51,5.38,5.28
1993-01-31,3.14,4.17,4.3,5.36,5.32
1993-02-01,3.27,3.99,4.32,5.41,5.17
1993-02-02,3.13,3.73,4.3,5.42,4.55
1993-02-03,3.17,3.53,4.23,5.22,4.13
1993-02-04,2.97,3.5,3.93,4.66,3.84
1993-02-05,2.54,3.5,4.19,4.15,3.83
1993-02-06,2.62,4.05,4.44,3.88,4.17
1993-02-07,2.79,4.19,4.51,4.05,4.24
1993-02-08,2.78,4.18,4.44,4.25,4.16
1993-02-09,2.24,3.97,4.1,4.28,4.04
1993-02-10,2.38,3.25,3.69,4.2,3.84
1993-02-11,2.2,2.76,3.7,3.97,3.74
1993-02-12,2.22,2.9,3.84,3.82,3.79
1993-02-13,2.33,3.25,3.91,3.76,3.86
1993-02-14,2.51,3.6,3.88,3.82,3.86
1993-02-15,2.54,3.58,3.88,3.83,3.82
1993-02-16,2.71,3.58,3.83,3.81,3.81
1993-02-17,2.84,3.48,3.75,3.76,3.78
1993-02-18,2.77,3.37,3.67,3.7,3.73
1993-02-19,2.64,3.21,3.61,3.63,3.67
1993-02-20,2.5,3.08,3.54,3.59,3.64
1993-02-21,2.29,2.94,3.45,3.58,3.61
1993-02-22,2.16,2.76,3.35,3.55,3.58
1993-02-23,2.3,2.8,3.13,3.53,3.49
1993-02-24,2.37,2.8,2.77,3.43,3.3
1993-02-25,2.33,2.67,2.49,3.23,3.08
1993-02-26,2.02,2.36,2.41,3.05,2.98
1993-02-27,1.86,2.01,2.41,2.94,2.97
1993-02-28,1.78,1.85,2.42,2.93,2.93
1993-03-01,1.51,1.8,2.4,3,2.95
1993-03-02,1.39,1.88,2.37,3.04,2.93
1993-03-03,1.4,1.98,2.31,3.03,2.86
1993-03-04,1.52,2.1,2.14,2.89,2.72
1993-03-05,1.59,2.02,2.08,2.64,2.6
1993-03-06,1.48,1.94,2.22,2.35,2.49
1993-03-07,1.4,2.36,2.51,2.21,2.46
1993-03-08,1.39,2.57,2.56,2.39,2.43
1993-03-09,1.6,2.54,2.52,2.48,2.45
1993-03-10,1.61,2.39,2.31,2.43,2.4
1993-03-11,1.51,2.23,2.21,2.34,2.35
1993-03-12,1.39,2.19,2.17,2.25,2.32
1993-03-13,1.24,2.23,2.2,2.16,2.31
