"Date","16 m","22 m"
1993-01-01,1.91,2.05
1993-01-02,1.84,2.08
1993-01-03,1.25,1.67
1993-01-04,1,1.41
1993-01-05,0.99,1.32
1993-01-06,1.21,1.45
1993-01-07,1.27,1.45
1993-01-08,1.31,1.45
1993-01-09,1.19,1.32
1993-01-10,0.86,1.1
1993-01-11,0.66,0.99
1993-01-12,0.43,0.78
1993-01-13,0.32,0.67
1993-01-14,0.19,0.47
1993-01-15,0,0.33
1993-01-16,-0.11,0.22
1993-01-17,-0.2,0.12
1993-01-18,-0.22,0.06
1993-01-19,-0.51,-0.14
1993-01-20,-0.82,-0.43
1993-01-21,-0.9,-0.62
1993-01-22,-0.98,-0.66
1993-01-23,-1.04,-0.69
1993-01-24,-0.91,-0.59
1993-01-25,-0.77,-0.46
1993-01-26,-0.63,-0.21
1993-01-27,-0.46,0.04
1993-01-28,-0.45,-0.11
1993-01-29,-0.43,-0.1
1993-01-30,-0.44,-0.03
1993-01-31,-0.48,0.04
1993-02-01,-0.53,-0.14
1993-02-02,-0.85,-0.58
1993-02-03,-1.09,-1.04
1993-02-04,-1.19,-1.14
1993-02-05,-1.22,-1.18
1993-02-06,-1.28,-1.19
1993-02-07,-1.33,-1.25
1993-02-08,-1.35,-1.28
1993-02-09,-1.4,-1.32
1993-02-10,-1.42,-1.36
1993-02-11,-1.44,-1.38
1993-02-12,-1.44,-1.4
1993-02-13,-1.46,-1.41
1993-02-14,-1.49,-1.43
1993-02-15,-1.49,-1.42
1993-02-16,-1.45,-1.4
1993-02-17,-1.47,-1.42
1993-02-18,-1.45,-1.36
1993-02-19,-1.36,-1.25
1993-02-20,-1.39,-1.31
1993-02-21,-1.34,-1.25
1993-02-22,-1.33,-1.27
1993-02-23,-1.31,-1.28
1993-02-24,-1.26,-1.24
1993-02-25,-1.21,-1.17
1993-02-26,-1.23,-1.18
1993-02-27,-1.27,-1.22
1993-02-28,-1.33,-1.27
1993-03-01,-1.4,-1.37
1993-03-02,-1.35,-1.34
1993-03-03,-1.34,-1.29
1993-03-04,-1.22,-1.19
1993-03-05,-1.18,-1.17
1993-03-06,-1.32,-1.31
1993-03-07,-1.33,-1.34
1993-03-08,-1.26,-1.27
1993-03-09,-1.13,-1.16
1993-03-10,-1.07,-1.12
1993-03-11,-1.09,-1.14
1993-03-12,-1.19,-1.21
1993-03-13,-1.19,-1.24
1993-03-14,-1.2,-1.27
1993-03-15,-1.01,-1.07
1993-03-16,-1.03,-0.98
1993-03-17,-0.95,-0.95
1993-03-18,-0.59,-0.69
1993-03-19,-0.78,-0.69
1993-03-20,-0.81,-0.71
1993-03-21,-0.7,-0.67
1993-03-22,-0.65,-0.7
1993-03-23,-0.51,-0.67
1993-03-24,-0.42,-0.59
1993-03-25,-0.37,-0.57
1993-03-26,-0.18,-0.57
1993-03-27,-0.09,-0.55
1993-03-28,-0.02,-0.51
1993-03-29,0.08,-0.5
1993-03-30,0.34,-0.32
1993-03-31,0.49,0.08
1993-04-01,0.37,0.07
1993-04-02,0.34,0.03
1993-04-03,0.29,-0.02
1993-04-04,0.21,-0.08
1993-04-05,0.13,-0.11
1993-04-06,0.2,-0.07
1993-04-07,0.28,-0.03
1993-04-08,0.36,-0.02
1993-04-09,0.46,0.01
1993-04-10,0.65,0.08
1993-04-11,0.89,0.32
1993-04-12,0.96,0.5
1993-04-13,0.76,0.51
1993-04-14,0.09,0.33
1993-04-15,-0.09,0.07
1993-04-16,-0.06,-0.13
1993-04-17,0.03,-0.13
1993-04-18,0.32,-0.03
1993-04-19,0.54,-0.07
1993-04-20,0.8,-0.05
1993-04-21,1.17,-0.04
1993-04-22,1.52,0.06
1993-04-23,1.75,0.3
1993-04-24,1.88,0.47
1993-04-25,1.73,0.56
1993-04-26,1.84,0.73
1993-04-27,1.92,0.48
1993-04-28,1.55,0.73
1993-04-29,1.81,1.12
1993-04-30,1.76,1.32
1993-05-01,1.62,1.26
1993-05-02,1.62,1.25
1993-05-03,1.79,1.36
1993-05-04,2.08,1.48
1993-05-05,2.22,1.25
1993-05-06,2.69,1.19
1993-05-07,2.84,1.07
1993-05-08,2.73,1.23
1993-05-09,2.7,1.33
1993-05-10,2.67,1.5
1993-05-11,2.65,1.71
1993-05-12,2.75,1.94
1993-05-13,2.99,2.53
1993-05-14,3.08,2.78
1993-05-15,3.09,2.83
1993-05-16,3.15,2.86
1993-05-17,3.21,2.67
1993-05-18,3.23,2.32
1993-05-19,3.13,2.2
1993-05-20,3.06,2.2
1993-05-21,3.11,2.25
1993-05-22,3.26,2.23
1993-05-23,3.25,2.22
1993-05-24,3.28,2.24
1993-05-25,3.18,2.14
1993-05-26,3.13,2.07
1993-05-27,3.07,2.1
1993-05-28,3.04,2.19
1993-05-29,3.13,2.35
1993-05-30,3.3,2.56
1993-05-31,3.97,2.89
1993-06-01,5.02,3.52
1993-06-02,5.28,4.07
1993-06-03,4.93,3.46
1993-06-04,4.84,3.32
1993-06-05,4.53,3.24
1993-06-06,4.6,3.21
1993-06-07,4.94,3.38
1993-06-08,5.01,3.5
1993-06-09,4.94,3.62
1993-06-10,4.91,3.61
1993-06-11,5.14,3.76
1993-06-12,5.56,4.11
1993-06-13,6.26,4.83
1993-06-14,6.36,5.02
1993-06-15,6.37,5.13
1993-06-16,6.51,5.27
1993-06-17,6.57,5.15
1993-06-18,6.54,5.19
1993-06-19,6.4,5.07
1993-06-20,6.3,4.95
1993-06-21,6.51,4.94
