date,Bottom Temperature (oC) 
2016-01-01,NaN
2016-01-02,NaN
2016-01-03,NaN
2016-01-04,NaN
2016-01-05,NaN
2016-01-06,3.80
2016-01-07,3.75
2016-01-08,3.69
2016-01-09,3.63
2016-01-10,3.59
2016-01-11,3.57
2016-01-12,3.61
2016-01-13,3.73
2016-01-14,3.76
2016-01-15,3.80
2016-01-16,3.69
2016-01-17,3.58
2016-01-18,3.48
2016-01-19,3.46
2016-01-20,3.47
2016-01-21,3.43
2016-01-22,3.25
2016-01-23,3.08
2016-01-24,2.99
2016-01-25,2.97
2016-01-26,2.97
2016-01-27,2.98
2016-01-28,3.07
2016-01-29,3.15
2016-01-30,3.17
2016-01-31,3.23
2016-02-01,3.26
2016-02-02,3.32
2016-02-03,3.40
2016-02-04,3.36
2016-02-05,3.31
2016-02-06,3.30
2016-02-07,3.31
2016-02-08,3.23
2016-02-09,3.16
2016-02-10,3.04
2016-02-11,3.08
2016-02-12,3.06
2016-02-13,3.04
2016-02-14,3.01
2016-02-15,2.96
2016-02-16,2.89
2016-02-17,2.80
2016-02-18,2.84
2016-02-19,2.92
2016-02-20,2.98
2016-02-21,2.99
2016-02-22,3.03
2016-02-23,3.10
2016-02-24,3.05
2016-02-25,3.01
2016-02-26,3.07
2016-02-27,3.19
2016-02-28,3.28
2016-02-29,3.28
2016-03-01,3.24
2016-03-02,3.26
2016-03-03,3.21
2016-03-04,3.27
2016-03-05,3.18
2016-03-06,2.99
2016-03-07,2.76
2016-03-08,2.73
2016-03-09,2.78
2016-03-10,2.69
2016-03-11,2.69
2016-03-12,2.68
2016-03-13,2.66
2016-03-14,2.69
2016-03-15,2.65
2016-03-16,2.68
2016-03-17,2.73
2016-03-18,2.81
2016-03-19,2.89
2016-03-20,2.96
2016-03-21,2.92
2016-03-22,2.82
2016-03-23,2.87
2016-03-24,2.70
2016-03-25,2.56
2016-03-26,2.44
2016-03-27,2.46
2016-03-28,2.50
2016-03-29,2.56
2016-03-30,2.68
2016-03-31,2.75
2016-04-01,2.77
2016-04-02,2.81
2016-04-03,2.89
2016-04-04,2.94
2016-04-05,2.96
2016-04-06,2.72
2016-04-07,2.54
2016-04-08,2.36
2016-04-09,2.41
2016-04-10,2.63
2016-04-11,2.82
2016-04-12,2.90
2016-04-13,2.87
2016-04-14,2.90
2016-04-15,2.95
2016-04-16,3.01
2016-04-17,3.01
2016-04-18,3.04
2016-04-19,3.10
2016-04-20,3.16
2016-04-21,3.22
2016-04-22,3.19
2016-04-23,3.16
2016-04-24,3.23
2016-04-25,3.32
2016-04-26,3.32
2016-04-27,3.29
2016-04-28,3.24
2016-04-29,3.24
2016-04-30,3.19
2016-05-01,3.17
2016-05-02,3.18
2016-05-03,3.20
2016-05-04,3.27
2016-05-05,3.36
2016-05-06,3.45
2016-05-07,3.54
2016-05-08,3.62
2016-05-09,3.67
2016-05-10,3.73
2016-05-11,3.80
2016-05-12,3.82
2016-05-13,3.80
2016-05-14,3.74
2016-05-15,3.71
2016-05-16,3.73
2016-05-17,3.80
2016-05-18,3.88
2016-05-19,3.91
2016-05-20,3.89
2016-05-21,3.90
2016-05-22,3.93
2016-05-23,3.98
2016-05-24,3.99
2016-05-25,3.98
2016-05-26,4.00
2016-05-27,4.03
2016-05-28,4.05
2016-05-29,4.07
2016-05-30,4.08
2016-05-31,4.10
2016-06-01,4.16
2016-06-02,4.21
2016-06-03,4.19
2016-06-04,4.15
2016-06-05,4.16
2016-06-06,4.20
2016-06-07,4.23
2016-06-08,4.25
2016-06-09,4.32
2016-06-10,4.40
2016-06-11,4.45
2016-06-12,4.43
2016-06-13,4.38
2016-06-14,4.38
2016-06-15,4.41
2016-06-16,4.41
2016-06-17,4.31
2016-06-18,4.19
2016-06-19,4.13
2016-06-20,4.17
2016-06-21,4.20
2016-06-22,4.17
2016-06-23,4.19
2016-06-24,4.20
2016-06-25,4.17
2016-06-26,4.10
2016-06-27,4.02
2016-06-28,3.95
2016-06-29,3.93
2016-06-30,3.91
2016-07-01,3.89
2016-07-02,3.89
2016-07-03,3.89
2016-07-04,3.92
2016-07-05,3.96
2016-07-06,3.98
2016-07-07,3.99
2016-07-08,3.98
2016-07-09,3.97
2016-07-10,4.00
2016-07-11,4.04
2016-07-12,4.08
2016-07-13,4.16
2016-07-14,4.19
2016-07-15,4.16
2016-07-16,4.15
2016-07-17,4.19
2016-07-18,4.18
2016-07-19,4.14
2016-07-20,4.11
2016-07-21,4.09
2016-07-22,4.07
2016-07-23,4.04
2016-07-24,4.03
2016-07-25,4.06
2016-07-26,4.08
2016-07-27,4.08
2016-07-28,4.08
2016-07-29,4.09
2016-07-30,4.09
2016-07-31,4.11
2016-08-01,4.13
2016-08-02,4.14
2016-08-03,4.15
2016-08-04,4.16
2016-08-05,4.18
2016-08-06,4.21
2016-08-07,4.23
