"Date","25 m","29 m","34 m"
1993-01-01,3.03,3.05,3.8
1993-01-02,3.18,3.32,3.69
1993-01-03,3.46,3.66,3.66
1993-01-04,3.61,3.84,3.71
1993-01-05,3.85,3.88,3.81
1993-01-06,3.85,3.65,3.98
1993-01-07,3.75,3.31,4.03
1993-01-08,3.54,2.87,3.81
1993-01-09,3.28,2.73,3.58
1993-01-10,3.07,2.84,3.47
1993-01-11,2.89,2.95,3.43
1993-01-12,2.97,3.09,3.42
1993-01-13,3.05,3.13,3.4
1993-01-14,3.03,3.08,3.37
1993-01-15,2.79,2.85,3.36
1993-01-16,2.71,2.52,3.32
1993-01-17,2.65,2.23,3.27
1993-01-18,2.56,1.97,3.17
1993-01-19,2.57,2.17,2.99
1993-01-20,2.35,2.5,2.89
1993-01-21,2.38,2.4,2.84
1993-01-22,2.31,2.08,2.77
1993-01-23,1.95,1.32,2.57
1993-01-24,1.19,0.66,2.21
1993-01-25,0.65,0.68,1.92
1993-01-26,1.48,1.6,1.85
1993-01-27,2,2.23,1.91
1993-01-28,2.15,1.99,2.08
1993-01-29,2.07,1.51,2.17
1993-01-30,1.63,1.01,2.02
1993-01-31,1.38,1.2,1.86
1993-02-01,1.3,1.13,1.7
1993-02-02,1.04,0.86,1.62
1993-02-03,0.74,0.51,1.63
1993-02-04,0.62,0.29,1.61
1993-02-05,0.74,0.43,1.62
1993-02-06,0.97,0.69,1.68
1993-02-07,1.06,0.8,1.75
1993-02-08,0.89,0.64,1.59
1993-02-09,0.7,0.59,1.48
1993-02-10,0.62,0.45,1.35
1993-02-11,0.45,0.15,1.07
1993-02-12,0.21,-0.1,0.78
1993-02-13,-0.31,-0.65,0.38
1993-02-14,-0.8,-0.85,-0.1
1993-02-15,-0.77,-0.8,-0.24
1993-02-16,-0.63,-0.67,-0.14
1993-02-17,-0.74,-0.7,-0.04
1993-02-18,-0.59,-0.52,0.03
1993-02-19,-0.56,-0.57,-0.06
1993-02-20,-0.51,-0.48,-0.06
1993-02-21,-0.34,-0.07,0.03
1993-02-22,-0.14,0.17,0.13
1993-02-23,-0.03,0.01,0.34
1993-02-24,-0.13,-0.24,0.49
1993-02-25,-0.15,-0.36,0.5
1993-02-26,-0.14,-0.29,0.37
1993-02-27,-0.07,-0.13,0.39
1993-02-28,-0.07,-0.11,0.51
1993-03-01,-0.24,-0.32,0.59
1993-03-02,-0.35,-0.35,0.61
1993-03-03,-0.16,-0.1,0.62
1993-03-04,0.06,0.13,0.67
1993-03-05,0.1,0.12,0.67
1993-03-06,-0.26,-0.31,0.45
1993-03-07,-0.56,-0.63,0.25
1993-03-08,-0.45,-0.39,0.27
1993-03-09,-0.28,-0.16,0.3
1993-03-10,-0.25,-0.22,0.21
1993-03-11,-0.34,-0.36,0.19
1993-03-12,-0.4,-0.46,0.22
1993-03-13,-0.14,-0.24,0.33
1993-03-14,-0.26,-0.42,0.28
1993-03-15,-0.4,-0.62,0.25
1993-03-16,-0.34,-0.53,0.17
1993-03-17,-0.33,-0.55,-0.08
1993-03-18,-0.24,-0.59,-0.09
1993-03-19,-0.33,-0.55,-0.13
1993-03-20,-0.52,-0.65,-0.16
1993-03-21,-0.61,-0.63,-0.17
1993-03-22,-0.54,-0.55,-0.15
1993-03-23,-0.41,-0.35,-0.1
1993-03-24,-0.27,-0.17,-0.04
1993-03-25,-0.18,-0.19,0.04
