"Date","40 m","47 m","56 m","66 m","78 m","92 m","110 m","131 m","156 m"
1993-01-01,5.75,5.95,6.84,7.28,7.54,8.13,8.65,8.92,8.86
1993-01-02,5.68,5.96,6.94,7.35,7.56,8.14,8.6,9.01,8.8
1993-01-03,5.65,5.65,6.87,7.38,7.58,8.1,8.6,9.1,8.7
1993-01-04,5.55,5.5,6.77,7.35,7.53,8,8.56,9.09,8.68
1993-01-05,5.56,5.5,6.86,7.37,7.53,8.08,8.54,9.07,8.56
1993-01-06,5.55,5.46,6.75,7.42,7.6,8.14,8.53,9.21,8.49
1993-01-07,5.48,5.47,6.26,7.39,7.59,8.06,8.58,9.25,8.46
1993-01-08,5.45,5.41,6.28,7.33,7.5,8.03,8.63,9.14,8.34
1993-01-09,5.3,5.29,6.11,7.18,7.39,7.99,8.63,9.01,8.32
1993-01-10,5.04,5.09,5.9,7.09,7.3,7.89,8.6,8.88,8.43
1993-01-11,4.88,4.95,5.73,6.98,7.22,7.82,8.57,8.83,8.56
1993-01-12,4.78,4.81,5.67,6.89,7.18,7.81,8.56,8.84,8.58
1993-01-13,4.67,4.66,5.74,6.86,7.19,7.82,8.56,8.91,8.62
1993-01-14,4.43,4.43,5.44,6.85,7.27,7.88,8.59,9.03,8.66
1993-01-15,4,4.1,5.16,6.9,7.34,7.92,8.6,9.11,8.74
1993-01-16,3.87,4,5.17,6.91,7.44,8.05,8.72,9.18,8.76
1993-01-17,3.84,3.93,5.03,6.84,7.55,8.17,8.82,9.33,8.8
1993-01-18,3.67,3.76,4.8,6.83,7.64,8.23,8.88,9.5,8.81
1993-01-19,3.54,3.62,4.67,6.83,7.78,8.39,9.02,9.51,8.85
1993-01-20,3.15,3.28,4.39,6.9,7.87,8.45,9.09,9.56,8.78
1993-01-21,2.8,3,4.28,6.99,7.83,8.33,9.03,9.56,8.79
1993-01-22,2.69,2.92,4.15,6.98,7.8,8.21,8.94,9.44,8.9
1993-01-23,2.74,2.92,4.07,6.94,7.77,8.14,8.94,9.37,8.93
1993-01-24,2.94,3.05,4.2,6.85,7.77,8.04,8.94,9.32,8.95
1993-01-25,3.17,3.16,4.27,6.79,7.78,7.98,8.98,9.33,8.92
1993-01-26,3.28,3.26,4.14,6.8,7.81,7.98,9.04,9.37,8.96
1993-01-27,3.15,3.21,4.24,6.81,7.8,8,9.08,9.37,9.05
1993-01-28,2.98,3.09,4.02,6.7,7.74,7.9,9.05,9.35,8.94
1993-01-29,2.98,3.14,3.94,6.69,7.75,7.92,9.11,9.19,8.71
1993-01-30,2.97,3.15,3.75,6.59,7.74,7.96,9.08,9.19,8.48
1993-01-31,2.75,2.95,3.88,6.61,7.78,8.04,9.02,9.42,8.39
1993-02-01,2.45,2.77,3.51,6.55,7.72,8.05,8.95,9.5,8.54
