"Date","222 m","318 m","380 m","902 m","1245 m"
1993-01-01,8.7,7.57,7.53,3.77,3.53
1993-01-02,8.63,6.83,7.09,3.78,3.54
1993-01-03,8.68,7.14,7.2,3.76,3.54
1993-01-04,8.9,7.71,7.65,3.74,3.55
1993-01-05,8.52,6.93,6.87,3.76,3.57
1993-01-06,7.48,6.68,6.43,3.77,3.58
1993-01-07,7.54,6.97,6.98,3.75,3.58
1993-01-08,7.8,7.23,7.26,3.7,3.57
1993-01-09,8.03,6.76,7.18,3.65,3.56
1993-01-10,8.28,7.44,7.64,3.64,3.54
1993-01-11,8.61,6.88,7.9,3.66,3.52
1993-01-12,8.75,6.13,7.26,3.67,3.5
1993-01-13,8.96,6.37,7.25,3.67,3.48
1993-01-14,9.3,6.51,7.69,3.65,3.48
1993-01-15,9.39,6.52,8.56,3.62,3.48
1993-01-16,9.16,5.95,8.04,3.63,3.49
1993-01-17,9.34,6.19,7.28,3.67,3.5
1993-01-18,9.43,6.51,7.82,3.68,3.52
1993-01-19,9.61,5.65,6.55,3.72,3.54
1993-01-20,9.85,6.03,7.31,3.72,3.55
1993-01-21,9.66,6.69,7.7,3.73,3.55
1993-01-22,9.62,7.19,8.68,3.74,3.56
1993-01-23,9.83,6.95,8.32,3.79,3.56
1993-01-24,9.99,6.92,7.44,3.8,3.53
1993-01-25,9.92,7.24,7.65,3.77,3.5
1993-01-26,8.62,6.15,6.71,3.77,3.47
1993-01-27,7.54,6.21,6.95,3.75,3.46
1993-01-28,8.44,7.21,7.53,3.72,3.46
1993-01-29,8.6,6.51,7.13,3.75,3.49
1993-01-30,7.88,6.17,6.56,3.78,3.51
1993-01-31,7.17,6.07,5.6,3.81,3.51
1993-02-01,7.3,6.25,6.37,3.8,3.5
1993-02-02,7.66,7.16,7.04,3.78,3.49
1993-02-03,8.34,8.43,7.87,3.74,3.46
1993-02-04,8.88,7.45,7.88,3.72,3.43
1993-02-05,9.02,6.07,7.19,3.71,3.39
1993-02-06,9.24,6.52,7.21,3.65,3.34
1993-02-07,9.28,6.79,7.23,3.63,3.3
1993-02-08,9.36,7.45,8.08,3.58,3.26
1993-02-09,9.69,6.19,7.2,3.61,3.25
1993-02-10,9.82,7.02,7.68,3.63,3.25
1993-02-11,9.77,6.69,7.62,3.65,3.26
1993-02-12,9.73,6.63,7.5,3.72,3.29
1993-02-13,9.72,7.85,8.93,3.72,3.3
1993-02-14,9.14,5.83,7.41,3.74,3.31
1993-02-15,8.03,5.59,5.41,3.78,3.33
1993-02-16,8.34,5.83,6.38,3.72,3.35
1993-02-17,8.66,6.41,6.84,3.68,3.37
1993-02-18,7.59,6.19,5.8,3.65,3.38
1993-02-19,6.39,5.94,5.88,3.63,3.41
1993-02-20,7.04,6.53,6.51,3.59,3.45
1993-02-21,7.59,6.13,6.27,3.59,3.5
1993-02-22,7.28,6.1,6.4,3.62,3.56
1993-02-23,7.42,6.22,6.52,3.66,3.6
1993-02-24,7.37,6.13,6.46,3.71,3.64
1993-02-25,7.08,6.14,6.43,3.8,3.7
1993-02-26,7.13,6.44,6.5,3.87,3.75
1993-02-27,7.4,6.97,6.71,3.91,3.75
1993-02-28,7.61,7.22,6.91,3.93,3.7
1993-03-01,7.63,7.68,7.23,3.92,3.61
1993-03-02,7.84,6.2,7.1,3.93,3.56
1993-03-03,7.89,5.61,6.52,3.95,3.54
1993-03-04,8.04,6.09,6.69,3.93,3.53
1993-03-05,8.24,6.52,6.96,3.95,3.53
1993-03-06,8.38,6.96,7.69,3.94,3.52
1993-03-07,8.41,5.28,7.17,3.98,3.54
1993-03-08,8.16,5.44,5.79,4.06,3.58
1993-03-09,7.54,5.67,5.8,4.12,3.62
1993-03-10,7.74,6.06,6.2,4.11,3.61
1993-03-11,7.55,6.23,5.76,4.09,3.62
1993-03-12,8.08,5.8,5.12,4.08,3.63
1993-03-13,7.83,5.02,5.08,4.11,3.67
1993-03-14,7.11,5.03,5.84,4.1,3.7
1993-03-15,5.44,4.63,4.81,4.15,3.71
1993-03-16,4.5,4.72,4.66,4.25,3.78
1993-03-17,4.76,4.67,4.98,4.28,3.84
1993-03-18,5.13,4.85,5.08,4.3,3.88
1993-03-19,5.06,4.92,5.05,4.33,3.9
1993-03-20,5.59,5.25,5.56,4.33,3.92
1993-03-21,5.83,5.61,5.74,4.37,3.97
1993-03-22,6.08,5.94,6.01,4.42,4.02
1993-03-23,6.35,6.21,6.21,4.43,4.03
1993-03-24,6.59,6.17,6.32,4.41,4.06
1993-03-25,6.79,6.14,6.4,4.32,4.12
1993-03-26,6.93,5.74,6.09,4.18,4.12
1993-03-27,6.96,5.63,5.52,4.18,4.07
1993-03-28,6.94,5.65,5.48,4.17,3.96
1993-03-29,7,5.8,5.6,4.19,3.81
1993-03-30,7.11,6.09,5.92,4.24,3.72
1993-03-31,7.23,6.4,6.35,4.25,3.7
1993-04-01,7.39,6.69,6.76,4.27,3.71
1993-04-02,7.52,6.77,7.02,4.29,3.71
1993-04-03,7.66,6.6,7.16,4.31,3.69
1993-04-04,7.73,6.86,7.23,4.33,3.67
1993-04-05,7.79,7.06,7.61,4.34,3.69
1993-04-06,7.82,7.22,7.93,4.34,3.69
1993-04-07,7.85,7.38,8.09,4.35,3.68
1993-04-08,7.89,7.53,8.49,4.35,3.67
1993-04-09,7.86,7.67,8.5,4.39,3.7
1993-04-10,7.84,7.91,8.57,4.44,3.76
1993-04-11,7.96,8.18,8.75,4.51,3.84
1993-04-12,8.62,8.39,8.69,4.61,3.95
1993-04-13,10.06,8.56,8.68,4.71,4.05
1993-04-14,9.59,8.84,8.89,4.75,4.1
1993-04-15,9.51,8.35,8.74,4.74,4.13
1993-04-16,9.91,7.62,8.55,4.72,4.12
1993-04-17,10.62,7.35,8.35,4.68,4.11
1993-04-18,10.71,7.06,8.13,4.64,4.1
1993-04-19,10.3,7.01,7.67,4.59,4.1
1993-04-20,10.04,7.16,7.62,4.51,4.09
1993-04-21,9.76,7.12,7.34,4.46,4.04
1993-04-22,9.61,7.21,7.21,4.48,3.99
1993-04-23,9.98,7.22,6.94,4.5,3.95
1993-04-24,8.48,6.8,6.32,4.51,3.91
1993-04-25,7.24,6.52,6.23,4.53,3.88
1993-04-26,7.77,6.8,6.99,4.54,3.87
1993-04-27,8,6.49,6.28,4.59,3.88
1993-04-28,7.55,6.57,6.6,4.62,3.9
1993-04-29,8.14,7.43,7.83,4.58,3.91
1993-04-30,8.24,6.07,7.81,4.55,3.91
1993-05-01,8.34,5.99,7.21,4.53,3.9
1993-05-02,8.41,6.06,6.78,4.51,3.91
1993-05-03,8.39,6.19,6.49,4.51,3.93
1993-05-04,8.41,6.47,6.46,4.5,3.98
1993-05-05,8.2,6.33,6.25,4.47,4.05
1993-05-06,7.74,6.29,6.24,4.48,4.12
1993-05-07,7.42,6.26,6.18,4.51,4.17
1993-05-08,7.19,6.28,6.29,4.54,4.21
1993-05-09,7.52,6.56,6.45,4.56,4.24
1993-05-10,7.68,6.57,6.46,4.57,4.27
1993-05-11,7.88,6.9,6.73,4.57,4.3
1993-05-12,8.09,6.85,6.7,4.57,4.32
1993-05-13,8.15,6.93,6.77,4.55,4.34
1993-05-14,8.29,6.93,6.74,4.49,4.35
1993-05-15,8.41,6.84,6.69,4.43,4.32
1993-05-16,8.58,6.84,6.75,4.38,4.28
1993-05-17,8.66,6.51,6.56,4.34,4.25
1993-05-18,8.37,6.28,6.36,4.33,4.23
1993-05-19,8.43,6.46,6.49,4.3,4.2
1993-05-20,8.62,6.45,6.53,4.23,4.14
1993-05-21,8.79,6.52,6.59,4.15,4.07
1993-05-22,8.86,6.66,6.71,4.08,4.02
1993-05-23,9.06,6.9,6.91,4.04,3.98
1993-05-24,9.28,7.03,7.1,4.01,3.95
1993-05-25,9.37,7.05,7.19,4,3.93
1993-05-26,9.08,6.8,7.1,3.98,3.92
1993-05-27,8.6,6.53,6.93,3.91,3.88
1993-05-28,8.33,5.89,6.64,3.86,3.81
1993-05-29,8.23,5.52,6.45,3.84,3.73
1993-05-30,8.16,5.23,6.29,3.83,3.7
1993-05-31,7.83,5.26,5.85,3.8,3.7
1993-06-01,8.01,5.36,6.45,3.76,3.7
