"Date","110 m","131 m","156 m"
1993-01-01,8.22,8.16,7.92
1993-01-02,8.22,8.11,7.91
1993-01-03,8.22,8.09,7.9
1993-01-04,8.13,8.16,7.92
1993-01-05,8.23,8.15,7.93
1993-01-06,8.25,8.06,7.91
1993-01-07,8.18,8.07,7.91
1993-01-08,7.97,8.13,7.93
1993-01-09,7.86,8.14,7.94
1993-01-10,7.78,8.13,7.93
1993-01-11,7.82,8.12,7.94
1993-01-12,7.92,8.08,7.94
1993-01-13,7.85,8.04,7.94
1993-01-14,7.55,8.02,7.95
1993-01-15,7.04,7.96,7.96
1993-01-16,7.02,7.84,7.96
1993-01-17,7.07,7.75,7.93
1993-01-18,6.84,7.66,7.92
1993-01-19,6.66,7.63,7.93
1993-01-20,6.64,7.66,7.95
1993-01-21,6.55,7.65,7.94
1993-01-22,6.38,7.58,7.93
1993-01-23,6.26,7.51,7.94
1993-01-24,6.29,7.48,7.93
1993-01-25,6.33,7.44,7.91
1993-01-26,6.46,7.45,7.9
1993-01-27,6.9,7.52,7.9
1993-01-28,6.8,7.45,7.89
1993-01-29,6.48,7.42,7.91
1993-01-30,6.33,7.47,7.92
1993-01-31,6.52,7.63,7.92
1993-02-01,6.45,7.53,7.9
1993-02-02,6.17,7.26,7.86
1993-02-03,6.19,7.1,7.86
1993-02-04,6.14,7.09,7.79
1993-02-05,5.96,6.88,7.72
1993-02-06,5.8,6.72,7.72
1993-02-07,5.82,6.67,7.74
1993-02-08,5.7,6.42,7.66
1993-02-09,5.51,6.26,7.67
1993-02-10,5.58,6.42,7.75
1993-02-11,5.61,6.33,7.72
1993-02-12,5.65,6.46,7.8
1993-02-13,5.54,6.39,7.76
1993-02-14,5.11,5.92,7.59
1993-02-15,5.19,5.98,7.7
1993-02-16,5.58,6.31,7.8
1993-02-17,5.66,6.12,7.61
1993-02-18,5.29,5.88,7.61
1993-02-19,5.51,6.39,7.83
1993-02-20,5.71,6.57,7.74
1993-02-21,5.53,6.37,7.67
1993-02-22,5.18,6.32,7.71
1993-02-23,4.88,6.17,7.64
1993-02-24,4.82,6.13,7.56
1993-02-25,4.83,6.11,7.45
1993-02-26,4.87,6.09,7.48
1993-02-27,4.86,6.08,7.52
1993-02-28,4.75,6.09,7.57
1993-03-01,4.61,6.12,7.63
1993-03-02,4.51,6.07,7.67
1993-03-03,4.57,6.18,7.74
1993-03-04,4.6,6.2,7.73
1993-03-05,4.55,6.09,7.67
1993-03-06,4.32,5.66,7.38
1993-03-07,3.98,4.72,6.72
1993-03-08,3.87,4.85,6.97
1993-03-09,4.08,4.99,7.28
1993-03-10,4.15,4.92,7.12
1993-03-11,3.88,4.87,7.07
1993-03-12,3.7,4.8,7.21
1993-03-13,3.74,4.96,7.36
1993-03-14,3.58,4.85,7.1
1993-03-15,3.2,4.52,6.97
1993-03-16,3.85,5.39,7.49
1993-03-17,4.43,5.48,7.42
1993-03-18,4.52,5.36,7.29
1993-03-19,4.57,5.75,7.47
1993-03-20,4.72,5.7,7.39
1993-03-21,4.65,5.67,7.42
1993-03-22,4.56,5.75,7.48
1993-03-23,4.51,5.86,7.47
1993-03-24,4.5,5.83,7.43
1993-03-25,4.36,5.63,7.36
1993-03-26,4.23,5.59,7.4
1993-03-27,4.22,5.66,7.45
1993-03-28,4.18,5.66,7.45
1993-03-29,4.1,5.61,7.44
1993-03-30,4.01,5.55,7.43
1993-03-31,3.92,5.52,7.44
1993-04-01,3.87,5.5,7.39
1993-04-02,3.71,5.31,7.2
1993-04-03,3.51,5,7.01
1993-04-04,3.36,4.8,6.95
1993-04-05,3.16,4.43,6.74
1993-04-06,3.02,4.05,6.63
1993-04-07,2.97,3.84,6.61
1993-04-08,2.97,3.78,6.63
1993-04-09,2.98,3.75,6.64
1993-04-10,2.96,3.79,6.72
1993-04-11,2.92,3.81,6.72
1993-04-12,2.85,3.74,6.67
1993-04-13,2.88,3.8,6.83
1993-04-14,2.94,4.02,6.99
1993-04-15,2.87,4.16,7.03
1993-04-16,2.81,4.33,7.05
1993-04-17,2.81,4.38,7.07
1993-04-18,2.79,4.24,7.04
1993-04-19,2.92,4.33,7.19
1993-04-20,3.02,4.67,7.23
1993-04-21,3,4.87,7.19
1993-04-22,3.05,5.08,7.22
1993-04-23,3.15,5.19,7.24
1993-04-24,3.27,5.28,7.26
1993-04-25,3.82,5.65,7.28
1993-04-26,4.38,5.48,7.15
1993-04-27,4.39,5.41,7.12
1993-04-28,4.43,5.57,7.13
1993-04-29,4.57,5.57,7.05
1993-04-30,4.42,5.58,7.03
1993-05-01,4.26,5.53,7.07
1993-05-02,4.1,5.44,7.07
1993-05-03,3.88,5.4,7.02
1993-05-04,3.67,5.34,6.95
1993-05-05,3.63,5.39,7
1993-05-06,3.55,5.56,7.07
1993-05-07,3.45,5.76,7.15
1993-05-08,3.39,5.79,7.18
1993-05-09,3.37,5.77,7.2
1993-05-10,3.41,5.78,7.22
1993-05-11,3.48,5.76,7.22
1993-05-12,3.51,5.74,7.25
1993-05-13,3.54,5.71,7.27
1993-05-14,3.56,5.69,7.28
1993-05-15,3.6,5.73,7.27
1993-05-16,3.67,5.79,7.25
1993-05-17,3.68,5.82,7.24
1993-05-18,3.71,5.87,7.26
1993-05-19,3.92,5.91,7.25
1993-05-20,4.1,5.9,7.21
1993-05-21,4.13,5.91,7.22
1993-05-22,4.27,5.93,7.2
1993-05-23,4.48,5.97,7.18
1993-05-24,4.68,6.01,7.16
1993-05-25,4.8,6.02,7.14
1993-05-26,4.84,5.99,7.12
1993-05-27,4.68,5.97,7.14
1993-05-28,4.66,6,7.13
1993-05-29,4.8,6.01,7.09
1993-05-30,4.84,5.99,7.1
1993-05-31,4.75,6.06,7.1
1993-06-01,5.05,6.05,7.02
1993-06-02,5.34,6.1,6.96
1993-06-03,5.14,6.1,7.02
1993-06-04,4.93,6.05,7.02
1993-06-05,4.96,6.04,7
1993-06-06,4.97,6.05,6.99
1993-06-07,4.99,6.07,6.99
1993-06-08,4.99,6.16,7.06
1993-06-09,4.96,6.22,7.06
1993-06-10,5.09,6.28,7.03
1993-06-11,5.09,6.31,7.03
1993-06-12,5,6.34,7.05
1993-06-13,4.99,6.36,7.06
1993-06-14,5.02,6.4,7.07
1993-06-15,5.01,6.43,7.08
