"Date","56 m","66 m","78 m"
1993-01-01,6.53,7.01,7.08
1993-01-02,6.45,6.92,7.02
1993-01-03,6.38,6.77,6.89
1993-01-04,6.37,6.73,6.83
1993-01-05,6.28,6.65,6.78
1993-01-06,6.28,6.6,6.75
1993-01-07,6.28,6.56,6.7
1993-01-08,6.24,6.49,6.61
1993-01-09,6.18,6.42,6.5
1993-01-10,6.12,6.45,6.49
1993-01-11,6.01,6.49,6.52
1993-01-12,5.87,6.39,6.46
1993-01-13,5.81,6.36,6.45
1993-01-14,5.73,6.21,6.31
1993-01-15,5.63,6.05,6.14
1993-01-16,5.53,5.83,5.85
1993-01-17,5.49,5.67,5.67
1993-01-18,5.42,5.55,5.56
1993-01-19,5.3,5.38,5.44
1993-01-20,5.19,5.21,5.27
1993-01-21,5.14,5.12,5.16
1993-01-22,5.12,5.11,5.1
1993-01-23,5.12,5.11,5.08
1993-01-24,5.14,5.11,5.07
1993-01-25,5.17,5.11,5.07
1993-01-26,5.15,5.07,5.04
1993-01-27,5.15,5.04,5
1993-01-28,5.13,5.06,5
1993-01-29,5.06,5.01,4.95
1993-01-30,5,4.9,4.85
1993-01-31,4.92,4.75,4.72
1993-02-01,4.89,4.72,4.69
1993-02-02,4.88,4.79,4.75
1993-02-03,4.75,4.83,4.78
1993-02-04,4.68,4.81,4.71
1993-02-05,4.59,4.6,4.56
1993-02-06,4.54,4.51,4.48
1993-02-07,4.43,4.4,4.39
1993-02-08,4.36,4.42,4.35
1993-02-09,4.3,4.32,4.23
1993-02-10,4.24,4.29,4.2
1993-02-11,4.24,4.26,4.15
1993-02-12,4.22,4.13,4.08
1993-02-13,4.19,4.13,4.08
1993-02-14,4.2,4.1,4.03
1993-02-15,4.22,4.04,3.99
1993-02-16,4.21,4.04,3.99
1993-02-17,4.22,4.06,4
1993-02-18,4.23,4.04,3.99
1993-02-19,4.18,4.01,3.97
1993-02-20,4.09,3.97,3.96
1993-02-21,4.03,3.91,3.9
1993-02-22,4,3.9,3.89
1993-02-23,4,3.92,3.91
1993-02-24,4.01,3.92,3.92
1993-02-25,4,3.91,3.91
1993-02-26,3.94,3.87,3.88
1993-02-27,3.9,3.86,3.86
1993-02-28,3.85,3.86,3.86
1993-03-01,3.78,3.93,3.97
1993-03-02,3.72,3.9,3.98
1993-03-03,3.71,3.89,3.96
1993-03-04,3.7,3.89,3.97
1993-03-05,3.67,3.86,3.94
1993-03-06,3.65,3.84,3.92
1993-03-07,3.6,3.78,3.88
1993-03-08,3.55,3.75,3.85
1993-03-09,3.54,3.76,3.83
1993-03-10,3.55,3.74,3.81
1993-03-11,3.58,3.73,3.78
1993-03-12,3.6,3.75,3.8
1993-03-13,3.58,3.74,3.8
1993-03-14,3.59,3.7,3.75
1993-03-15,3.52,3.71,3.79
1993-03-16,3.45,3.68,3.79
1993-03-17,3.48,3.6,3.7
1993-03-18,3.48,3.59,3.65
