"Date","131 m","156 m","186 m"
1993-01-01,3.95,6.39,7.13
1993-01-02,4.15,6.6,7.27
1993-01-03,4,6.5,7.21
1993-01-04,4.03,6.52,7.27
1993-01-05,4.87,6.89,7.48
1993-01-06,5.57,7.32,7.67
1993-01-07,5.4,7.34,7.73
1993-01-08,5.58,7.57,7.8
1993-01-09,5.73,7.82,7.87
1993-01-10,5.26,7.72,7.74
1993-01-11,4.58,7.38,7.56
1993-01-12,4.34,7.15,7.53
1993-01-13,4.2,6.99,7.5
1993-01-14,4.36,6.9,7.51
1993-01-15,4.32,6.88,7.47
1993-01-16,5,7.11,7.62
1993-01-17,5.67,7.56,7.78
1993-01-18,5.94,7.87,7.84
1993-01-19,6.13,7.97,7.9
1993-01-20,6.16,7.85,7.84
1993-01-21,5.41,7.45,7.58
1993-01-22,4.4,6.97,7.22
1993-01-23,4.02,6.68,7.11
1993-01-24,4,6.67,7.17
1993-01-25,4.29,6.73,7.3
1993-01-26,5.13,7.03,7.48
1993-01-27,5.68,7.16,7.54
1993-01-28,5.5,7.08,7.5
1993-01-29,5.51,7.01,7.48
1993-01-30,5.38,7.09,7.5
1993-01-31,5.45,7.09,7.52
1993-02-01,5.02,6.95,7.45
1993-02-02,4.53,6.76,7.32
1993-02-03,4.43,6.81,7.32
1993-02-04,4.61,6.99,7.42
1993-02-05,4.97,7.12,7.53
1993-02-06,5.36,7.24,7.57
1993-02-07,5.51,7.17,7.54
1993-02-08,5.35,7.05,7.46
1993-02-09,5.59,7.06,7.48
1993-02-10,5.69,7.13,7.48
1993-02-11,5.78,7.24,7.47
1993-02-12,5.8,7.25,7.45
1993-02-13,5.66,7.21,7.41
1993-02-14,5.72,7.23,7.4
1993-02-15,5.99,7.34,7.42
1993-02-16,6.03,7.34,7.36
1993-02-17,5.73,7.13,7.23
1993-02-18,5.84,7.14,7.24
1993-02-19,5.94,7.11,7.23
1993-02-20,5.54,6.92,7.07
1993-02-21,5.62,6.84,7.05
1993-02-22,5.45,6.79,7.03
1993-02-23,5.04,6.61,6.93
1993-02-24,5.09,6.61,6.94
1993-02-25,5.41,6.77,7.04
1993-02-26,5.77,6.95,7.12
1993-02-27,6.1,7.11,7.2
1993-02-28,6.16,7.16,7.24
1993-03-01,5.75,7.03,7.19
1993-03-02,5.73,7.04,7.22
1993-03-03,5.51,6.99,7.17
1993-03-04,5.45,6.96,7.18
1993-03-05,5.47,7.02,7.21
1993-03-06,4.79,6.84,7.08
1993-03-07,4.1,6.65,6.99
1993-03-08,4.16,6.71,7.09
1993-03-09,4.25,6.79,7.25
1993-03-10,3.82,6.67,7.23
1993-03-11,3.85,6.59,7.27
1993-03-12,4.01,6.86,7.41
1993-03-13,4.36,7.1,7.56
1993-03-14,3.96,7.11,7.5
1993-03-15,5.24,7.63,7.71
1993-03-16,5.93,8,7.85
1993-03-17,4.79,7.58,7.55
1993-03-18,4.75,7.22,7.45
1993-03-19,4.39,7.12,7.4
1993-03-20,2.81,6.3,6.89
1993-03-21,2.63,6.03,6.77
1993-03-22,2.45,6.03,6.72
1993-03-23,2.45,5.94,6.73
1993-03-24,2.52,5.95,6.8
1993-03-25,2.43,5.86,6.75
1993-03-26,2.83,6.05,6.88
1993-03-27,3.26,6.43,7.07
1993-03-28,3.41,6.55,7.13
1993-03-29,3.42,6.49,7.13
1993-03-30,3.26,6.4,7.08
1993-03-31,3.1,6.44,7.07
1993-04-01,2.88,6.38,7
1993-04-02,2.64,6.28,6.91
1993-04-03,2.29,6.05,6.8
1993-04-04,1.92,5.63,6.54
1993-04-05,1.92,5.37,6.4
1993-04-06,2.06,5.58,6.59
1993-04-07,2.31,5.86,6.76
1993-04-08,2.93,6.16,7
