"Date","29 m","34 m","40 m","47 m","56 m"
1993-01-01,2.9,2.97,3.02,3.01,2.79
1993-01-02,2.82,2.92,3.01,3.06,2.88
1993-01-03,2.55,2.69,2.82,2.94,2.8
1993-01-04,2.17,2.3,2.52,2.7,2.53
1993-01-05,2.25,2.38,2.51,2.62,2.42
1993-01-06,2.39,2.52,2.56,2.57,2.34
1993-01-07,2.36,2.46,2.52,2.48,2.28
1993-01-08,2.49,2.52,2.5,2.41,2.23
1993-01-09,2.42,2.47,2.43,2.35,2.2
1993-01-10,2.23,2.29,2.28,2.23,2.15
1993-01-11,2.04,2.09,2.13,2.13,2.08
1993-01-12,1.97,2.02,2.04,2.04,2
1993-01-13,1.87,1.9,1.94,1.97,1.93
1993-01-14,1.79,1.81,1.85,1.88,1.86
1993-01-15,1.66,1.67,1.69,1.75,1.77
1993-01-16,1.6,1.63,1.68,1.73,1.72
1993-01-17,1.62,1.63,1.7,1.74,1.73
1993-01-18,1.66,1.64,1.68,1.74,1.73
1993-01-19,1.59,1.6,1.65,1.69,1.68
1993-01-20,1.39,1.41,1.48,1.53,1.51
1993-01-21,1.3,1.3,1.33,1.39,1.38
1993-01-22,1.25,1.26,1.26,1.31,1.29
1993-01-23,1.24,1.26,1.28,1.32,1.25
1993-01-24,1.36,1.37,1.34,1.36,1.3
1993-01-25,1.39,1.41,1.39,1.4,1.33
1993-01-26,1.41,1.43,1.41,1.41,1.32
1993-01-27,1.29,1.29,1.27,1.28,1.2
1993-01-28,1.45,1.41,1.27,1.25,1.19
1993-01-29,1.32,1.31,1.26,1.26,1.18
1993-01-30,1.39,1.36,1.25,1.23,1.15
1993-01-31,1.09,1.09,1.03,1.03,1.04
1993-02-01,1.04,1.01,0.88,0.87,0.92
1993-02-02,1.14,1.15,0.89,0.83,0.84
1993-02-03,0.98,1.03,0.85,0.81,0.83
1993-02-04,0.85,0.95,0.81,0.81,0.84
1993-02-05,0.67,0.76,0.75,0.8,0.81
1993-02-06,0.63,0.74,0.69,0.76,0.76
1993-02-07,0.52,0.6,0.54,0.63,0.64
1993-02-08,0.62,0.67,0.43,0.46,0.51
1993-02-09,0.58,0.65,0.45,0.47,0.45
1993-02-10,0.2,0.29,0.3,0.37,0.33
1993-02-11,0.22,0.26,0.21,0.3,0.29
1993-02-12,0.09,0.16,0.17,0.24,0.21
1993-02-13,0.12,0.15,0.12,0.19,0.18
1993-02-14,0.33,0.37,0.27,0.29,0.24
1993-02-15,0.37,0.45,0.4,0.38,0.3
1993-02-16,0.3,0.37,0.36,0.39,0.32
1993-02-17,0.38,0.46,0.37,0.39,0.33
1993-02-18,0.63,0.69,0.49,0.45,0.35
1993-02-19,0.48,0.57,0.48,0.45,0.34
1993-02-20,0.34,0.42,0.36,0.39,0.31
1993-02-21,0.15,0.21,0.23,0.26,0.2
1993-02-22,0.05,0.1,0.12,0.16,0.14
1993-02-23,0.18,0.26,0.19,0.17,0.1
1993-02-24,0.33,0.41,0.26,0.21,0.1
1993-02-25,0.2,0.28,0.25,0.22,0.1
1993-02-26,0.16,0.26,0.24,0.23,0.11
1993-02-27,0.06,0.14,0.14,0.16,0.06
1993-02-28,-0.09,-0.01,0.06,0.09,0
1993-03-01,-0.14,-0.08,0.04,0.08,0
1993-03-02,0.1,0.13,0.17,0.16,0.05
1993-03-03,0.22,0.26,0.32,0.32,0.17
1993-03-04,0.2,0.23,0.36,0.39,0.27
1993-03-05,0.27,0.27,0.39,0.42,0.3
1993-03-06,0.14,0.18,0.33,0.41,0.33
1993-03-07,0.17,0.23,0.25,0.41,0.4
1993-03-08,0.31,0.32,0.46,0.51,0.47
1993-03-09,0.46,0.44,0.51,0.51,0.41
1993-03-10,0.39,0.4,0.5,0.53,0.43
1993-03-11,0.36,0.35,0.47,0.54,0.48
1993-03-12,0.38,0.36,0.48,0.51,0.47
1993-03-13,0.43,0.4,0.46,0.46,0.37
1993-03-14,0.4,0.4,0.44,0.45,0.38
1993-03-15,0.42,0.4,0.46,0.44,0.37
1993-03-16,0.43,0.39,0.38,0.34,0.23
1993-03-17,0.39,0.37,0.37,0.32,0.2
1993-03-18,0.48,0.47,0.4,0.33,0.19
1993-03-19,0.51,0.51,0.42,0.34,0.2
1993-03-20,0.51,0.51,0.45,0.35,0.25
1993-03-21,0.55,0.55,0.44,0.32,0.2
1993-03-22,0.61,0.61,0.49,0.37,0.24
1993-03-23,0.7,0.7,0.54,0.41,0.26
1993-03-24,0.64,0.65,0.53,0.44,0.29
1993-03-25,0.7,0.7,0.61,0.48,0.36
1993-03-26,0.85,0.84,0.65,0.48,0.36
1993-03-27,0.86,0.87,0.67,0.49,0.37
1993-03-28,0.96,0.92,0.75,0.53,0.42
1993-03-29,1.03,0.99,0.81,0.55,0.45
1993-03-30,1.13,1.07,0.84,0.57,0.47
1993-03-31,1.18,1.12,0.93,0.63,0.52
1993-04-01,1.14,1.19,1.02,0.68,0.53
1993-04-02,1.01,1.09,1.05,0.72,0.55
1993-04-03,1.05,1.12,1.09,0.76,0.63
1993-04-04,0.82,0.98,1.14,0.81,0.68
1993-04-05,0.74,0.84,1.1,0.84,0.67
1993-04-06,0.78,0.9,1.07,0.85,0.66
1993-04-07,0.75,0.84,1.07,0.92,0.73
1993-04-08,0.87,0.92,1.14,0.95,0.76
1993-04-09,0.96,0.95,1.21,1.05,0.88
1993-04-10,1.21,1.18,1.29,1.01,0.86
1993-04-11,1.33,1.3,1.36,1.05,0.88
1993-04-12,1.36,1.35,1.48,1.11,0.93
1993-04-13,1.35,1.33,1.54,1.2,1.03
1993-04-14,1.49,1.44,1.54,1.19,1.04
1993-04-15,1.43,1.46,1.63,1.21,1.09
1993-04-16,1.6,1.59,1.58,1.16,1
1993-04-17,1.56,1.63,1.55,1.11,0.92
1993-04-18,1.58,1.59,1.7,1.24,0.99
1993-04-19,1.84,1.76,1.73,1.26,1.02
1993-04-20,1.89,1.84,1.75,1.2,1.02
1993-04-21,1.92,1.86,1.8,1.21,1.02
1993-04-22,1.99,1.91,1.86,1.29,1.06
1993-04-23,2.23,2.07,1.89,1.35,1.12
1993-04-24,2.46,2.3,2,1.43,1.2
1993-04-25,2.56,2.45,2.05,1.43,1.19
1993-04-26,2.62,2.55,2.22,1.49,1.21
1993-04-27,2.78,2.7,2.22,1.47,1.19
1993-04-28,2.66,2.69,2.32,1.54,1.28
1993-04-29,2.7,2.67,2.45,1.59,1.35
1993-04-30,2.68,2.65,2.3,1.49,1.31
1993-05-01,2.69,2.63,2.21,1.47,1.26
1993-05-02,2.71,2.64,2.21,1.49,1.25
1993-05-03,2.64,2.62,2.24,1.49,1.26
1993-05-04,2.46,2.48,2.47,1.65,1.38
1993-05-05,2.93,2.75,2.27,1.52,1.32
1993-05-06,2.78,2.7,2.38,1.61,1.38
1993-05-07,2.96,2.77,2.45,1.64,1.4
1993-05-08,2.96,2.83,2.53,1.7,1.46
1993-05-09,3,2.79,2.56,1.71,1.49
1993-05-10,3.05,2.96,2.63,1.76,1.53
1993-05-11,3,2.87,2.84,1.88,1.63
1993-05-12,3.07,2.95,2.75,1.89,1.63
1993-05-13,3.18,3.03,2.6,1.9,1.58
1993-05-14,3.07,3.03,2.7,2,1.62
1993-05-15,3.06,3,2.85,2.09,1.69
1993-05-16,3.14,3.07,2.73,2,1.68
1993-05-17,3.2,3.1,2.62,1.93,1.62
