"Date","56 m","66 m","78 m"
1993-01-01,5.3,5.07,5.98
1993-01-02,5.4,5.16,6.33
1993-01-03,5.51,5.34,6.92
1993-01-04,5.54,5.32,6.91
1993-01-05,5.52,5.46,6.71
1993-01-06,5.6,5.69,6.3
1993-01-07,5.77,5.59,6.38
1993-01-08,5.65,5.61,6.65
1993-01-09,5.67,5.69,6.73
1993-01-10,5.77,5.67,6.7
1993-01-11,5.75,5.58,6.62
1993-01-12,5.68,5.52,6.54
1993-01-13,5.64,5.44,6.29
1993-01-14,5.64,5.32,6.22
1993-01-15,5.58,5.28,6.24
1993-01-16,5.45,5.17,6
1993-01-17,5.2,5,5.6
1993-01-18,4.88,4.84,5.39
1993-01-19,4.61,4.71,5.24
1993-01-20,4.51,4.5,5.05
1993-01-21,4.48,4.43,5
1993-01-22,4.43,4.39,4.59
1993-01-23,4.41,4.29,3.96
1993-01-24,4.39,4.17,3.79
1993-01-25,4.36,4.1,3.84
1993-01-26,4.23,4.2,4.1
1993-01-27,4.11,4.28,4.2
1993-01-28,4.2,4.22,4.22
1993-01-29,4.36,4.05,4.18
1993-01-30,4.34,3.88,4.18
1993-01-31,4.01,3.78,4.28
1993-02-01,3.97,3.54,4.13
1993-02-02,3.86,3.27,4.22
1993-02-03,3.46,3.1,4.34
1993-02-04,3.16,3.07,4.31
1993-02-05,3.24,3.2,4.4
1993-02-06,3.37,3.34,4.5
1993-02-07,3.51,3.49,4.58
1993-02-08,3.62,3.53,4.64
1993-02-09,3.74,3.57,4.64
1993-02-10,3.83,3.49,4.45
1993-02-11,3.52,3.24,4.25
1993-02-12,3.09,2.98,4.29
1993-02-13,2.64,2.54,4.3
1993-02-14,2.44,2.35,4.21
1993-02-15,2.77,2.51,3.93
1993-02-16,2.76,2.61,3.76
1993-02-17,2.67,2.71,3.89
1993-02-18,2.61,2.77,3.86
1993-02-19,2.64,2.68,3.35
1993-02-20,2.62,2.59,3.42
1993-02-21,2.55,2.55,3.56
1993-02-22,2.48,2.43,3.35
1993-02-23,2.4,2.35,3.21
1993-02-24,2.31,2.31,3.23
1993-02-25,2.24,2.24,3.15
1993-02-26,2.23,2.24,3.28
1993-02-27,2.24,2.29,3.44
1993-02-28,2.29,2.32,3.52
1993-03-01,2.31,2.3,3.34
1993-03-02,2.2,2.28,2.98
1993-03-03,2.09,2.21,2.85
1993-03-04,2.04,2.2,3.07
1993-03-05,2.07,2.24,3.13
1993-03-06,2.15,2.25,3.13
1993-03-07,2.17,2.3,3.21
1993-03-08,2,2.33,3.03
1993-03-09,1.58,2.06,2.72
1993-03-10,1.55,1.95,2.7
