"Date","13 m","25 m","29 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m","131 m","156 m","186 m","222 m"
1993-01-01,3.87,4.51,4.58,5.04,5.32,5.58,5.41,5.25,5.25,5.18,5.01,5.6,5.8,7.9
1993-01-02,3.56,4.24,4.36,4.95,5.19,5.54,5.38,5.2,5.19,5.18,5.08,5.82,5.92,8.04
1993-01-03,3.02,3.81,4.01,4.69,4.82,5.48,5.33,5.15,5.1,5.12,5.16,6.08,6.24,8.3
1993-01-04,3.07,3.57,3.84,4.42,4.52,5.37,5.26,5.1,5.06,5.07,5.2,6.19,6.58,8.39
1993-01-05,3.29,3.92,3.87,4.92,4.64,5.31,5.22,5.08,4.94,4.99,5.19,6.18,6.61,8.41
1993-01-06,3.72,4.37,4.26,5.09,4.97,5.15,5.06,5.1,4.88,4.96,5.27,6.24,6.68,8.43
1993-01-07,3.77,4.49,4.37,5.11,5.11,5.14,4.95,5,4.88,4.97,5.3,6.3,6.88,8.43
1993-01-08,3.76,4.45,4.34,5.05,5.02,5.17,4.92,4.96,4.87,4.86,5.24,6.28,6.88,8.41
1993-01-09,3.55,4.21,4.22,4.88,4.92,5.04,4.77,4.88,4.82,4.77,5.17,6.27,6.83,8.37
1993-01-10,3.08,3.63,3.89,4.31,4.55,4.91,4.63,4.79,4.81,4.71,5.08,6.25,6.73,8.3
1993-01-11,2.86,3.41,3.56,3.95,4.12,4.59,4.44,4.72,4.76,4.62,5,6.25,6.65,8.22
1993-01-12,2.72,3.25,3.36,3.7,3.84,4.34,4.25,4.65,4.64,4.51,4.96,6.24,6.57,8.18
1993-01-13,2.59,3.08,3.18,3.48,3.67,4.11,3.99,4.44,4.5,4.46,4.98,6.26,6.61,8.2
1993-01-14,2.35,2.67,2.82,3.05,3.24,3.85,3.73,4.33,4.4,4.41,4.97,6.26,6.75,8.24
1993-01-15,2.11,2.28,2.37,2.51,2.62,3.48,3.5,4.13,4.3,4.31,4.81,6.17,6.74,8.18
1993-01-16,2.02,2.19,2.2,2.33,2.48,3.29,3.42,4.18,4.27,4.26,4.83,6.11,6.62,8.16
1993-01-17,2.01,2.14,2.12,2.34,2.47,3.19,3.28,4,4.14,4.27,5,6.11,6.63,8.23
1993-01-18,1.87,2.02,2.01,2.27,2.41,3.12,3.18,3.83,4.08,4.32,5.1,6.16,6.84,8.3
1993-01-19,1.5,1.85,1.75,2.54,2.43,3.13,3.29,3.94,4.19,4.45,5.22,6.19,7.03,8.34
1993-01-20,0.85,1.72,1.39,2.81,2.53,3.07,3.31,3.83,4.25,4.61,5.33,6.31,7.28,8.37
1993-01-21,0.64,1.62,1.34,2.77,2.56,3.06,3.31,3.79,4.3,4.7,5.36,6.57,7.55,8.37
1993-01-22,0.78,1.46,1.41,2.51,2.39,3.08,3.33,3.82,4.33,4.66,5.3,6.67,7.56,8.31
1993-01-23,0.97,1.5,1.42,2.37,2.31,3.11,3.44,3.93,4.29,4.58,5.22,6.53,7.3,8.21
1993-01-24,1.2,1.62,1.52,2.4,2.37,3.06,3.39,3.77,4.24,4.5,5.11,6.38,7.01,8.04
1993-01-25,1.44,1.73,1.64,2.36,2.36,3.04,3.36,3.73,4.17,4.41,5.04,6.3,6.83,7.95
1993-01-26,1.53,2.13,1.84,3.03,2.61,3.15,3.45,3.76,4.19,4.4,5.09,6.25,6.72,7.92
1993-01-27,1.46,2.17,1.91,3.22,2.86,3.22,3.51,3.72,4.19,4.43,5.2,6.27,6.81,8.03
1993-01-28,1.36,2.06,1.92,3.08,2.87,3.24,3.51,3.69,4.27,4.51,5.21,6.27,6.91,8.02
1993-01-29,1.36,1.99,1.87,2.96,2.84,3.4,3.65,3.86,4.28,4.48,5.15,6.21,6.84,8.01
1993-01-30,1.33,1.95,1.87,3.23,3.07,3.37,3.71,3.83,4.36,4.55,5.19,6.15,6.75,7.95
1993-01-31,0.77,1.9,1.64,3.4,3.12,3.48,3.84,3.98,4.37,4.58,5.23,6.12,6.73,8.01
1993-02-01,0.54,1.67,1.62,3.1,2.93,3.47,3.83,3.88,4.42,4.63,5.23,6.1,6.79,8.09
1993-02-02,0.55,1.3,1.28,2.38,2.2,3.09,3.58,3.83,4.38,4.59,5.11,5.98,6.7,8.03
1993-02-03,0.28,0.76,0.85,1.25,1.33,2.6,3.17,3.68,4.17,4.44,4.89,5.81,6.44,7.84
1993-02-04,0.19,0.58,0.59,0.74,0.9,2.25,2.84,3.59,4,4.25,4.66,5.76,6.23,7.62
1993-02-05,0.05,0.44,0.45,0.56,0.8,2.33,2.79,3.48,3.85,4.07,4.58,5.81,6.28,7.84
1993-02-06,-0.01,0.38,0.33,0.69,0.86,2.35,2.79,3.4,3.73,3.97,4.65,5.83,6.43,8.07
1993-02-07,-0.32,0.05,0.21,0.44,0.73,2.31,2.68,3.29,3.62,3.88,4.71,5.9,6.71,8.21
1993-02-08,-0.41,-0.15,0.08,0.31,0.52,2.05,2.48,3.09,3.48,3.79,4.68,5.93,6.83,8.21
1993-02-09,-0.52,-0.1,-0.06,0.53,0.6,2.01,2.46,3.06,3.42,3.72,4.64,5.94,6.82,8.18
1993-02-10,-0.65,-0.21,-0.13,0.47,0.59,1.98,2.38,2.97,3.35,3.67,4.63,5.91,6.74,8.18
1993-02-11,-0.53,-0.12,-0.18,0.77,0.75,2.01,2.41,2.93,3.36,3.79,4.73,5.97,6.78,8.17
1993-02-12,-0.55,-0.13,-0.15,0.71,0.77,1.95,2.38,2.94,3.38,3.88,4.86,6.07,6.91,8.21
1993-02-13,-0.47,-0.32,-0.16,0.29,0.52,1.75,2.18,2.84,3.36,3.87,4.93,6.19,7.02,8.22
1993-02-14,-0.24,-0.22,-0.03,0.33,0.56,1.8,2.18,2.87,3.37,3.89,4.94,6.24,6.98,8.16
1993-02-15,-0.14,0.1,0.06,0.72,0.77,1.84,2.22,2.8,3.39,3.96,5.03,6.27,6.93,8.17
1993-02-16,-0.13,0.17,0.08,0.86,0.85,1.78,2.15,2.68,3.37,4.04,5.16,6.36,7.02,8.22
1993-02-17,-0.03,0.18,0.12,0.73,0.79,1.7,2.07,2.65,3.37,4.07,5.24,6.53,7.18,8.26
1993-02-18,0.13,0.49,0.37,1.29,1.15,2.04,2.34,2.9,3.5,4.21,5.24,6.54,7.2,8.25
1993-02-19,0.04,0.57,0.44,1.57,1.32,2.13,2.5,2.94,3.63,4.25,5.24,6.55,7.22,8.32
1993-02-20,-0.37,0.24,0.19,1.13,1.06,2,2.45,3.02,3.67,4.22,5.18,6.53,7.19,8.3
1993-02-21,-0.53,0.06,0.02,0.98,1.04,2,2.59,3.09,3.69,4.21,5.13,6.55,7.21,8.3
1993-02-22,-0.6,-0.04,-0.02,0.91,1.02,2.12,2.75,3.09,3.81,4.29,5.16,6.53,7.2,8.3
1993-02-23,-0.52,-0.15,-0.07,0.69,0.87,2.06,2.75,3.17,3.88,4.37,5.12,6.43,7.07,8.19
1993-02-24,-0.37,-0.15,-0.09,0.55,0.81,2.05,2.8,3.22,3.94,4.41,5.07,6.36,6.94,8.05
1993-02-25,-0.28,-0.04,-0.02,0.7,0.92,2.1,2.9,3.31,4.02,4.58,5.14,6.33,6.83,7.92
1993-02-26,-0.37,-0.08,-0.04,0.69,0.93,2.14,2.92,3.42,4.13,4.84,5.3,6.3,6.77,7.88
1993-02-27,-0.47,-0.19,-0.1,0.59,0.86,2.1,2.92,3.62,4.29,5.18,5.48,6.32,6.75,7.95
1993-02-28,-0.58,-0.37,-0.23,0.27,0.6,2.04,2.89,3.79,4.43,5.38,5.59,6.34,6.78,8.11
1993-03-01,-0.66,-0.48,-0.45,-0.27,-0.1,1.31,2.35,3.82,4.37,5.25,5.5,6.23,6.68,8.02
1993-03-02,-0.64,-0.49,-0.48,-0.35,-0.25,0.98,1.89,3.65,4.21,5.11,5.49,6.24,6.52,7.7
1993-03-03,-0.48,-0.44,-0.44,-0.31,-0.17,1.52,2.17,3.45,4.02,4.84,5.46,6.35,6.52,7.79
1993-03-04,-0.29,-0.39,-0.37,-0.15,-0.05,1.66,2.33,3.46,3.9,4.57,5.36,6.29,6.53,7.98
1993-03-05,-0.28,-0.33,-0.36,-0.18,-0.12,1.68,2.26,3.33,3.78,4.33,5.15,6.11,6.55,8.2
