"Date","6 m","8 m","10 m","11 m","16 m","22 m"
1993-01-01,0.56,0.15,0.67,0.87,1.93,2.82
1993-01-02,0.21,-0.1,0.42,0.69,1.73,2.87
1993-01-03,-0.37,-0.82,-0.08,0.08,0.9,1.78
1993-01-04,-0.4,-0.97,-0.12,-0.06,0.71,1.38
1993-01-05,-0.26,-0.59,0.04,-0.02,0.32,1.04
1993-01-06,-0.03,-0.28,0.11,0.04,0.27,1.22
1993-01-07,0.15,-0.14,0.16,0.13,0.6,1.77
1993-01-08,0.22,-0.1,0.17,0.19,0.79,1.99
1993-01-09,0.02,-0.27,-0.01,0.18,1.02,2.28
1993-01-10,-0.5,-0.74,-0.38,0.06,1.37,2.51
1993-01-11,-0.72,-0.96,-0.45,0.05,1.44,2.46
1993-01-12,-0.81,-1.05,-0.58,-0.09,1.27,2.34
1993-01-13,-0.89,-1.12,-0.64,-0.16,1.17,2.31
1993-01-14,-0.99,-1.19,-0.84,-0.22,1.33,2.37
1993-01-15,-1.05,-1.19,-0.91,-0.19,1.64,2.66
1993-01-16,-1.08,-1.25,-0.95,-0.24,1.48,2.52
1993-01-17,-1.09,-1.29,-0.97,-0.31,1.29,2.38
1993-01-18,-1.21,-1.35,-1.03,-0.5,0.99,2.14
1993-01-19,-1.31,-1.43,-1.19,-1.05,-0.3,0.67
1993-01-20,-1.26,-1.46,-1.3,-1.25,-0.93,-0.48
1993-01-21,-1.25,-1.44,-1.33,-1.29,-1.03,-0.59
1993-01-22,-1.19,-1.41,-1.34,-1.28,-1.07,-0.54
1993-01-23,-1.15,-1.39,-1.36,-1.28,-1.07,-0.46
1993-01-24,-1.14,-1.38,-1.35,-1.28,-1.02,-0.28
1993-01-25,-1.15,-1.36,-1.36,-1.27,-0.99,-0.18
1993-01-26,-1.17,-1.4,-1.45,-1.37,-1.44,-0.91
1993-01-27,-1.17,-1.4,-1.45,-1.41,-1.34,-0.55
1993-01-28,-1.17,-1.38,-1.44,-1.35,-0.83,0.17
1993-01-29,-1.18,-1.38,-1.44,-1.34,-0.75,0.64
1993-01-30,-1.18,-1.37,-1.43,-1.38,-1.12,0.03
1993-01-31,-1.19,-1.37,-1.44,-1.41,-1.44,-0.8
1993-02-01,-1.23,-1.4,-1.46,-1.4,-1.04,-0.15
1993-02-02,-1.37,-1.45,-1.45,-1.12,-0.09,0.37
1993-02-03,-1.37,-1.44,-1.33,-0.89,0.35,0.69
1993-02-04,-1.37,-1.42,-1.25,-0.81,0.46,0.87
1993-02-05,-1.35,-1.45,-1.25,-0.83,0.39,0.9
1993-02-06,-1.3,-1.42,-1.32,-0.93,0.12,0.5
1993-02-07,-1.29,-1.4,-1.31,-1.02,-0.24,0.15
1993-02-08,-1.27,-1.4,-1.29,-1.04,-0.38,-0.1
1993-02-09,-1.25,-1.43,-1.39,-1.1,-0.58,-0.43
1993-02-10,-1.25,-1.41,-1.38,-1.15,-0.7,-0.42
1993-02-11,-1.23,-1.38,-1.36,-1.19,-0.86,-0.63
1993-02-12,-1.24,-1.38,-1.35,-1.21,-0.87,-0.53
1993-02-13,-1.26,-1.41,-1.37,-1.24,-0.87,-0.44
1993-02-14,-1.27,-1.43,-1.41,-1.27,-0.89,-0.34
1993-02-15,-1.26,-1.42,-1.42,-1.26,-0.77,-0.21
1993-02-16,-1.27,-1.42,-1.37,-1.23,-0.64,-0.12
1993-02-17,-1.29,-1.43,-1.38,-1.2,-0.58,-0.15
1993-02-18,-1.29,-1.44,-1.43,-1.24,-0.65,-0.23
1993-02-19,-1.31,-1.45,-1.41,-1.22,-0.59,-0.18
1993-02-20,-1.34,-1.44,-1.39,-1.16,-0.47,-0.04
1993-02-21,-1.31,-1.43,-1.42,-1.18,-0.49,-0.02
1993-02-22,-1.33,-1.46,-1.42,-1.2,-0.56,-0.11
1993-02-23,-1.32,-1.47,-1.4,-1.21,-0.58,-0.2
1993-02-24,-1.24,-1.4,-1.34,-1.19,-0.56,-0.15
1993-02-25,-1.26,-1.34,-1.3,-1.18,-0.58,-0.11
1993-02-26,-1.25,-1.33,-1.27,-1.16,-0.6,-0.11
1993-02-27,-1.22,-1.31,-1.26,-1.14,-0.62,-0.12
1993-02-28,-1.26,-1.35,-1.25,-1.12,-0.61,-0.17
1993-03-01,-1.29,-1.37,-1.24,-1.04,-0.47,-0.17
1993-03-02,-1.3,-1.37,-1.17,-0.98,-0.34,0.06
1993-03-03,-1.29,-1.36,-1.21,-0.97,-0.31,0.13
1993-03-04,-1.25,-1.34,-1.21,-0.98,-0.35,0.12
1993-03-05,-1.25,-1.32,-1.18,-0.96,-0.39,0.05
1993-03-06,-1.26,-1.33,-1.24,-0.88,-0.3,-0.14
1993-03-07,-1.23,-1.32,-1.21,-0.88,-0.27,-0.06
1993-03-08,-1.23,-1.32,-1.26,-1.01,-0.29,-0.09
1993-03-09,-1.14,-1.26,-1.22,-1.01,-0.35,-0.18
1993-03-10,-1.16,-1.24,-1.14,-0.96,-0.43,-0.18
1993-03-11,-1.13,-1.19,-1.09,-0.92,-0.43,-0.16
1993-03-12,-1.22,-1.28,-1.1,-0.95,-0.48,-0.17
1993-03-13,-1.24,-1.3,-1.16,-0.98,-0.52,-0.21
1993-03-14,-1.26,-1.33,-1.25,-1.03,-0.63,-0.32
1993-03-15,-1.33,-1.35,-1.34,-1.16,-0.85,-0.57
