"Date","8 m","10 m","13 m","16 m","18 m","25 m","34 m"
1993-01-01,-0.62,0.01,0.99,3.71,1.11,2.15,2.53
1993-01-02,-0.93,-0.26,0.88,3.66,1.44,2.21,2.37
1993-01-03,-1.17,-1.16,0.51,2.79,1.36,2.26,2.37
1993-01-04,-1.26,-1.35,0.52,2.47,1.09,2.13,2.39
1993-01-05,-1.28,-1.05,1.07,2.48,0.47,2.01,2.35
1993-01-06,-1.26,-0.82,1.13,2.56,0.25,1.89,2.31
1993-01-07,-1.18,-0.72,1.04,2.58,0.37,1.88,2.34
1993-01-08,-1.21,-0.73,0.96,2.75,0.4,1.87,2.38
1993-01-09,-1.32,-0.91,0.77,2.82,0.59,1.87,2.36
1993-01-10,-1.42,-1.2,0.23,2.28,0.56,1.87,2.32
1993-01-11,-1.49,-1.25,-0.04,2.03,0.62,1.82,2.33
1993-01-12,-1.53,-1.31,-0.08,1.82,0.56,1.73,2.3
1993-01-13,-1.57,-1.32,-0.15,1.61,0.47,1.64,2.21
1993-01-14,-1.66,-1.25,-0.47,1.28,0.53,1.57,2.13
1993-01-15,-1.7,-1.16,-0.66,1.1,0.74,1.55,2.08
1993-01-16,-1.71,-1.24,-0.52,1.1,0.67,1.38,2
1993-01-17,-1.69,-1.31,-0.38,1.12,0.54,1.25,1.79
1993-01-18,-1.72,-1.4,-0.41,1.14,0.32,1.13,1.6
1993-01-19,-1.73,-1.71,-0.44,0.82,-0.42,0.78,1.45
1993-01-20,-1.74,-1.78,-0.71,0.1,-1.26,0.44,1.26
1993-01-21,-1.76,-1.76,-0.86,-0.38,-1.37,0.38,1.18
1993-01-22,-1.77,-1.74,-0.95,-0.46,-1.34,0.23,0.9
1993-01-23,-1.74,-1.72,-0.96,-0.29,-1.4,0.1,0.47
1993-01-24,-1.72,-1.71,-1.06,0.58,-1.45,0.05,0.36
1993-01-25,-1.7,-1.69,-0.99,1.61,-1.49,-0.14,0.36
1993-01-26,-1.7,-1.68,-0.79,2.01,-1.54,-0.06,0.33
1993-01-27,-1.69,-1.64,-0.75,1.47,-1.44,0.07,0.33
1993-01-28,-1.68,-1.63,-0.75,1.22,-1.41,0.12,0.32
1993-01-29,-1.67,-1.6,-0.73,1.21,-1.31,0.18,0.45
1993-01-30,-1.67,-1.61,-0.75,1.23,-1.34,-0.06,0.59
1993-01-31,-1.67,-1.61,-0.91,0.6,-1.21,-0.19,0.54
1993-02-01,-1.72,-1.62,-1.12,0.22,-1.09,-0.33,0.5
1993-02-02,-1.78,-1.72,-1.45,-0.11,-0.92,-0.26,0.46
1993-02-03,-1.77,-1.79,-1.48,-0.34,-0.76,-0.17,0.43
1993-02-04,-1.76,-1.79,-1.38,-0.44,-0.77,-0.32,0.35
1993-02-05,-1.79,-1.81,-1.32,-0.46,-0.84,-0.42,0.11
1993-02-06,-1.81,-1.82,-1.27,-0.57,-1.05,-0.53,-0.14
1993-02-07,-1.81,-1.82,-1.43,-0.64,-1.19,-0.62,-0.25
1993-02-08,-1.82,-1.82,-1.55,-0.69,-1.31,-0.71,-0.36
1993-02-09,-1.83,-1.83,-1.53,-0.77,-1.46,-0.82,-0.51
1993-02-10,-1.83,-1.82,-1.61,-0.88,-1.52,-0.88,-0.58
1993-02-11,-1.82,-1.82,-1.59,-0.97,-1.63,-0.98,-0.7
1993-02-12,-1.8,-1.79,-1.63,-1.02,-1.65,-1.05,-0.78
1993-02-13,-1.8,-1.78,-1.69,-1.12,-1.67,-1.12,-0.86
1993-02-14,-1.78,-1.77,-1.66,-0.68,-1.68,-1.22,-1.11
1993-02-15,-1.73,-1.73,-1.6,0.02,-1.63,-1.22,-1.05
1993-02-16,-1.7,-1.71,-1.54,-0.01,-1.61,-1.24,-1
1993-02-17,-1.7,-1.7,-1.54,-0.28,-1.62,-1.23,-1.02
1993-02-18,-1.69,-1.7,-1.47,0.18,-1.52,-1.22,-0.89
1993-02-19,-1.67,-1.68,-1.44,0.23,-1.48,-1.26,-0.71
1993-02-20,-1.66,-1.62,-1.45,-0.11,-1.42,-1.24,-0.72
1993-02-21,-1.7,-1.61,-1.42,-0.24,-1.4,-1.3,-0.75
1993-02-22,-1.72,-1.62,-1.44,-0.46,-1.4,-1.35,-0.82
1993-02-23,-1.73,-1.64,-1.51,-0.55,-1.41,-1.34,-0.89
1993-02-24,-1.7,-1.64,-1.49,-0.5,-1.38,-1.38,-0.89
1993-02-25,-1.72,-1.65,-1.4,-0.41,-1.34,-1.38,-0.95
1993-02-26,-1.73,-1.65,-1.35,-0.38,-1.29,-1.34,-0.94
1993-02-27,-1.73,-1.63,-1.31,-0.37,-1.28,-1.31,-0.9
1993-02-28,-1.74,-1.62,-1.4,-0.47,-1.28,-1.28,-0.86
1993-03-01,-1.77,-1.68,-1.53,-0.68,-1.2,-1.14,-0.84
1993-03-02,-1.75,-1.72,-1.47,-0.72,-1.16,-1.02,-0.78
1993-03-03,-1.72,-1.73,-1.31,-0.84,-1.16,-1.1,-0.72
1993-03-04,-1.63,-1.69,-1.17,-0.97,-1.19,-1.14,-0.8
1993-03-05,-1.67,-1.72,-1.3,-1.09,-1.21,-1.15,-0.87
1993-03-06,-1.74,-1.7,-1.57,-1.32,-1.21,-1.14,-0.89
1993-03-07,-1.73,-1.69,-1.55,-1.29,-1.24,-1.11,-0.87
1993-03-08,-1.71,-1.71,-1.44,-1.32,-1.32,-1.17,-0.9
1993-03-09,-1.65,-1.69,-1.31,-1.36,-1.4,-1.2,-0.95
1993-03-10,-1.67,-1.68,-1.36,-1.33,-1.43,-1.24,-1.01
1993-03-11,-1.64,-1.65,-1.38,-1.26,-1.45,-1.25,-1.07
1993-03-12,-1.68,-1.66,-1.42,-1.23,-1.48,-1.28,-1.09
1993-03-13,-1.69,-1.7,-1.37,-1.23,-1.53,-1.31,-1.15
1993-03-14,-1.69,-1.7,-1.42,-1.22,-1.56,-1.34,-1.25
1993-03-15,-1.72,-1.71,-1.54,-0.73,-1.62,-1.37,-1.07
1993-03-16,-1.72,-1.71,-1.5,-0.76,-1.64,-1.35,-0.96
1993-03-17,-1.72,-1.71,-1.43,-0.8,-1.68,-1.38,-1.09
1993-03-18,-1.71,-1.71,-1.37,-0.47,-1.69,-1.39,-1.09
1993-03-19,-1.67,-1.68,-1.43,-0.47,-1.6,-1.34,-1.07
1993-03-20,-1.6,-1.65,-1.41,-0.53,-1.55,-1.33,-1.05
1993-03-21,-1.54,-1.62,-1.33,-0.55,-1.53,-1.33,-1
1993-03-22,-1.49,-1.57,-1.26,-0.52,-1.51,-1.35,-0.97
1993-03-23,-1.41,-1.51,-1.15,-0.38,-1.46,-1.3,-0.97
1993-03-24,-1.36,-1.45,-1.04,-0.31,-1.38,-1.27,-0.94
1993-03-25,-1.32,-1.41,-0.99,-0.27,-1.34,-1.25,-0.9
1993-03-26,-1.27,-1.35,-0.91,0,-1.31,-1.21,-0.83
1993-03-27,-1.2,-1.26,-0.81,0.43,-1.29,-1.16,-0.74
1993-03-28,-1.1,-1.17,-0.67,0.79,-1.25,-1.11,-0.66
1993-03-29,-1.03,-1.11,-0.54,0.89,-1.15,-1.03,-0.59
1993-03-30,-1.05,-1.09,-0.43,0.69,-1.06,-0.94,-0.54
1993-03-31,-1.03,-0.9,-0.25,0.73,-0.91,-0.8,-0.46
1993-04-01,-0.8,-0.56,-0.08,0.84,-0.68,-0.66,-0.4
1993-04-02,-0.67,-0.46,-0.07,0.94,-0.52,-0.72,-0.33
1993-04-03,-0.54,-0.4,-0.09,1.16,-0.29,-0.75,-0.23
1993-04-04,-0.29,-0.22,0.03,1.31,0.01,-0.63,-0.15
1993-04-05,-0.01,0.07,0.29,1.38,0.24,-0.45,-0.08
1993-04-06,0.32,0.4,0.6,1.51,0.48,-0.38,0.01
1993-04-07,0.67,0.64,0.85,1.64,0.67,-0.27,0.11
1993-04-08,1.01,0.87,1.11,1.76,0.85,-0.09,0.23
1993-04-09,1.37,1.11,1.33,1.86,1,0.1,0.37
1993-04-10,1.79,1.39,1.56,1.95,1.15,0.27,0.53
1993-04-11,2.27,1.8,1.82,1.98,1.27,0.43,0.69
1993-04-12,2.57,2.24,2.12,2.07,1.41,0.61,0.84
1993-04-13,2.74,2.43,2.29,2.2,1.55,0.81,0.93
1993-04-14,2.75,2.45,2.41,2.16,1.64,0.99,0.97
1993-04-15,2.75,2.5,2.41,2.22,1.73,1.1,1.01
1993-04-16,2.97,2.66,2.51,2.35,1.85,1.11,1.05
1993-04-17,3.28,2.96,2.74,2.45,1.95,1.1,1.11
1993-04-18,3.69,3.3,2.95,2.6,2.1,1.12,1.28
1993-04-19,3.94,3.53,3.18,2.88,2.4,1.32,1.46
1993-04-20,4.26,3.87,3.44,3.18,2.74,1.54,1.53
1993-04-21,4.63,4.23,3.67,3.45,3,1.72,1.6
1993-04-22,4.92,4.52,3.89,3.6,3.18,1.89,1.74
1993-04-23,5.1,4.72,4.1,3.66,3.28,2.04,1.9
1993-04-24,5.22,5,4.31,3.87,3.62,2.22,2.14
1993-04-25,5.31,5.12,4.39,4.06,3.88,2.39,2.19
1993-04-26,5.49,5.26,4.55,4.14,4.02,2.48,2.27
1993-04-27,5.57,5.34,4.59,4.25,4.18,2.65,2.38
1993-04-28,5.25,5.16,4.5,4.02,3.96,2.73,2.4
1993-04-29,5.26,5.04,4.61,3.8,3.82,2.8,2.44
1993-04-30,5.34,4.97,4.67,3.81,3.69,2.82,2.48
1993-05-01,5.43,4.95,4.73,3.87,3.62,2.83,2.51
1993-05-02,5.56,4.95,4.69,3.97,3.69,2.88,2.55
1993-05-03,5.76,4.94,4.83,4.06,3.77,2.89,2.58
1993-05-04,5.97,5.29,5.02,4.14,3.88,2.93,2.63
1993-05-05,6.27,5.58,5.03,4.32,4.03,2.96,2.7
1993-05-06,6.52,5.86,5.16,4.57,4.18,3,2.79
1993-05-07,6.73,6.19,5.31,4.99,4.38,3.09,2.88
1993-05-08,6.92,6.45,5.61,4.91,4.51,3.24,2.93
1993-05-09,7.17,6.53,5.74,4.98,4.64,3.39,3
1993-05-10,7.27,6.56,5.89,4.91,4.66,3.45,3.06
1993-05-11,7.37,6.58,5.88,4.77,4.6,3.5,3.11
1993-05-12,7.44,6.61,5.94,4.83,4.65,3.52,3.15
1993-05-13,7.39,6.82,6.18,4.88,4.72,3.54,3.17
1993-05-14,7.32,6.84,6.14,5,4.77,3.61,3.22
1993-05-15,7.37,6.68,6.08,5.13,4.87,3.6,3.23
1993-05-16,7.55,6.57,6.02,5.22,4.95,3.61,3.23
1993-05-17,7.85,6.88,6.07,5.39,5.11,3.63,3.25
1993-05-18,8.07,7.28,6.23,5.56,5.27,3.66,3.26
1993-05-19,8.16,7.56,6.46,5.61,5.4,3.69,3.27
1993-05-20,8.1,7.61,6.62,5.52,5.38,3.71,3.27
1993-05-21,8.11,7.62,6.71,5.48,5.29,3.75,3.27
1993-05-22,8.22,7.67,6.73,5.55,5.33,3.8,3.29
1993-05-23,8.31,7.6,6.75,5.6,5.34,3.84,3.3
1993-05-24,8.2,7.09,6.39,5.54,5.12,3.83,3.3
