"Date","13 m","25 m","29 m","40 m"
1993-01-01,3.95,4.38,4.12,5.09
1993-01-02,3.52,4.24,4.01,4.87
1993-01-03,2.98,3.88,3.37,4.39
1993-01-04,3.07,3.66,3.01,4.12
1993-01-05,3.49,3.87,3.22,4.19
1993-01-06,3.81,4.23,3.61,4.35
1993-01-07,3.81,4.24,3.84,4.42
1993-01-08,3.79,4.19,3.93,4.41
1993-01-09,3.55,4.06,3.83,4.31
1993-01-10,3.18,3.71,3.18,3.91
1993-01-11,2.92,3.27,2.65,3.48
1993-01-12,2.68,3.01,2.56,3.29
1993-01-13,2.48,2.71,2.51,3.02
1993-01-14,2.31,2.58,2.16,2.47
1993-01-15,1.89,2.1,1.6,1.95
1993-01-16,1.66,1.92,1.58,1.95
1993-01-17,1.61,1.88,1.64,2.07
1993-01-18,1.51,1.81,1.57,2.07
1993-01-19,1.48,1.66,1.27,2.14
1993-01-20,1.18,1.41,0.97,2
1993-01-21,0.93,1.26,0.89,1.78
1993-01-22,0.83,1.32,0.87,1.66
1993-01-23,1.05,1.33,0.98,1.8
1993-01-24,1.34,1.4,1.15,1.97
1993-01-25,1.64,1.54,1.22,1.96
1993-01-26,1.63,1.74,1.3,2.11
1993-01-27,1.43,1.73,1.37,2.18
1993-01-28,1.31,1.64,1.38,2.07
1993-01-29,1.28,1.61,1.4,2.04
1993-01-30,1.39,1.56,1.26,2.11
1993-01-31,1.21,1.45,0.93,2.15
1993-02-01,0.76,1.24,0.73,1.85
1993-02-02,0.4,0.8,0.2,1.08
1993-02-03,-0.01,0.39,0.1,0.64
1993-02-04,0.03,0.36,0.15,0.64
1993-02-05,-0.09,0.26,0.07,0.54
1993-02-06,-0.16,0.11,-0.03,0.52
1993-02-07,-0.43,-0.06,-0.31,0.21
1993-02-08,-0.39,-0.07,-0.52,-0.07
1993-02-09,-0.58,-0.26,-0.61,0.09
1993-02-10,-0.73,-0.38,-0.63,-0.03
1993-02-11,-0.55,-0.37,-0.67,0.05
1993-02-12,-0.61,-0.37,-0.68,-0.03
1993-02-13,-0.53,-0.34,-0.69,-0.36
1993-02-14,-0.31,-0.25,-0.58,-0.2
1993-02-15,-0.3,-0.19,-0.41,0.16
1993-02-16,-0.28,-0.18,-0.32,0.18
1993-02-17,-0.19,-0.16,-0.28,0.08
1993-02-18,-0.09,-0.07,-0.2,0.34
1993-02-19,-0.14,0.02,-0.2,0.43
1993-02-20,-0.44,-0.14,-0.44,0.07
1993-02-21,-0.58,-0.22,-0.45,0.06
1993-02-22,-0.64,-0.27,-0.5,-0.01
1993-02-23,-0.55,-0.29,-0.55,-0.13
1993-02-24,-0.41,-0.27,-0.51,-0.13
1993-02-25,-0.36,-0.22,-0.42,0.04
1993-02-26,-0.41,-0.18,-0.37,0.08
1993-02-27,-0.47,-0.16,-0.37,0.04
1993-02-28,-0.6,-0.29,-0.57,-0.2
1993-03-01,-0.81,-0.69,-0.82,-0.63
1993-03-02,-0.79,-0.67,-0.76,-0.6
1993-03-03,-0.62,-0.57,-0.66,-0.56
1993-03-04,-0.44,-0.47,-0.54,-0.47
1993-03-05,-0.42,-0.47,-0.53,-0.5
1993-03-06,-0.6,-0.65,-0.71,-0.74
1993-03-07,-0.63,-0.77,-0.79,-0.87
1993-03-08,-0.53,-0.7,-0.74,-0.84
1993-03-09,-0.38,-0.63,-0.65,-0.79
1993-03-10,-0.3,-0.59,-0.58,-0.76
1993-03-11,-0.31,-0.58,-0.53,-0.72
1993-03-12,-0.37,-0.56,-0.52,-0.69
1993-03-13,-0.39,-0.54,-0.52,-0.65
1993-03-14,-0.34,-0.5,-0.44,-0.6
1993-03-15,-0.25,-0.33,-0.3,-0.31
1993-03-16,-0.26,-0.13,-0.27,-0.02
1993-03-17,0.16,0.08,-0.14,0.13
1993-03-18,0.36,0.37,0.16,0.28
1993-03-19,0.08,0.32,0,0.17
1993-03-20,0.02,0.18,-0.15,0.09
1993-03-21,0.06,0.08,-0.14,0.09
1993-03-22,0.11,0,-0.13,0.05
1993-03-23,0.27,-0.02,-0.08,0.01
1993-03-24,0.36,-0.02,-0.05,-0.04
1993-03-25,0.39,-0.05,-0.04,-0.06
1993-03-26,0.44,-0.06,-0.01,-0.05
1993-03-27,0.55,-0.04,0.03,-0.04
1993-03-28,0.66,-0.01,0.07,-0.02
1993-03-29,0.83,0.02,0.12,-0.03
1993-03-30,1.22,0.13,0.28,-0.04
1993-03-31,1.36,0.44,0.76,0.16
1993-04-01,1.37,0.71,1.03,0.33
1993-04-02,1.23,0.72,0.93,0.26
1993-04-03,1.13,0.59,0.79,0.15
1993-04-04,1.06,0.47,0.81,0.21
1993-04-05,1.04,0.55,0.96,0.37
1993-04-06,1.16,0.65,1.04,0.42
1993-04-07,1.3,0.68,1.05,0.41
1993-04-08,1.42,0.67,0.99,0.34
1993-04-09,1.56,0.67,0.96,0.29
1993-04-10,1.85,0.74,1.01,0.29
1993-04-11,2.22,0.93,1.14,0.3
1993-04-12,2.3,1.09,1.28,0.34
1993-04-13,2.12,1.2,1.63,0.77
1993-04-14,1.96,1.51,1.88,1.06
1993-04-15,1.93,1.53,1.65,0.86
1993-04-16,1.92,1.37,1.58,0.79
1993-04-17,2.07,1.3,1.57,0.76
1993-04-18,2.3,1.27,1.47,0.61
1993-04-19,2.17,1.17,1.29,0.52
1993-04-20,2.19,1.13,1.25,0.5
1993-04-21,2.25,1.19,1.29,0.49
1993-04-22,2.38,1.4,1.44,0.56
1993-04-23,2.58,1.62,1.62,0.67
1993-04-24,2.48,1.62,1.76,0.73
1993-04-25,2.34,1.55,1.81,0.82
1993-04-26,2.65,1.73,2.02,0.99
1993-04-27,2.5,1.65,2.12,1.05
1993-04-28,2.84,1.96,2.33,1.38
1993-04-29,2.87,2.32,2.62,1.77
1993-04-30,2.92,2.46,2.77,1.94
1993-05-01,2.96,2.45,2.74,1.93
1993-05-02,3.01,2.36,2.65,1.8
1993-05-03,3.22,2.34,2.67,1.73
1993-05-04,3.45,2.36,2.74,1.58
1993-05-05,3.56,2.29,2.47,1.33
1993-05-06,3.6,2.23,2.32,1.2
