"Date","29 m","56 m","78 m","92 m"
1993-01-01,3.28,4,4.08,4.04
1993-01-02,2.8,3.6,3.64,3.63
1993-01-03,2.24,3.62,3.49,3.53
1993-01-04,2.24,3.52,3.39,3.49
1993-01-05,2.76,3.58,3.31,3.31
1993-01-06,3.35,3.44,3.17,3.01
1993-01-07,3.29,3.41,3.21,2.97
1993-01-08,3.19,3.49,3.31,3
1993-01-09,2.94,3.55,3.36,3.13
1993-01-10,2.63,3.43,3.32,3.26
1993-01-11,2.19,3.09,3.19,3.23
1993-01-12,1.99,2.88,2.95,3.09
1993-01-13,1.87,2.78,2.93,2.89
1993-01-14,1.57,2.48,2.85,2.76
1993-01-15,0.95,1.89,2.39,2.6
1993-01-16,0.83,1.76,2.25,2.48
1993-01-17,0.74,1.89,2.55,2.27
1993-01-18,0.69,2.03,2.61,2
1993-01-19,1.26,2.21,2.39,1.68
1993-01-20,2.04,2.2,2.12,1.62
1993-01-21,1.98,2.22,2.04,1.62
1993-01-22,1.65,2.23,2.18,1.82
1993-01-23,1.33,2.14,2.21,2.09
1993-01-24,1.03,2.01,2.2,2.18
1993-01-25,0.95,1.99,2.2,2.12
1993-01-26,1.46,2.04,2.01,1.89
1993-01-27,1.91,2.09,1.86,1.76
1993-01-28,1.74,2.07,1.93,1.8
1993-01-29,1.65,2.1,2,1.85
1993-01-30,1.53,2.11,2.06,1.91
1993-01-31,1.81,2.15,2.08,1.94
1993-02-01,1.56,2.21,2.12,2.01
1993-02-02,0.63,1.6,1.9,2
1993-02-03,-0.36,0.35,0.92,1.27
1993-02-04,-0.64,-0.13,0.57,1.23
1993-02-05,-0.77,-0.19,0.81,1.56
1993-02-06,-0.84,0.08,1.37,1.75
1993-02-07,-0.96,0.38,1.45,1.66
1993-02-08,-1.05,0.3,1.17,1.49
1993-02-09,-1.14,0.45,1.26,1.39
1993-02-10,-1.1,0.53,1.36,1.3
1993-02-11,-0.84,0.57,1.38,1.27
1993-02-12,-0.54,0.68,1.41,1.26
1993-02-13,-0.72,0.56,1.29,1.26
1993-02-14,-0.88,0.44,1.2,1.23
1993-02-15,-0.76,0.57,1.32,1.22
1993-02-16,-0.56,0.66,1.34,1.21
1993-02-17,-0.58,0.61,1.29,1.21
1993-02-18,-0.57,0.65,1.34,1.4
1993-02-19,-0.21,0.83,1.42,1.58
1993-02-20,-0.57,0.71,1.36,1.54
1993-02-21,-0.65,0.71,1.44,1.71
1993-02-22,-0.72,0.74,1.41,1.68
1993-02-23,-0.86,0.61,1.28,1.51
1993-02-24,-0.91,0.52,1.26,1.53
1993-02-25,-0.94,0.55,1.37,1.69
1993-02-26,-0.96,0.69,1.55,1.88
1993-02-27,-0.91,0.83,1.65,1.99
1993-02-28,-0.98,0.8,1.59,1.97
1993-03-01,-1.31,-0.07,0.79,0.94
1993-03-02,-1.19,-0.74,-0.03,0.7
1993-03-03,-1.13,-0.61,0.34,1.53
1993-03-04,-1.09,-0.29,0.92,1.69
1993-03-05,-1.05,0.02,0.89,1.58
1993-03-06,-1.08,-0.51,-0.11,-0.05
1993-03-07,-0.99,-0.85,-0.79,-0.81
1993-03-08,-0.89,-0.85,-0.53,-0.3
1993-03-09,-0.83,-0.8,-0.33,0.89
