"Date","47 m","66 m","78 m","92 m","110 m"
1993-01-01,6.66,6.32,8.09,8.77,7.68
1993-01-02,6.96,6.44,8.39,8.82,7.76
1993-01-03,7.45,6.97,8.69,8.75,7.86
1993-01-04,6.74,6.87,8.58,8.79,7.76
1993-01-05,6.84,6.01,8.05,8.73,7.53
1993-01-06,6.69,6.67,8.15,8.54,7.5
1993-01-07,6.3,6.82,8.14,8.33,7.52
1993-01-08,6.11,6.66,8.01,8.36,7.39
1993-01-09,6.77,6.56,7.88,8.34,7.29
1993-01-10,6.99,6.52,7.75,8.28,7.22
1993-01-11,6.5,5.87,7.1,8.29,6.98
1993-01-12,5.87,5.27,6.8,8.21,6.77
1993-01-13,5.65,5.29,6.81,8.17,6.65
1993-01-14,5.46,5.17,6.72,8.02,6.52
1993-01-15,5.07,4.65,6.32,7.55,6.28
1993-01-16,4.51,4.31,6.08,7.23,6.1
1993-01-17,4.49,4.66,6.19,7.13,5.91
1993-01-18,4.36,5.3,6.2,7,5.75
1993-01-19,4.27,5.7,6.32,6.98,5.61
1993-01-20,4.98,5.97,6.59,6.9,5.62
1993-01-21,5.69,5.87,6.62,6.75,5.66
1993-01-22,5.36,5.83,6.48,6.73,5.51
1993-01-23,4.95,5.61,6.21,6.69,5.41
1993-01-24,4.76,5.6,6.02,6.6,5.34
1993-01-25,4.58,5.6,6.1,6.5,5.28
1993-01-26,4.38,5.42,6.15,6.36,5.27
1993-01-27,4.75,5.52,6.17,6.05,5.44
1993-01-28,5.04,5.46,6.11,6.02,5.44
1993-01-29,4.62,5.27,6.15,6.08,5.34
1993-01-30,4.31,5.19,6.17,6.07,5.28
1993-01-31,4.38,5.35,6.05,6,5.32
1993-02-01,4.92,5.39,5.86,5.96,5.43
1993-02-02,4.31,4.59,5.71,6.09,5.3
1993-02-03,4.34,4.02,5.65,6.28,5.23
1993-02-04,3.67,3.44,5.19,6.3,5.11
1993-02-05,3.84,3.78,5.45,6.33,4.93
1993-02-06,4.06,4.51,5.71,6.25,4.72
1993-02-07,4.07,4.76,5.75,6.14,4.53
1993-02-08,3.35,4.43,5.03,5.99,4.32
1993-02-09,2.93,3.37,4.33,5.82,4.2
1993-02-10,2.87,4.07,4.81,5.51,4.05
