"Date","18 m","25 m","29 m","34 m","40 m","47 m","56 m","66 m"
1993-01-01,2.38,2.35,2.4,2.23,2.73,2.95,2.73,2.68
1993-01-02,2.3,2.42,2.34,2.08,2.67,2.86,2.64,2.59
1993-01-03,2,2.32,1.93,1.9,2.58,2.85,2.6,2.5
1993-01-04,1.83,2.1,1.69,1.85,2.46,2.7,2.52,2.43
1993-01-05,1.74,1.89,1.7,1.92,2.34,2.68,2.46,2.29
1993-01-06,1.89,1.88,1.73,1.96,2.28,2.49,2.32,2.19
1993-01-07,1.88,1.92,1.65,1.88,2.25,2.4,2.27,2.12
1993-01-08,1.77,1.84,1.64,1.87,2.12,2.32,2.3,2.07
1993-01-09,1.6,1.8,1.56,1.8,1.92,2.2,2.27,2
1993-01-10,1.36,1.61,1.39,1.67,1.74,2,2.18,1.9
1993-01-11,1.18,1.24,1.26,1.61,1.62,1.79,2.1,1.83
1993-01-12,1.1,1.18,1.1,1.51,1.53,1.67,2.08,1.77
1993-01-13,1.02,1.13,0.91,1.41,1.49,1.6,2.09,1.77
1993-01-14,0.71,0.83,0.57,1.11,1.23,1.48,2.03,1.71
1993-01-15,0.24,0.35,0.25,0.87,0.89,1.16,1.81,1.62
1993-01-16,0.26,0.2,0.27,0.79,1.02,1.13,1.74,1.58
1993-01-17,0.35,0.26,0.31,0.81,1.16,1.19,1.8,1.61
1993-01-18,0.3,0.26,0.13,0.77,1.14,1.21,1.77,1.63
1993-01-19,0.2,0.29,0.03,0.77,1.16,1.32,1.74,1.64
1993-01-20,0.07,0.19,-0.26,0.4,1.16,1.29,1.6,1.64
1993-01-21,-0.09,0.28,-0.45,0.19,0.92,1.35,1.63,1.63
1993-01-22,-0.24,0.14,-0.35,0.24,0.51,1.27,1.52,1.45
1993-01-23,-0.14,0.02,-0.3,0.33,0.48,0.97,1.29,1.25
1993-01-24,-0.04,-0.02,-0.36,0.44,0.57,0.91,1.27,1.23
1993-01-25,0.01,0.09,-0.36,0.48,0.62,0.9,1.29,1.29
1993-01-26,0.09,0.05,-0.36,0.45,0.89,1.24,1.45,1.44
1993-01-27,0.01,0.46,-0.48,0.22,0.98,1.33,1.45,1.51
1993-01-28,0.01,0.3,-0.65,0.16,0.91,1.26,1.45,1.5
1993-01-29,-0.07,0.4,-0.67,0.18,0.61,1.23,1.42,1.36
1993-01-30,-0.23,0.41,-0.58,0.23,0.4,1.12,1.32,1.24
1993-01-31,-0.43,0.56,-0.72,0.11,0.33,1.04,1.23,1.18
1993-02-01,-0.56,0.31,-0.94,-0.09,0.29,0.78,1.11,1.19
1993-02-02,-0.9,-0.75,-1.02,-0.24,-0.11,0.23,0.78,1.04
1993-02-03,-0.91,-1.11,-0.95,-0.28,-0.22,-0.57,0.37,0.84
1993-02-04,-0.76,-1.12,-0.97,-0.36,-0.12,-0.5,0.34,0.71
1993-02-05,-0.8,-1.02,-1.04,-0.48,-0.11,-0.29,0.4,0.73
1993-02-06,-0.88,-0.95,-1.17,-0.35,-0.02,-0.12,0.68,0.9
1993-02-07,-0.97,-0.97,-1.35,-0.34,-0.14,-0.22,0.66,0.89
1993-02-08,-1.27,-1.11,-1.44,-0.42,-0.55,-0.36,0.55,0.82
1993-02-09,-1.3,-1.12,-1.42,-0.46,-0.75,-0.1,0.58,0.67
1993-02-10,-1.29,-1.07,-1.44,-0.45,-0.81,-0.15,0.55,0.55
1993-02-11,-1.29,-1.09,-1.44,-0.41,-0.8,-0.11,0.62,0.55
1993-02-12,-1.31,-1.08,-1.46,-0.45,-0.88,-0.33,0.39,0.38
1993-02-13,-1.33,-1.19,-1.47,-0.51,-0.82,-0.75,0.14,0.38
1993-02-14,-1.16,-1.3,-1.49,-0.56,-0.55,-0.48,0.29,0.58
1993-02-15,-1.07,-1.15,-1.41,-0.57,-0.48,-0.12,0.41,0.59
1993-02-16,-1.02,-1.01,-1.38,-0.41,-0.38,-0.05,0.62,0.67
1993-02-17,-1.03,-1.09,-1.43,-0.43,-0.26,-0.03,0.7,0.81
1993-02-18,-0.87,-0.92,-1.34,-0.31,0.04,0.63,0.96,0.97
1993-02-19,-0.86,-0.54,-1.34,-0.36,-0.07,0.78,1,0.9
1993-02-20,-1.03,-0.54,-1.45,-0.43,-0.24,0.53,0.87,0.82
1993-02-21,-1.09,-0.6,-1.44,-0.39,-0.29,0.5,0.92,0.83
1993-02-22,-1.2,-0.74,-1.49,-0.43,-0.51,0.16,0.75,0.69
1993-02-23,-1.23,-1.07,-1.46,-0.44,-0.63,-0.05,0.61,0.58
1993-02-24,-1.17,-1.13,-1.36,-0.44,-0.57,-0.2,0.49,0.52
1993-02-25,-1.05,-1.09,-1.3,-0.44,-0.42,-0.22,0.52,0.54
1993-02-26,-1.06,-1.04,-1.39,-0.51,-0.35,-0.2,0.59,0.61
1993-02-27,-1.09,-1.02,-1.46,-0.51,-0.33,-0.19,0.63,0.66
1993-02-28,-1.15,-1.11,-1.52,-0.52,-0.44,-0.17,0.64,0.64
1993-03-01,-1.31,-1.33,-1.53,-0.53,-0.81,-0.57,0.3,0.45
1993-03-02,-1.31,-1.33,-1.42,-0.53,-0.92,-0.65,0.21,0.32
1993-03-03,-1.19,-1.2,-1.38,-0.57,-0.78,-0.54,0.29,0.32
