"Date","40 m","56 m","66 m"
1993-01-01,1.9,2.43,2.47
1993-01-02,1.87,2.59,2.69
1993-01-03,1.62,2.66,2.72
1993-01-04,1.21,2.41,2.14
1993-01-05,1.32,2.31,2.04
1993-01-06,1.43,2.25,2.14
1993-01-07,1.35,2.1,2.05
1993-01-08,1.25,1.95,2.01
1993-01-09,1.14,1.79,1.87
1993-01-10,0.97,1.44,1.54
1993-01-11,0.88,1.18,1.33
1993-01-12,0.88,1.55,1.64
1993-01-13,0.87,1.45,1.45
1993-01-14,0.65,1.4,1.4
1993-01-15,0.36,1.24,1.46
1993-01-16,0.55,1.66,1.83
1993-01-17,0.62,1.83,1.93
1993-01-18,0.58,1.82,1.93
1993-01-19,0.75,1.87,1.93
1993-01-20,0.17,1.72,1.56
1993-01-21,-0.5,0.6,0.41
1993-01-22,-0.6,-0.32,0.13
1993-01-23,-0.41,0.23,0.71
1993-01-24,-0.39,0.5,0.97
1993-01-25,-0.34,1,1.33
1993-01-26,0.12,1.51,1.71
1993-01-27,0.06,1.62,1.7
1993-01-28,-0.56,0.84,0.76
1993-01-29,-0.54,0.76,0.79
1993-01-30,-0.48,0.71,1
1993-01-31,-0.45,1.05,1.36
1993-02-01,-1.02,0.47,0.27
1993-02-02,-1.13,-0.85,-0.68
1993-02-03,-0.98,-0.61,-0.41
1993-02-04,-0.85,0.49,0.7
1993-02-05,-0.79,1.25,1.39
1993-02-06,-0.86,1.26,1.36
1993-02-07,-1.14,0.69,0.68
1993-02-08,-1.28,0.02,-0.14
1993-02-09,-0.92,0.35,0.36
1993-02-10,-0.98,0.37,0.4
1993-02-11,-1.14,-0.04,-0.14
1993-02-12,-1.16,-0.2,-0.13
1993-02-13,-1.24,-0.67,-0.58
1993-02-14,-0.91,0.01,0.37
1993-02-15,-0.5,1.13,1.43
1993-02-16,-0.47,1.23,1.48
1993-02-17,-0.62,1.14,1.27
1993-02-18,-0.42,1.07,1.24
1993-02-19,-0.13,1.19,1.36
1993-02-20,-0.4,1.12,1.28
1993-02-21,-0.75,0.99,0.93
1993-02-22,-1.14,0.52,0.36
1993-02-23,-1.15,0.24,0.32
1993-02-24,-1,0.55,0.76
1993-02-25,-0.9,0.72,0.95
1993-02-26,-0.92,0.73,0.97
1993-02-27,-1.1,0.55,0.76
1993-02-28,-1.32,0.1,0.3
1993-03-01,-1.39,-1.1,-0.65
1993-03-02,-1.3,-0.16,0.39
1993-03-03,-1.19,0.68,0.93
1993-03-04,-1.12,0.84,1.03
1993-03-05,-1.18,0.63,0.78
1993-03-06,-1.33,-0.65,-0.46
1993-03-07,-1.28,-1.26,-0.66
1993-03-08,-1.06,0.55,0.91
1993-03-09,-1.05,0.8,0.97
1993-03-10,-1.22,0.36,0.39
1993-03-11,-1.21,0.26,0.22
1993-03-12,-1.21,0.32,0.3
1993-03-13,-1.25,0.25,0.31
1993-03-14,-1.37,-0.12,-0.1
1993-03-15,-0.72,0.34,0.58
1993-03-16,-0.41,0.87,1.02
1993-03-17,-0.67,0.78,0.73
1993-03-18,-0.57,0.71,0.86
1993-03-19,-0.76,0.65,0.72
1993-03-20,-1.09,-0.45,-0.39
1993-03-21,-1.18,-0.63,-0.3
1993-03-22,-1.21,-0.51,-0.17
1993-03-23,-1.16,0.04,0.3
1993-03-24,-1.27,0,0.11
1993-03-25,-1.38,-0.51,-0.45
1993-03-26,-1.31,-0.18,-0.08
1993-03-27,-1.27,0.02,0.08
1993-03-28,-1.27,-0.15,-0.1
1993-03-29,-1.28,-0.31,-0.23
1993-03-30,-1.22,-0.41,-0.3
1993-03-31,-1.14,-0.44,-0.33
1993-04-01,-1.1,-0.5,-0.39
1993-04-02,-1.14,-0.63,-0.52
1993-04-03,-1.14,-0.7,-0.58
1993-04-04,-1.16,-0.82,-0.62
1993-04-05,-1.18,-0.43,-0.14
1993-04-06,-1.19,0.07,0.29
1993-04-07,-1.19,0.26,0.43
1993-04-08,-1.18,0.48,0.61
1993-04-09,-1.17,0.44,0.56
1993-04-10,-1.14,0.54,0.68
1993-04-11,-1.11,0.59,0.75
1993-04-12,-1.02,0.67,0.86
1993-04-13,-0.93,0.73,0.93
1993-04-14,-0.92,0.7,0.85
1993-04-15,-1.02,0.56,0.65
1993-04-16,-1.06,0.51,0.63
1993-04-17,-1.05,0.48,0.6
1993-04-18,-0.96,0.52,0.64
1993-04-19,-0.66,0.67,0.84
1993-04-20,-0.5,0.69,0.89
1993-04-21,-0.47,0.68,0.84
1993-04-22,-0.5,0.64,0.71
1993-04-23,-0.5,0.57,0.63
1993-04-24,-0.44,0.51,0.66
1993-04-25,-0.41,0.49,0.65
1993-04-26,-0.47,0.45,0.45
1993-04-27,-0.49,0.37,0.33
1993-04-28,-0.47,0.26,0.12
1993-04-29,-0.29,0.09,-0.22
1993-04-30,-0.08,-0.09,-0.36
1993-05-01,0.02,-0.18,-0.34
1993-05-02,0.04,-0.16,-0.22
1993-05-03,0.14,-0.17,-0.19
1993-05-04,0.23,-0.19,-0.21
1993-05-05,0.11,0.05,0.09
1993-05-06,0.09,0.11,0.15
1993-05-07,0.04,0.16,0.22
1993-05-08,0.12,0.08,0.09
1993-05-09,0.24,0.01,-0.02
1993-05-10,0.54,-0.05,-0.13
1993-05-11,0.93,0.04,-0.21
1993-05-12,1.07,0.06,-0.26
1993-05-13,1.1,0.04,-0.26
1993-05-14,1.06,0.11,-0.15
1993-05-15,0.86,0.24,0.04
1993-05-16,0.81,0.3,0.11
1993-05-17,0.78,0.29,0.09
1993-05-18,0.73,0.3,0.13
1993-05-19,0.69,0.27,0.12
1993-05-20,0.69,0.2,0.04
1993-05-21,0.7,0.12,-0.04
1993-05-22,0.69,0.08,-0.06
1993-05-23,0.69,0.05,-0.04
1993-05-24,0.7,0.01,-0.08
1993-05-25,0.74,0.02,-0.12
1993-05-26,0.85,0.06,-0.12
1993-05-27,0.95,0.08,-0.12
1993-05-28,0.96,0.07,-0.1
1993-05-29,1.07,0.07,-0.08
1993-05-30,1.35,0.13,-0.06
1993-05-31,1.65,0.21,-0.04
1993-06-01,1.93,0.34,-0.02
1993-06-02,1.73,0.33,0.02
1993-06-03,0.81,0.21,0.24
1993-06-04,0.66,0.25,0.33
1993-06-05,0.84,0.25,0.24
1993-06-06,1.18,0.29,0.17
1993-06-07,1.56,0.37,0.12
1993-06-08,1.45,0.35,0.19
1993-06-09,1.12,0.32,0.31
1993-06-10,1.46,0.34,0.27
1993-06-11,2.04,0.47,0.2
1993-06-12,2.74,0.58,0.18
1993-06-13,3.56,0.73,0.19
1993-06-14,3.62,0.72,0.18
1993-06-15,3.49,0.73,0.19
1993-06-16,2.96,0.7,0.24
1993-06-17,2.23,0.64,0.34
