Date,40 m T,40 m std(T),40 m N,47 m T,47 m std(T),47 m N,56 m T,56 m std(T),56 m N,66 m T,66 m std(T),66 m N,78 m T,78 m std(T),78 m N,92 m T,92 m std(T),92 m N,110 m T,110 m std(T),110 m N,131 m T,131 m std(T),131 m N,156 m T,156 m std(T),156 m N,186 m T,186 m std(T),186 m N,222 m T,222 m std(T),222 m N,266 m T,266 m std(T),266 m N,318 m T,318 m std(T),318 m N,380 m T,380 m std(T),380 m N
1993-01-01,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-02,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-03,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-04,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-05,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-06,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-07,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-08,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-09,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-10,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-11,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-12,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-13,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-14,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-15,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-16,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-17,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-18,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-19,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-20,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-21,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-22,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-23,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-24,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-25,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
1993-01-26,NaN,NaN,0, NaN, NaN,0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN,  0,  NaN, NaN, 0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0, NaN, NaN,0
