"Date","Sea Surface Temperature (oC)"
1993-01-01,5.02
1993-01-02,4.299
1993-01-03,4.294
1993-01-04,4.077
1993-01-05,3.116
1993-01-06,3.008
1993-01-07,2.972
1993-01-08,2.766
1993-01-09,2.825
1993-01-10,3.01
1993-01-11,2.872
1993-01-12,2.441
1993-01-13,2
1993-01-14,2.342
1993-01-15,2.521
1993-01-16,2.063
1993-01-17,1.776
1993-01-18,1.839
1993-01-19,2.041
1993-01-20,2.12
1993-01-21,2.061
1993-01-22,1.582
1993-01-23,1.257
1993-01-24,1.208
1993-01-25,1.273
1993-01-26,1.234
1993-01-27,0.965
1993-01-28,1.261
1993-01-29,1.178
1993-01-30,0.859
1993-01-31,0.525
1993-02-01,0.759
1993-02-02,1.098
1993-02-03,1.209
1993-02-04,1.061
1993-02-05,0.911
1993-02-06,0.749
1993-02-07,0.886
1993-02-08,0.869
1993-02-09,0.762
1993-02-10,0.741
1993-02-11,0.566
1993-02-12,0.63
1993-02-13,0.781
1993-02-14,0.673
1993-02-15,0.565
1993-02-16,0.573
1993-02-17,0.681
1993-02-18,0.53
1993-02-19,0.627
1993-02-20,0.832
1993-02-21,0.779
1993-02-22,0.714
1993-02-23,0.684
1993-02-24,0.642
1993-02-25,0.593
1993-02-26,0.711
1993-02-27,0.808
1993-02-28,0.826
1993-03-01,0.96
1993-03-02,1.182
1993-03-03,1.382
1993-03-04,1.544
1993-03-05,1.411
1993-03-06,1.179
1993-03-07,1.337
1993-03-08,1.643
1993-03-09,1.703
1993-03-10,1.702
1993-03-11,1.624
1993-03-12,1.833
1993-03-13,1.925
1993-03-14,2.131
1993-03-15,2.697
1993-03-16,2.609
1993-03-17,2.325
1993-03-18,1.556
1993-03-19,1.882
1993-03-20,1.748
1993-03-21,1.451
1993-03-22,1.154
1993-03-23,1.308
1993-03-24,1.443
1993-03-25,1.255
1993-03-26,1.537
1993-03-27,1.84
1993-03-28,2.116
1993-03-29,2.162
1993-03-30,1.844
1993-03-31,2.126
1993-04-01,2.308
1993-04-02,2.344
1993-04-03,2.493
1993-04-04,2.488
1993-04-05,2.498
1993-04-06,2.633
1993-04-07,3.029
1993-04-08,3.111
1993-04-09,3.158
1993-04-10,3.165
1993-04-11,3.037
1993-04-12,2.956
1993-04-13,2.975
1993-04-14,2.958
1993-04-15,2.939
1993-04-16,3.058
1993-04-17,3.092
1993-04-18,2.994
1993-04-19,3.038
1993-04-20,3.114
1993-04-21,3.087
1993-04-22,3.114
1993-04-23,3.057
1993-04-24,2.985
1993-04-25,3.317
1993-04-26,3.062
1993-04-27,3.016
1993-04-28,2.888
1993-04-29,2.838
1993-04-30,2.95
1993-05-01,3.383
1993-05-02,3.695
1993-05-03,3.549
1993-05-04,3.84
1993-05-05,4.135
1993-05-06,4.08
1993-05-07,4.226
1993-05-08,4.842
1993-05-09,4.509
1993-05-10,4.345
1993-05-11,4.332
1993-05-12,4.338
1993-05-13,4.363
1993-05-14,4.585
1993-05-15,4.766
1993-05-16,5.154
1993-05-17,5.087
1993-05-18,5.214
1993-05-19,5.285
1993-05-20,5.499
1993-05-21,5.562
1993-05-22,5.895
1993-05-23,6.181
1993-05-24,5.677
1993-05-25,5.837
1993-05-26,6.033
1993-05-27,6.175
1993-05-28,6.374
1993-05-29,6.575
1993-05-30,6.32
1993-05-31,5.936
1993-06-01,6.011
1993-06-02,5.926
1993-06-03,5.868
1993-06-04,6.028
1993-06-05,6.298
1993-06-06,6.446
1993-06-07,6.216
1993-06-08,6.231
1993-06-09,6.443
1993-06-10,6.892
1993-06-11,7.481
1993-06-12,7.081
1993-06-13,7.417
1993-06-14,7.439
1993-06-15,8.033
1993-06-16,8.425
1993-06-17,8.808
1993-06-18,9.274
1993-06-19,9.299
1993-06-20,9.641
1993-06-21,9.887
1993-06-22,9.548
1993-06-23,9.121
1993-06-24,8.433
1993-06-25,8.695
1993-06-26,8.877
1993-06-27,9.238
1993-06-28,9.544
1993-06-29,9.798
1993-06-30,10.216
1993-07-01,10.708
1993-07-02,11.196
1993-07-03,11.198
1993-07-04,11.19
1993-07-05,11.216
1993-07-06,11.206
1993-07-07,12.033
1993-07-08,12.92
1993-07-09,13.453
1993-07-10,14.2
1993-07-11,13.89
1993-07-12,13.664
1993-07-13,13.972
1993-07-14,14.14
1993-07-15,14.15
1993-07-16,13.946
1993-07-17,13.633
1993-07-18,13.178
1993-07-19,13.224
1993-07-20,13.403
1993-07-21,13.358
1993-07-22,13.473
1993-07-23,13.72
1993-07-24,14.053
1993-07-25,14.234
1993-07-26,13.938
1993-07-27,14.138
1993-07-28,14.107
1993-07-29,14.027
1993-07-30,14.297
1993-07-31,14.462
1993-08-01,15.064
1993-08-02,15.518
1993-08-03,15.499
1993-08-04,15.598
1993-08-05,15.756
1993-08-06,15.878
1993-08-07,15.976
1993-08-08,15.496
1993-08-09,16.054
1993-08-10,16.271
1993-08-11,16.185
1993-08-12,16.389
1993-08-13,16.612
1993-08-14,16.277
1993-08-15,16.319
1993-08-16,16.77
1993-08-17,16.999
1993-08-18,17.226
1993-08-19,17.454
1993-08-20,17.865
1993-08-21,18.201
1993-08-22,17.443
1993-08-23,17.461
1993-08-24,17.585
1993-08-25,17.684
1993-08-26,17.797
1993-08-27,18.31
1993-08-28,18.258
1993-08-29,18.277
1993-08-30,18.447
1993-08-31,18.354
1993-09-01,18.366
1993-09-02,18.418
1993-09-03,18.452
1993-09-04,18.463
1993-09-05,18.836
1993-09-06,19.011
1993-09-07,19.154
1993-09-08,19.155
1993-09-09,19.003
1993-09-10,18.877
1993-09-11,18.546
1993-09-12,17.771
1993-09-13,17.333
1993-09-14,17.119
1993-09-15,16.887
1993-09-16,16.665
1993-09-17,16.488
1993-09-18,16.373
1993-09-19,16.396
1993-09-20,16.041
1993-09-21,15.529
1993-09-22,15.419
1993-09-23,15.431
1993-09-24,15.487
1993-09-25,15.269
1993-09-26,15.168
1993-09-27,15.195
1993-09-28,14.982
1993-09-29,14.662
1993-09-30,14.646
1993-10-01,14.629
1993-10-02,14.566
1993-10-03,14.364
1993-10-04,14
1993-10-05,13.534
1993-10-06,13.237
1993-10-07,12.915
1993-10-08,12.472
1993-10-09,12.541
1993-10-10,12.407
1993-10-11,11.94
1993-10-12,11.746
1993-10-13,11.687
1993-10-14,11.477
1993-10-15,11.491
1993-10-16,11.609
1993-10-17,11.791
1993-10-18,11.905
1993-10-19,11.981
1993-10-20,11.857
1993-10-21,11.716
1993-10-22,11.546
1993-10-23,11.295
1993-10-24,11.075
1993-10-25,10.826
1993-10-26,10.658
1993-10-27,10.457
1993-10-28,10.401
1993-10-29,10.127
1993-10-30,10.101
1993-10-31,10.172
1993-11-01,10.19
1993-11-02,10.141
1993-11-03,10.028
1993-11-04,10.089
1993-11-05,10.181
1993-11-06,10.154
1993-11-07,10.147
1993-11-08,10.055
1993-11-09,9.955
1993-11-10,9.969
1993-11-11,9.924
1993-11-12,9.853
1993-11-13,9.821
1993-11-14,9.72
1993-11-15,9.795
1993-11-16,9.782
