"Date","Bottom Temperature (oC)"
1993-01-01,0.948
1993-01-02,0.854
1993-01-03,0.568
1993-01-04,0.443
1993-01-05,0.418
1993-01-06,0.41
1993-01-07,0.441
1993-01-08,0.448
1993-01-09,0.406
1993-01-10,0.265
1993-01-11,0.204
1993-01-12,0.126
1993-01-13,0.055
1993-01-14,-0.017
1993-01-15,-0.023
1993-01-16,-0.086
1993-01-17,-0.149
1993-01-18,-0.237
1993-01-19,-0.475
1993-01-20,-0.748
1993-01-21,-0.841
1993-01-22,-0.908
1993-01-23,-0.959
1993-01-24,-0.89
1993-01-25,-0.821
1993-01-26,-0.769
1993-01-27,-0.781
1993-01-28,-0.79
1993-01-29,-0.747
1993-01-30,-0.788
1993-01-31,-0.872
1993-02-01,-0.945
1993-02-02,-0.98
1993-02-03,-0.967
1993-02-04,-1.018
1993-02-05,-1.082
1993-02-06,-1.169
1993-02-07,-1.225
1993-02-08,-1.277
1993-02-09,-1.343
1993-02-10,-1.379
1993-02-11,-1.432
1993-02-12,-1.454
1993-02-13,-1.485
1993-02-14,-1.483
1993-02-15,-1.381
1993-02-16,-1.362
1993-02-17,-1.388
1993-02-18,-1.316
1993-02-19,-1.287
1993-02-20,-1.299
1993-02-21,-1.327
1993-02-22,-1.377
1993-02-23,-1.402
1993-02-24,-1.392
1993-02-25,-1.388
1993-02-26,-1.372
1993-02-27,-1.359
1993-02-28,-1.365
1993-03-01,-1.361
1993-03-02,-1.323
1993-03-03,-1.327
1993-03-04,-1.328
1993-03-05,-1.377
1993-03-06,-1.425
1993-03-07,-1.413
1993-03-08,-1.436
1993-03-09,-1.432
1993-03-10,-1.456
1993-03-11,-1.448
1993-03-12,-1.471
1993-03-13,-1.497
1993-03-14,-1.517
1993-03-15,-1.474
1993-03-16,-1.465
1993-03-17,-1.492
1993-03-18,-1.458
1993-03-19,-1.42
1993-03-20,-1.389
1993-03-21,-1.357
1993-03-22,-1.327
1993-03-23,-1.262
1993-03-24,-1.21
1993-03-25,-1.175
1993-03-26,-1.105
1993-03-27,-1.008
1993-03-28,-0.905
1993-03-29,-0.828
1993-03-30,-0.819
1993-03-31,-0.695
1993-04-01,-0.488
1993-04-02,-0.409
1993-04-03,-0.305
1993-04-04,-0.117
1993-04-05,0.089
1993-04-06,0.317
1993-04-07,0.537
1993-04-08,0.766
1993-04-09,0.999
1993-04-10,1.248
1993-04-11,1.529
1993-04-12,1.784
1993-04-13,1.948
1993-04-14,1.992
1993-04-15,2.031
1993-04-16,2.158
1993-04-17,2.35
1993-04-18,2.595
1993-04-19,2.833
1993-04-20,3.113
1993-04-21,3.392
1993-04-22,3.617
1993-04-23,3.776
1993-04-24,3.98
1993-04-25,4.104
1993-04-26,4.242
1993-04-27,4.341
1993-04-28,4.165
1993-04-29,4.127
1993-04-30,4.141
1993-05-01,4.182
1993-05-02,4.261
1993-05-03,4.351
1993-05-04,4.515
1993-05-05,4.691
1993-05-06,4.879
1993-05-07,5.085
1993-05-08,5.239
1993-05-09,5.396
1993-05-10,5.424
1993-05-11,5.42
1993-05-12,5.467
1993-05-13,5.544
1993-05-14,5.565
1993-05-15,5.57
1993-05-16,5.613
1993-05-17,5.778
1993-05-18,5.942
1993-05-19,6.063
1993-05-20,6.062
1993-05-21,6.077
1993-05-22,6.145
1993-05-23,6.186
1993-05-24,5.994
1993-05-25,5.947
1993-05-26,6.097
1993-05-27,6.259
1993-05-28,6.387
1993-05-29,6.432
1993-05-30,6.428
1993-05-31,6.113
1993-06-01,5.964
1993-06-02,6.1
1993-06-03,6.373
1993-06-04,6.638
1993-06-05,6.83
1993-06-06,7.088
1993-06-07,7.263
1993-06-08,7.342
1993-06-09,7.501
1993-06-10,7.752
1993-06-11,7.958
1993-06-12,7.965
1993-06-13,7.941
1993-06-14,8.136
1993-06-15,8.382
1993-06-16,8.698
1993-06-17,9.041
1993-06-18,9.309
1993-06-19,9.512
1993-06-20,9.643
1993-06-21,9.829
1993-06-22,10.012
1993-06-23,10.196
1993-06-24,9.954
1993-06-25,9.695
1993-06-26,9.863
1993-06-27,10.265
1993-06-28,10.567
1993-06-29,10.918
1993-06-30,11.169
1993-07-01,11.266
1993-07-02,11.387
1993-07-03,11.554
1993-07-04,11.713
1993-07-05,11.631
1993-07-06,11.213
1993-07-07,11.111
1993-07-08,11.207
1993-07-09,11.313
1993-07-10,11.353
1993-07-11,11.447
1993-07-12,11.523
1993-07-13,11.519
1993-07-14,11.605
1993-07-15,11.652
1993-07-16,11.56
1993-07-17,11.131
1993-07-18,10.32
1993-07-19,9.86
1993-07-20,10.031
1993-07-21,10.612
1993-07-22,11.048
1993-07-23,11.283
1993-07-24,11.415
1993-07-25,11.475
1993-07-26,11.438
1993-07-27,11.575
1993-07-28,11.858
1993-07-29,12.254
1993-07-30,12.594
1993-07-31,12.948
1993-08-01,13.326
1993-08-02,13.448
1993-08-03,13.675
1993-08-04,14.017
1993-08-05,14.092
1993-08-06,14.112
1993-08-07,14.071
1993-08-08,13.997
1993-08-09,13.946
1993-08-10,14.022
1993-08-11,14.16
1993-08-12,14.264
1993-08-13,14.261
1993-08-14,14.034
1993-08-15,13.609
1993-08-16,13.326
1993-08-17,13.168
1993-08-18,13.29
1993-08-19,13.368
1993-08-20,13.453
1993-08-21,13.631
1993-08-22,13.347
1993-08-23,13.005
1993-08-24,13.093
1993-08-25,13.312
1993-08-26,13.653
1993-08-27,13.739
1993-08-28,13.798
1993-08-29,14.007
1993-08-30,14.065
1993-08-31,14.08
1993-09-01,14.186
1993-09-02,14.291
1993-09-03,14.372
1993-09-04,14.509
1993-09-05,14.711
1993-09-06,14.717
1993-09-07,14.738
1993-09-08,14.731
1993-09-09,14.753
1993-09-10,14.787
1993-09-11,14.981
1993-09-12,15.024
1993-09-13,14.596
1993-09-14,14.667
1993-09-15,14.987
1993-09-16,15.204
1993-09-17,15.165
1993-09-18,15.037
1993-09-19,15.013
1993-09-20,14.861
