"Date","Bottom Temperature (oC)"
1993-01-01,2.579
1993-01-02,2.32
1993-01-03,1.886
1993-01-04,1.752
1993-01-05,2.114
1993-01-06,2.447
1993-01-07,2.42
1993-01-08,2.353
1993-01-09,2.068
1993-01-10,1.407
1993-01-11,1.127
1993-01-12,1.151
1993-01-13,1.126
1993-01-14,0.5
1993-01-15,0.093
1993-01-16,0.207
1993-01-17,0.341
1993-01-18,0.244
1993-01-19,0.182
1993-01-20,-0.081
1993-01-21,-0.269
1993-01-22,-0.403
1993-01-23,-0.085
1993-01-24,0.054
1993-01-25,0.261
1993-01-26,0.599
1993-01-27,0.496
1993-01-28,0.313
1993-01-29,0.366
1993-01-30,0.416
1993-01-31,0.176
1993-02-01,-0.374
1993-02-02,-0.927
1993-02-03,-1.174
1993-02-04,-1.121
1993-02-05,-1.111
1993-02-06,-1.178
1993-02-07,-1.299
1993-02-08,-1.418
1993-02-09,-1.424
1993-02-10,-1.386
1993-02-11,-1.351
1993-02-12,-1.317
1993-02-13,-1.474
1993-02-14,-1.477
1993-02-15,-1.266
1993-02-16,-1.093
1993-02-17,-1.064
1993-02-18,-0.946
1993-02-19,-0.967
1993-02-20,-1.222
1993-02-21,-1.197
1993-02-22,-1.299
1993-02-23,-1.375
1993-02-24,-1.269
1993-02-25,-1.227
1993-02-26,-1.233
1993-02-27,-1.24
1993-02-28,-1.397
1993-03-01,-1.416
1993-03-02,-1.331
1993-03-03,-1.157
1993-03-04,-1.014
1993-03-05,-0.995
1993-03-06,-1.104
1993-03-07,-0.978
1993-03-08,-0.898
1993-03-09,-0.767
1993-03-10,-0.62
1993-03-11,-0.581
1993-03-12,-0.691
1993-03-13,-0.737
1993-03-14,-0.634
1993-03-15,-0.587
1993-03-16,-0.681
1993-03-17,-0.258
1993-03-18,0.208
1993-03-19,-0.185
1993-03-20,-0.334
1993-03-21,-0.198
1993-03-22,-0.067
1993-03-23,0.024
1993-03-24,0.155
1993-03-25,0.306
1993-03-26,0.426
1993-03-27,0.486
1993-03-28,0.607
1993-03-29,0.911
1993-03-30,1.4
1993-03-31,1.543
1993-04-01,1.54
1993-04-02,1.529
1993-04-03,1.507
1993-04-04,1.466
1993-04-05,1.316
1993-04-06,1.36
1993-04-07,1.51
1993-04-08,1.532
1993-04-09,1.764
1993-04-10,2.069
1993-04-11,2.451
1993-04-12,2.51
1993-04-13,2.276
1993-04-14,2.099
1993-04-15,1.954
1993-04-16,1.87
1993-04-17,1.977
1993-04-18,2.293
1993-04-19,2.122
1993-04-20,2.142
1993-04-21,1.989
1993-04-22,1.878
1993-04-23,2.093
1993-04-24,2.008
1993-04-25,1.698
1993-04-26,1.891
1993-04-27,1.776
1993-04-28,2.052
1993-04-29,2.464
1993-04-30,2.721
1993-05-01,2.874
1993-05-02,3.06
1993-05-03,3.388
1993-05-04,3.675
1993-05-05,3.608
1993-05-06,3.395
1993-05-07,3.378
1993-05-08,3.68
1993-05-09,3.927
1993-05-10,4.186
1993-05-11,4.434
1993-05-12,4.784
1993-05-13,5.143
1993-05-14,5.053
1993-05-15,5.085
1993-05-16,5.269
1993-05-17,5.14
1993-05-18,4.461
1993-05-19,4.182
1993-05-20,4.167
1993-05-21,4.323
1993-05-22,4.54
1993-05-23,4.562
1993-05-24,4.962
1993-05-25,4.843
1993-05-26,4.531
1993-05-27,4.152
1993-05-28,3.971
1993-05-29,4.041
1993-05-30,4.341
1993-05-31,4.562
1993-06-01,5.017
1993-06-02,5.713
1993-06-03,4.976
1993-06-04,4.464
1993-06-05,4.394
1993-06-06,4.853
1993-06-07,5.354
1993-06-08,5.55
1993-06-09,5.091
1993-06-10,4.888
1993-06-11,5.325
1993-06-12,6.11
1993-06-13,6.752
1993-06-14,7.268
1993-06-15,7.067
1993-06-16,7.334
1993-06-17,7.238
1993-06-18,7.103
1993-06-19,6.915
1993-06-20,6.755
1993-06-21,7.158
1993-06-22,7.198
1993-06-23,6.365
1993-06-24,6.266
1993-06-25,6.539
1993-06-26,7.023
1993-06-27,6.613
1993-06-28,6.323
1993-06-29,6.046
1993-06-30,5.716
1993-07-01,5.892
1993-07-02,6.393
1993-07-03,6.936
1993-07-04,7.505
1993-07-05,7.721
1993-07-06,8.519
1993-07-07,9.266
1993-07-08,10.226
1993-07-09,11.133
1993-07-10,11.77
1993-07-11,12.072
1993-07-12,11.533
1993-07-13,11.21
1993-07-14,11.199
1993-07-15,10.979
1993-07-16,10.735
1993-07-17,10.168
1993-07-18,9.942
1993-07-19,10.492
1993-07-20,11.196
1993-07-21,12.021
1993-07-22,12.299
1993-07-23,12.07
1993-07-24,11.745
1993-07-25,11.757
1993-07-26,12.207
1993-07-27,12.77
1993-07-28,13.366
1993-07-29,13.421
1993-07-30,13.126
1993-07-31,13.083
1993-08-01,12.516
1993-08-02,11.946
1993-08-03,11.792
1993-08-04,11.243
1993-08-05,10.89
1993-08-06,10.832
1993-08-07,10.923
1993-08-08,11.532
