"Date","29 m","34 m","40 m"
1993-01-01,3.052,3.798,3.493
1993-01-02,3.322,3.689,3.377
1993-01-03,3.659,3.665,3.396
1993-01-04,3.845,3.711,3.448
1993-01-05,3.878,3.814,3.603
1993-01-06,3.648,3.982,3.796
1993-01-07,3.309,4.027,3.777
1993-01-08,2.868,3.805,3.474
1993-01-09,2.729,3.58,3.24
1993-01-10,2.841,3.474,3.193
1993-01-11,2.947,3.429,3.209
1993-01-12,3.09,3.416,3.23
1993-01-13,3.135,3.402,3.265
1993-01-14,3.08,3.372,3.339
1993-01-15,2.846,3.358,3.365
1993-01-16,2.521,3.317,3.263
1993-01-17,2.233,3.269,3.128
1993-01-18,1.97,3.172,3.03
1993-01-19,2.169,2.991,3.04
1993-01-20,2.496,2.886,3.111
1993-01-21,2.397,2.839,3.001
1993-01-22,2.079,2.765,2.618
1993-01-23,1.317,2.57,2.282
1993-01-24,0.661,2.21,1.718
1993-01-25,0.677,1.915,1.527
1993-01-26,1.6,1.847,1.632
1993-01-27,2.23,1.913,1.756
1993-01-28,1.995,2.084,1.918
1993-01-29,1.512,2.17,2.005
1993-01-30,1.012,2.024,1.737
1993-01-31,1.196,1.862,1.637
1993-02-01,1.125,1.704,1.562
1993-02-02,0.86,1.622,1.584
1993-02-03,0.512,1.632,1.588
1993-02-04,0.285,1.61,1.463
1993-02-05,0.426,1.622,1.316
1993-02-06,0.69,1.681,1.296
1993-02-07,0.804,1.746,1.316
1993-02-08,0.636,1.594,1.3
1993-02-09,0.59,1.477,1.263
1993-02-10,0.455,1.347,1.144
1993-02-11,0.155,1.073,0.974
1993-02-12,-0.103,0.779,0.816
1993-02-13,-0.651,0.382,0.393
1993-02-14,-0.853,-0.098,-0.212
1993-02-15,-0.798,-0.239,-0.373
1993-02-16,-0.669,-0.145,-0.307
1993-02-17,-0.702,-0.039,-0.224
1993-02-18,-0.518,0.031,-0.177
1993-02-19,-0.575,-0.056,-0.218
1993-02-20,-0.48,-0.057,-0.184
1993-02-21,-0.067,0.028,-0.07
1993-02-22,0.167,0.135,0.158
1993-02-23,0.007,0.343,0.536
1993-02-24,-0.242,0.487,0.549
1993-02-25,-0.36,0.505,0.362
1993-02-26,-0.294,0.374,0.2
1993-02-27,-0.126,0.388,0.187
1993-02-28,-0.113,0.508,0.33
1993-03-01,-0.321,0.588,0.549
1993-03-02,-0.351,0.615,0.568
1993-03-03,-0.103,0.622,0.514
1993-03-04,0.127,0.673,0.518
1993-03-05,0.12,0.671,0.516
1993-03-06,-0.311,0.446,0.445
1993-03-07,-0.628,0.247,0.298
1993-03-08,-0.391,0.268,0.275
1993-03-09,-0.163,0.301,0.266
1993-03-10,-0.223,0.207,0.163
1993-03-11,-0.364,0.186,0.153
1993-03-12,-0.458,0.223,0.229
1993-03-13,-0.236,0.328,0.349
1993-03-14,-0.415,0.281,0.326
1993-03-15,-0.62,0.245,0.233
1993-03-16,-0.531,0.17,0.119
1993-03-17,-0.547,-0.085,-0.048
1993-03-18,-0.594,-0.086,-0.052
1993-03-19,-0.553,-0.131,-0.192
1993-03-20,-0.65,-0.165,-0.233
1993-03-21,-0.633,-0.165,-0.281
1993-03-22,-0.546,-0.149,-0.297
1993-03-23,-0.354,-0.102,-0.273
1993-03-24,-0.173,-0.041,-0.226
1993-03-25,-0.186,0.043,-0.122
1993-03-26,-0.235,0.129,-0.03
1993-03-27,-0.254,0.2,-0.093
1993-03-28,-0.215,0.197,-0.176
1993-03-29,-0.149,0.182,-0.187
1993-03-30,-0.064,0.21,-0.106
1993-03-31,0.114,0.319,0.028
1993-04-01,0.349,0.516,0.089
1993-04-02,0.492,0.68,0.103
1993-04-03,0.555,0.785,0.136
1993-04-04,0.626,0.882,0.18
1993-04-05,0.713,0.976,0.232
1993-04-06,0.764,1.013,0.273
1993-04-07,0.783,1.007,0.33
1993-04-08,0.818,1.003,0.407
1993-04-09,0.88,1.009,0.504
1993-04-10,0.992,1.072,0.631
1993-04-11,1.146,1.219,0.804
1993-04-12,1.384,1.47,0.998
1993-04-13,1.574,1.795,1.149
1993-04-14,1.888,2.011,1.247
1993-04-15,2.119,2.123,1.212
1993-04-16,2.214,2.131,1.16
1993-04-17,2.2,2.072,1.148
1993-04-18,1.984,1.947,1.179
1993-04-19,1.891,1.85,1.261
1993-04-20,1.94,1.833,1.379
1993-04-21,2.012,1.855,1.51
1993-04-22,2.09,1.945,1.64
1993-04-23,2.255,2.089,1.765
1993-04-24,2.42,2.216,1.847
1993-04-25,2.493,2.3,1.899
1993-04-26,2.559,2.38,1.968
1993-04-27,2.616,2.428,2.048
1993-04-28,2.742,2.559,2.208
1993-04-29,3.044,2.867,2.372
1993-04-30,3.341,3.134,2.441
1993-05-01,3.506,3.33,2.432
1993-05-02,3.528,3.413,2.315
1993-05-03,3.6,3.448,2.231
1993-05-04,3.582,3.388,2.187
1993-05-05,3.438,3.254,2.126
1993-05-06,3.235,2.997,2.085
1993-05-07,3.117,2.741,2.074
1993-05-08,3.224,2.763,2.116
1993-05-09,3.337,2.828,2.183
1993-05-10,3.448,2.942,2.271
1993-05-11,3.561,3.078,2.342
1993-05-12,3.629,3.193,2.355
1993-05-13,3.729,3.304,2.392
1993-05-14,3.755,3.366,2.397
1993-05-15,3.751,3.399,2.365
1993-05-16,3.75,3.349,2.331
1993-05-17,3.667,3.174,2.29
1993-05-18,3.583,2.987,2.266
1993-05-19,3.546,2.895,2.262
1993-05-20,3.582,2.931,2.296
1993-05-21,3.684,3.061,2.383
1993-05-22,3.744,3.209,2.457
1993-05-23,3.786,3.343,2.493
1993-05-24,3.827,3.442,2.497
1993-05-25,3.81,3.46,2.46
1993-05-26,3.766,3.35,2.432
1993-05-27,3.737,3.274,2.431
1993-05-28,3.706,3.229,2.439
1993-05-29,3.744,3.245,2.463
1993-05-30,3.81,3.289,2.516
1993-05-31,3.939,3.43,2.597
1993-06-01,4.141,3.679,2.678
1993-06-02,4.157,3.841,2.674
1993-06-03,3.965,3.59,2.591
1993-06-04,3.918,3.364,2.576
1993-06-05,4.103,3.405,2.686
1993-06-06,4.445,3.709,2.975
1993-06-07,4.767,4.19,3.298
1993-06-08,4.857,4.544,3.31
1993-06-09,4.811,4.548,3.114
1993-06-10,4.819,4.377,2.997
1993-06-11,4.917,4.351,3.005
1993-06-12,5.046,4.518,3.054
1993-06-13,5.096,4.689,3.003
1993-06-14,4.97,4.591,2.849
1993-06-15,4.825,4.277,2.731
1993-06-16,4.814,4.057,2.698
1993-06-17,4.875,4.059,2.772
1993-06-18,5.044,4.304,2.971
1993-06-19,5.225,4.593,3.185
1993-06-20,5.384,4.867,3.315
1993-06-21,5.531,5.075,3.341
1993-06-22,5.499,5.08,3.252
1993-06-23,5.424,4.93,3.17
1993-06-24,5.462,4.985,3.153
1993-06-25,5.593,5.114,3.111
1993-06-26,5.505,4.932,3.026
1993-06-27,5.238,4.515,2.953
1993-06-28,5.229,4.323,2.999
1993-06-29,5.483,4.489,3.166
1993-06-30,5.831,4.878,3.396
1993-07-01,6.162,5.301,3.51
1993-07-02,6.363,5.644,3.432
1993-07-03,6.397,5.731,3.27
1993-07-04,6.342,5.552,3.12
1993-07-05,6.194,5.354,2.96
1993-07-06,6.2,5.277,2.802
1993-07-07,6.008,5.016,2.709
1993-07-08,5.953,4.859,2.851
1993-07-09,6.027,4.844,3.081
1993-07-10,6.112,4.965,3.321
1993-07-11,6.23,5.121,3.566
1993-07-12,6.279,5.267,3.806
1993-07-13,6.461,5.473,4.059
1993-07-14,6.614,5.655,4.277
1993-07-15,6.557,5.715,4.33
1993-07-16,6.473,5.684,4.343
1993-07-17,6.398,5.676,4.351
1993-07-18,6.408,5.767,4.368
1993-07-19,6.424,5.834,4.379
1993-07-20,6.251,5.729,4.366
1993-07-21,6.079,5.526,4.362
1993-07-22,6.068,5.438,4.365
1993-07-23,6.185,5.519,4.374
1993-07-24,6.342,5.67,4.409
1993-07-25,6.471,5.863,4.456
1993-07-26,6.609,6.1,4.483
1993-07-27,6.587,6.164,4.424
1993-07-28,6.501,5.929,4.354
1993-07-29,6.527,5.737,4.331
1993-07-30,6.786,5.857,4.371
1993-07-31,7.106,6.164,4.446
1993-08-01,7.212,6.427,4.489
1993-08-02,7.391,6.673,4.531
1993-08-03,7.359,6.687,4.505
1993-08-04,7.231,6.418,4.512
1993-08-05,7.437,6.552,4.649
1993-08-06,7.702,6.834,4.781
1993-08-07,7.962,7.023,4.885
1993-08-08,8.31,7.326,4.994
1993-08-09,8.482,7.56,4.965
1993-08-10,8.504,7.5,4.905
1993-08-11,8.63,7.527,4.896
1993-08-12,8.801,7.713,4.894
1993-08-13,8.817,7.774,4.847
1993-08-14,8.732,7.719,4.807
1993-08-15,8.481,7.572,4.762
1993-08-16,8.227,7.323,4.749
1993-08-17,8.203,7.168,4.787
1993-08-18,8.317,7.128,4.859
1993-08-19,8.404,7.201,4.939
1993-08-20,8.485,7.335,5.026
1993-08-21,8.361,7.363,5.072
1993-08-22,8.252,7.367,5.118
1993-08-23,8.316,7.429,5.176
1993-08-24,8.151,7.374,5.222
1993-08-25,7.997,7.279,5.314
1993-08-26,7.778,7.126,5.428
1993-08-27,7.787,7.143,5.546
1993-08-28,8.154,7.32,5.747
1993-08-29,8.257,7.566,5.884
1993-08-30,8.318,7.741,5.985
1993-08-31,8.741,7.973,6.181
1993-09-01,9.087,8.276,6.306
1993-09-02,9.202,8.483,6.327
1993-09-03,9.597,8.759,6.469
1993-09-04,9.656,8.906,6.382
1993-09-05,9.608,8.696,6.273
1993-09-06,9.903,8.733,6.404
1993-09-07,10.246,9.205,6.536
1993-09-08,10.341,9.531,6.469
1993-09-09,10.369,9.545,6.416
1993-09-10,10.365,9.454,6.368
1993-09-11,10.273,8.99,6.289
1993-09-12,9.88,8.373,6.177
1993-09-13,9.81,8.135,6.21
1993-09-14,10.097,8.357,6.661
1993-09-15,10.555,8.856,7.518
1993-09-16,11.022,9.44,8.562
1993-09-17,11.772,10.664,10.007
1993-09-18,12.688,11.963,10.662
1993-09-19,12.957,12.69,9.701
1993-09-20,12.212,12.735,7.787
1993-09-21,11.365,11.675,6.811
1993-09-22,11.033,10.491,6.476
1993-09-23,11.205,10.303,6.751
1993-09-24,11.545,10.501,7.02
1993-09-25,11.317,10.41,6.822
1993-09-26,11.031,10.075,6.717
1993-09-27,11.173,9.998,6.906
1993-09-28,11.557,10.067,7.127
1993-09-29,11.477,9.922,7.207
1993-09-30,11.768,10.21,7.953
1993-10-01,12.353,10.999,9.187
1993-10-02,12.732,11.874,9.406
1993-10-03,13.054,12.243,9.045
1993-10-04,13.104,12.294,8.759
1993-10-05,12.857,11.89,8.302
1993-10-06,12.707,11.725,8.294
1993-10-07,12.452,11.668,8.261
1993-10-08,12.415,11.383,8.238
1993-10-09,12.592,11.663,8.871
1993-10-10,12.712,12.073,9.283
1993-10-11,12.028,12.099,8.554
1993-10-12,11.779,11.917,8.145
1993-10-13,11.819,11.67,8.421
1993-10-14,11.381,11.372,8.136
1993-10-15,11.187,11.166,7.919
1993-10-16,11.199,10.971,8.017
1993-10-17,11.234,10.944,8.209
1993-10-18,11.294,10.979,8.318
1993-10-19,11.158,10.93,8.22
1993-10-20,10.936,10.882,8.132
1993-10-21,10.971,10.808,8.315
1993-10-22,11.053,10.745,8.458
1993-10-23,10.848,10.608,8.253
1993-10-24,10.506,10.468,8.217
1993-10-25,10.512,10.327,8.371
1993-10-26,10.606,10.39,8.843
1993-10-27,10.76,10.536,9.404
1993-10-28,10.903,10.68,9.833
1993-10-29,10.729,10.812,9.439
1993-10-30,10.615,10.806,9.115
1993-10-31,10.67,10.72,9.226
1993-11-01,10.724,10.722,9.583
1993-11-02,10.626,10.739,9.712
1993-11-03,10.492,10.693,9.597
1993-11-04,10.484,10.598,9.535
1993-11-05,10.511,10.501,9.523
1993-11-06,10.514,10.444,9.575
