"Date","40 m","47 m","56 m","66 m","78 m","92 m","110 m","131 m","156 m"
1993-01-01,5.753,5.99,6.842,7.102,7.541,8.128,8.8,8.918,8.762
1993-01-02,5.676,5.983,6.945,7.199,7.562,8.138,8.758,9.005,8.673
1993-01-03,5.651,5.725,6.866,7.24,7.577,8.099,8.743,9.103,8.514
1993-01-04,5.546,5.545,6.768,7.213,7.528,8.004,8.709,9.087,8.485
1993-01-05,5.562,5.536,6.862,7.218,7.527,8.079,8.694,9.071,8.338
1993-01-06,5.547,5.52,6.746,7.293,7.599,8.138,8.681,9.208,8.314
1993-01-07,5.484,5.534,6.262,7.27,7.587,8.06,8.721,9.251,8.361
1993-01-08,5.449,5.443,6.283,7.195,7.498,8.029,8.774,9.141,8.304
1993-01-09,5.297,5.304,6.11,7.053,7.393,7.992,8.767,9.01,8.336
1993-01-10,5.045,5.094,5.901,6.957,7.298,7.892,8.735,8.882,8.474
1993-01-11,4.881,4.957,5.732,6.857,7.22,7.818,8.709,8.834,8.608
1993-01-12,4.779,4.816,5.672,6.779,7.184,7.814,8.71,8.844,8.624
1993-01-13,4.666,4.687,5.737,6.773,7.192,7.82,8.714,8.914,8.628
1993-01-14,4.428,4.501,5.44,6.791,7.272,7.883,8.761,9.029,8.635
1993-01-15,4.001,4.139,5.159,6.837,7.343,7.918,8.788,9.108,8.682
1993-01-16,3.874,4.036,5.172,6.857,7.438,8.053,8.918,9.177,8.704
1993-01-17,3.841,3.974,5.026,6.81,7.552,8.175,9.009,9.329,8.736
1993-01-18,3.674,3.827,4.802,6.824,7.644,8.231,9.065,9.5,8.737
1993-01-19,3.544,3.677,4.669,6.855,7.781,8.393,9.203,9.514,8.85
1993-01-20,3.147,3.341,4.386,6.925,7.866,8.446,9.271,9.565,8.766
1993-01-21,2.802,3.069,4.275,6.993,7.83,8.326,9.209,9.555,8.775
1993-01-22,2.694,2.975,4.149,6.963,7.795,8.214,9.114,9.442,8.895
1993-01-23,2.744,2.98,4.075,6.892,7.771,8.135,9.096,9.375,8.914
1993-01-24,2.945,3.107,4.204,6.778,7.769,8.043,9.088,9.325,8.933
1993-01-25,3.166,3.247,4.274,6.719,7.781,7.982,9.118,9.329,8.884
1993-01-26,3.275,3.362,4.144,6.753,7.812,7.976,9.162,9.371,8.968
1993-01-27,3.146,3.369,4.24,6.782,7.8,7.998,9.178,9.373,9.145
1993-01-28,2.983,3.18,4.018,6.685,7.743,7.898,9.122,9.351,8.956
1993-01-29,2.979,3.213,3.941,6.728,7.747,7.921,9.196,9.186,8.634
1993-01-30,2.967,3.194,3.747,6.652,7.744,7.957,9.172,9.192,8.291
1993-01-31,2.747,2.987,3.883,6.694,7.777,8.039,9.121,9.424,8.145
1993-02-01,2.454,2.815,3.509,6.645,7.716,8.052,9.057,9.498,8.349
1993-02-02,2.146,2.566,3.166,6.651,7.622,7.976,9.008,9.301,8.427
1993-02-03,1.915,2.266,2.815,6.506,7.536,7.844,9.055,8.999,8.606
1993-02-04,1.886,2.132,2.964,6.354,7.518,7.804,9.073,8.949,8.754
1993-02-05,1.908,2.14,3.305,6.147,7.482,7.833,9.063,9.066,8.753
1993-02-06,2.016,2.248,3.251,5.985,7.453,7.84,9.04,9.221,8.702
1993-02-07,1.78,2.146,2.956,5.884,7.381,7.815,9.015,9.344,8.709
1993-02-08,1.58,1.991,2.881,5.919,7.308,7.733,8.984,9.402,8.751
1993-02-09,1.566,1.898,2.822,6.012,7.347,7.756,9.01,9.355,8.784
1993-02-10,1.328,1.716,2.602,5.801,7.316,7.793,8.997,9.341,8.81
1993-02-11,1.257,1.641,2.464,5.736,7.276,7.772,8.944,9.289,8.757
1993-02-12,1.043,1.457,2.418,5.683,7.204,7.722,8.875,9.2,8.652
1993-02-13,0.891,1.261,2.235,5.622,7.123,7.62,8.762,8.997,8.657
1993-02-14,1.179,1.465,2.229,5.776,7.165,7.564,8.721,8.808,8.663
1993-02-15,1.328,1.581,2.113,5.582,7.162,7.598,8.658,8.779,8.544
1993-02-16,1.24,1.515,1.985,5.259,7.092,7.584,8.557,8.803,8.349
1993-02-17,1.129,1.457,2.094,5.164,6.936,7.461,8.465,8.678,8.277
1993-02-18,1.464,1.657,2.259,5.236,6.919,7.357,8.372,8.629,8.247
1993-02-19,1.414,1.655,2.077,4.987,6.784,7.248,8.258,8.665,8.213
1993-02-20,1.165,1.511,2.098,4.749,6.631,7.106,8.172,8.548,8.245
1993-02-21,1.035,1.415,2.052,4.685,6.476,6.943,8.066,8.458,8.281
1993-02-22,0.922,1.311,1.939,4.505,6.307,6.836,7.927,8.363,8.345
1993-02-23,0.896,1.271,1.875,4.361,6.183,6.758,7.779,8.319,8.426
1993-02-24,0.922,1.277,1.841,4.389,6.118,6.72,7.698,8.277,8.405
1993-02-25,0.919,1.27,1.861,4.275,6.073,6.741,7.687,8.193,8.277
1993-02-26,0.967,1.315,1.978,4.218,5.972,6.777,7.683,8.12,8.126
1993-02-27,0.957,1.214,1.892,4.16,5.901,6.795,7.669,8.057,8.036
1993-02-28,1.005,1.143,1.85,4.161,5.843,6.779,7.652,8.018,8.044
1993-03-01,1.239,1.192,1.631,4.263,5.803,6.779,7.621,8.071,8.272
1993-03-02,1.187,1.241,1.774,4.46,6.095,6.981,7.801,8.047,8.269
1993-03-03,1.031,1.216,1.832,4.269,6.247,7.066,7.906,7.813,8.047
1993-03-04,1.003,1.223,1.808,4.285,6.258,7.102,7.893,7.623,7.731
1993-03-05,1.202,1.341,1.971,4.506,6.22,7.107,7.869,7.574,7.718
1993-03-06,1.637,1.527,1.827,4.965,6.204,7.088,7.811,7.723,7.978
1993-03-07,1.85,1.76,1.89,5.325,6.398,7.204,7.808,7.977,8.308
1993-03-08,1.487,1.64,2.222,5.455,6.544,7.3,7.824,7.878,8.103
1993-03-09,1.34,1.529,2.319,5.228,6.547,7.261,7.795,7.543,7.756
1993-03-10,1.457,1.554,2.4,5.277,6.482,7.233,7.771,7.453,7.657
1993-03-11,1.537,1.598,2.406,5.506,6.509,7.294,7.773,7.519,7.815
1993-03-12,1.522,1.607,2.423,5.611,6.616,7.447,7.777,7.552,7.902
1993-03-13,1.48,1.648,2.637,5.671,6.71,7.517,7.793,7.476,7.865
1993-03-14,1.501,1.602,2.391,5.503,6.717,7.543,7.815,7.507,7.889
1993-03-15,1.638,1.77,2.405,5.672,6.954,7.623,7.801,7.267,7.409
1993-03-16,1.463,1.608,2.585,5.547,7.031,7.572,7.61,7.221,6.996
1993-03-17,1.473,1.589,2.611,5.695,7.014,7.546,7.555,7.347,7.042
1993-03-18,1.565,1.694,2.818,5.826,6.914,7.487,7.505,7.43,7.211
1993-03-19,1.478,1.658,2.686,5.604,6.8,7.354,7.407,7.501,7.492
1993-03-20,1.397,1.632,2.358,5.726,6.753,7.227,7.296,7.367,7.695
1993-03-21,1.415,1.637,2.303,5.743,6.766,7.171,7.277,7.324,7.793
1993-03-22,1.448,1.664,2.331,5.319,6.692,7.109,7.263,7.401,7.803
1993-03-23,1.565,1.818,2.812,5.211,6.597,7.056,7.238,7.454,7.796
1993-03-24,1.578,1.782,2.999,4.952,6.439,7.035,7.188,7.446,7.818
1993-03-25,1.572,1.827,3.215,4.983,6.329,7.046,7.185,7.449,7.832
1993-03-26,1.607,1.98,3.352,5.052,6.285,7.109,7.251,7.478,7.801
1993-03-27,1.575,1.978,3.151,4.828,6.229,7.153,7.351,7.529,7.777
1993-03-28,1.584,2.004,3.153,4.824,6.165,7.113,7.424,7.567,7.781
1993-03-29,1.565,1.963,3.109,4.883,6.121,7.053,7.442,7.578,7.833
1993-03-30,1.598,1.916,3.108,4.973,6.115,7.006,7.439,7.56,7.886
1993-03-31,1.733,2.055,3.284,5.086,6.155,7.012,7.472,7.617,7.884
1993-04-01,1.78,2.055,3.254,5.02,6.165,6.971,7.509,7.71,7.866
1993-04-02,1.88,2.106,3.314,5.04,6.2,6.916,7.544,7.81,7.882
1993-04-03,2.053,2.3,3.479,4.901,6.256,6.915,7.595,7.914,7.912
1993-04-04,2.104,2.4,3.555,4.693,6.292,6.907,7.649,7.998,7.974
1993-04-05,2.21,2.565,3.648,4.714,6.354,6.915,7.71,8.079,8.03
1993-04-06,2.254,2.7,3.67,4.61,6.4,6.942,7.77,8.191,8.064
1993-04-07,2.269,2.731,3.606,4.537,6.398,6.969,7.809,8.291,8.082
1993-04-08,2.282,2.703,3.533,4.591,6.363,6.998,7.794,8.333,7.974
1993-04-09,2.449,2.613,3.42,4.739,6.325,6.991,7.759,8.327,7.869
1993-04-10,2.675,2.635,3.389,4.947,6.315,6.967,7.709,8.304,7.782
1993-04-11,2.799,2.657,3.287,4.971,6.317,6.948,7.632,8.246,7.791
1993-04-12,2.923,2.706,3.187,4.929,6.307,6.92,7.559,8.177,7.801
1993-04-13,3.103,2.813,3.137,4.859,6.303,6.903,7.51,8.111,7.832
1993-04-14,3.287,3.017,3.172,4.802,6.296,6.896,7.488,8.065,7.847
1993-04-15,3.443,3.173,3.295,4.751,6.291,6.938,7.458,8.026,7.867
1993-04-16,3.566,3.296,3.455,4.751,6.278,6.965,7.427,7.999,7.822
1993-04-17,3.663,3.385,3.588,4.722,6.253,6.976,7.368,8.074,7.617
1993-04-18,3.771,3.513,3.741,4.599,6.209,6.982,7.26,8.306,7.326
1993-04-19,3.846,3.609,3.872,4.553,6.179,6.968,7.188,8.82,7.717
1993-04-20,3.985,3.713,3.953,4.536,6.066,6.909,7.156,8.996,8.779
1993-04-21,4.117,3.853,4.09,4.682,6.02,6.857,7.205,9.134,9.297
1993-04-22,4.067,3.943,4.109,4.755,6.035,6.774,7.368,9.298,9.643
1993-04-23,3.984,4.041,4.118,4.824,6.073,6.717,7.706,9.441,9.76
1993-04-24,4.177,4.212,4.159,4.8,6.102,6.803,8.121,9.578,9.694
1993-04-25,4.29,4.249,4.167,4.692,6.05,6.967,8.353,9.715,9.671
1993-04-26,4.217,4.268,4.227,4.833,5.965,6.923,8.421,9.794,9.584
1993-04-27,4.306,4.316,4.187,4.902,5.993,6.946,8.469,9.856,9.502
1993-04-28,4.368,4.321,4.175,4.663,5.966,6.975,8.495,9.87,9.472
1993-04-29,4.467,4.316,4.212,4.98,6.022,6.992,8.424,9.764,9.461
1993-04-30,4.556,4.356,4.307,5.279,6.195,7.119,8.418,9.636,9.364
1993-05-01,4.67,4.47,4.386,5.215,6.304,7.331,8.451,9.521,9.256
1993-05-02,4.788,4.542,4.47,5.124,6.389,7.54,8.456,9.433,9.138
1993-05-03,4.821,4.514,4.51,5.074,6.41,7.645,8.421,9.358,9.007
1993-05-04,4.916,4.556,4.56,5.177,6.43,7.691,8.395,9.292,8.922
1993-05-05,5.025,4.601,4.56,5.201,6.468,7.769,8.439,9.378,8.573
1993-05-06,5.097,4.639,4.554,5.031,6.422,7.67,8.455,9.463,8.437
1993-05-07,5.128,4.634,4.499,5.034,6.4,7.514,8.4,9.451,8.633
1993-05-08,5.096,4.548,4.482,5.105,6.407,7.326,8.18,9.345,8.702
1993-05-09,5.048,4.565,4.567,5.2,6.43,7.173,7.884,9.199,8.643
1993-05-10,5.014,4.487,4.58,5.122,6.392,7.037,7.538,9.021,8.564
1993-05-11,4.955,4.484,4.675,5.135,6.341,6.911,7.201,8.758,8.478
1993-05-12,4.712,4.452,4.598,5.189,6.319,6.809,7.129,8.565,8.41
1993-05-13,4.391,4.378,4.487,4.979,6.242,6.706,7.182,8.519,8.4
1993-05-14,4.013,4.13,4.188,4.86,6.168,6.604,7.282,8.555,8.38
1993-05-15,3.873,3.825,3.768,4.57,6.075,6.508,7.358,8.594,8.328
1993-05-16,3.992,3.687,3.475,4.379,5.991,6.419,7.344,8.601,8.272
1993-05-17,4.222,3.682,3.473,4.391,5.965,6.362,7.327,8.626,8.171
1993-05-18,4.538,3.863,3.602,4.343,5.928,6.332,7.337,8.74,7.994
1993-05-19,5.074,4.268,3.804,4.333,5.866,6.304,7.292,8.869,7.97
1993-05-20,5.417,4.584,3.968,4.485,5.856,6.323,7.232,8.965,8.131
1993-05-21,5.443,4.735,4.141,4.592,5.869,6.344,7.202,9.022,8.274
1993-05-22,5.372,4.775,4.285,4.679,5.898,6.357,7.176,9.057,8.349
1993-05-23,5.341,4.803,4.451,4.647,5.898,6.38,7.153,9.107,8.367
1993-05-24,5.306,4.841,4.635,4.666,5.898,6.418,7.191,9.211,8.393
1993-05-25,5.332,4.901,4.791,4.714,5.868,6.442,7.258,9.34,8.418
1993-05-26,5.455,5.039,4.951,4.903,5.877,6.433,7.211,9.383,8.455
1993-05-27,5.475,5.124,5.066,4.959,5.881,6.405,7.213,9.421,8.475
1993-05-28,5.479,5.202,5.185,4.927,5.885,6.38,7.247,9.453,8.484
1993-05-29,5.5,5.285,5.348,4.923,5.895,6.378,7.265,9.396,8.512
1993-05-30,5.547,5.383,5.537,4.982,5.931,6.418,7.319,9.288,8.582
1993-05-31,5.612,5.51,5.832,5.07,5.948,6.559,7.53,9.301,8.629
1993-06-01,5.673,5.568,6.07,5.297,5.981,6.703,7.551,9.158,8.728
1993-06-02,5.755,5.721,6.296,5.578,6.079,6.89,7.648,9.095,8.796
1993-06-03,5.826,5.892,6.369,5.559,6.103,7.047,7.818,9.343,8.758
1993-06-04,5.89,5.933,6.327,5.559,6.072,7.07,7.868,9.655,8.754
1993-06-05,5.935,5.962,6.331,5.577,6.033,7.028,7.858,9.77,8.954
1993-06-06,5.956,5.956,6.297,5.588,6.022,6.962,7.788,9.742,9.158
1993-06-07,5.956,5.92,6.18,5.559,6.059,6.903,7.713,9.672,9.266
1993-06-08,6.011,5.983,6.139,5.475,6.111,6.984,7.937,9.841,9.315
1993-06-09,6.096,5.961,6.036,5.37,6.126,7.031,8.118,9.988,9.344
1993-06-10,6.158,5.936,5.982,5.361,6.107,7.04,8.124,10.025,9.297
1993-06-11,6.146,5.918,5.957,5.377,6.091,7.018,8.013,9.978,9.252
1993-06-12,6.13,5.916,5.934,5.367,6.09,6.996,7.878,9.866,9.231
1993-06-13,6.153,5.911,5.927,5.321,6.094,6.959,7.731,9.662,9.22
1993-06-14,6.169,5.925,5.942,5.306,6.105,6.949,7.76,9.53,9.096
1993-06-15,6.2,5.912,5.945,5.207,6.071,6.942,7.842,9.454,8.931
1993-06-16,6.238,5.922,5.956,5.167,6.023,6.934,7.87,9.403,8.737
1993-06-17,6.284,5.917,5.915,5.159,5.985,6.928,7.833,9.486,8.547
1993-06-18,6.31,5.912,5.859,5.095,5.941,6.909,7.713,9.609,8.407
1993-06-19,6.295,5.903,5.804,5.054,5.899,6.872,7.553,9.626,8.409
1993-06-20,6.274,5.885,5.772,5.046,5.871,6.838,7.428,9.554,8.521
1993-06-21,6.249,5.875,5.781,5.065,5.853,6.79,7.346,9.343,8.797
1993-06-22,6.21,5.881,5.77,5.118,5.847,6.748,7.327,9.11,9.062
1993-06-23,6.227,5.873,5.7,5.055,5.848,6.742,7.416,9.141,9.179
1993-06-24,6.255,5.838,5.644,4.94,5.825,6.75,7.443,9.27,9.227
1993-06-25,6.303,5.741,5.582,5.168,5.838,6.705,7.338,9.011,9.244
