"Date","644 m","763 m","902 m","1062 m","1245 m","1452 m","1684 m","1942 m","2225 m","2533 m","2866 m","3221 m","3597 m","3992 m","4405 m","4833 m"
1993-01-01,4.261,4.489,4.276,3.969,3.721,3.473,3.448,3.402,3.274,3.049,2.668,2.313,2.128,1.976,1.872,1.822
1993-01-02,4.203,4.509,4.236,3.941,3.731,3.473,3.443,3.398,3.269,3.045,2.676,2.321,2.134,1.976,1.869,1.823
1993-01-03,4.017,4.476,4.203,3.93,3.735,3.477,3.437,3.393,3.268,3.044,2.69,2.333,2.143,1.977,1.866,1.823
1993-01-04,4.004,4.432,4.146,3.923,3.739,3.486,3.435,3.388,3.272,3.049,2.71,2.347,2.152,1.979,1.864,1.823
1993-01-05,3.867,4.392,4.144,3.942,3.75,3.493,3.433,3.381,3.275,3.051,2.721,2.353,2.158,1.981,1.862,1.823
1993-01-06,3.856,4.331,4.093,3.918,3.753,3.498,3.433,3.377,3.269,3.05,2.718,2.35,2.158,1.981,1.861,1.824
1993-01-07,4,4.325,4.118,3.943,3.773,3.519,3.441,3.377,3.272,3.054,2.72,2.347,2.157,1.981,1.861,1.825
1993-01-08,4.048,4.391,4.208,4.002,3.795,3.54,3.448,3.378,3.282,3.061,2.723,2.344,2.156,1.982,1.862,1.827
1993-01-09,4.098,4.463,4.236,4.033,3.817,3.555,3.453,3.38,3.28,3.061,2.714,2.338,2.153,1.983,1.864,1.828
1993-01-10,4.113,4.536,4.294,4.062,3.841,3.577,3.459,3.381,3.281,3.063,2.708,2.336,2.151,1.984,1.867,1.829
1993-01-11,4.185,4.64,4.33,4.089,3.873,3.601,3.467,3.384,3.286,3.068,2.708,2.336,2.146,1.985,1.869,1.83
1993-01-12,4.075,4.659,4.34,4.105,3.886,3.612,3.473,3.386,3.286,3.068,2.692,2.33,2.139,1.984,1.872,1.83
1993-01-13,4.133,4.63,4.313,4.118,3.893,3.629,3.48,3.389,3.281,3.066,2.672,2.324,2.132,1.983,1.874,1.831
1993-01-14,4.112,4.638,4.348,4.143,3.898,3.638,3.485,3.389,3.282,3.065,2.66,2.321,2.128,1.981,1.875,1.831
1993-01-15,4.197,4.671,4.402,4.175,3.928,3.648,3.491,3.39,3.286,3.068,2.661,2.324,2.128,1.98,1.877,1.83
1993-01-16,4.109,4.702,4.442,4.18,3.939,3.643,3.489,3.387,3.29,3.066,2.664,2.33,2.131,1.979,1.878,1.83
1993-01-17,4.053,4.613,4.406,4.16,3.934,3.633,3.48,3.384,3.288,3.063,2.673,2.341,2.134,1.978,1.879,1.83
1993-01-18,4.043,4.6,4.397,4.166,3.931,3.638,3.475,3.381,3.292,3.067,2.69,2.356,2.137,1.977,1.879,1.83
1993-01-19,3.942,4.555,4.399,4.168,3.932,3.639,3.474,3.38,3.293,3.07,2.699,2.366,2.137,1.974,1.877,1.83
