"Date","110 m","131 m","156 m","186 m"
1993-01-01,8.22,8.082,7.919,7.904
1993-01-02,8.218,8.041,7.908,7.889
1993-01-03,8.224,8.041,7.898,7.894
1993-01-04,8.126,8.097,7.918,7.913
1993-01-05,8.227,8.071,7.927,7.927
1993-01-06,8.255,8.014,7.913,7.942
1993-01-07,8.184,8.035,7.914,7.954
1993-01-08,7.974,8.074,7.932,7.946
1993-01-09,7.855,8.068,7.935,7.943
1993-01-10,7.775,8.06,7.932,7.934
1993-01-11,7.815,8.063,7.942,7.919
1993-01-12,7.922,8.021,7.94,7.903
1993-01-13,7.85,7.987,7.938,7.893
1993-01-14,7.555,7.968,7.947,7.9
1993-01-15,7.043,7.93,7.957,7.921
1993-01-16,7.022,7.852,7.955,7.941
1993-01-17,7.069,7.752,7.933,7.946
1993-01-18,6.841,7.673,7.915,7.947
1993-01-19,6.66,7.648,7.929,7.939
1993-01-20,6.642,7.649,7.947,7.928
1993-01-21,6.554,7.558,7.938,7.927
1993-01-22,6.381,7.441,7.929,7.922
1993-01-23,6.263,7.395,7.936,7.91
1993-01-24,6.288,7.392,7.927,7.903
1993-01-25,6.333,7.327,7.907,7.896
1993-01-26,6.456,7.323,7.899,7.886
1993-01-27,6.896,7.367,7.905,7.881
1993-01-28,6.799,7.245,7.895,7.891
1993-01-29,6.481,7.198,7.907,7.902
1993-01-30,6.333,7.278,7.917,7.913
1993-01-31,6.522,7.492,7.918,7.927
1993-02-01,6.446,7.352,7.904,7.935
1993-02-02,6.167,7.143,7.86,7.943
1993-02-03,6.187,7.228,7.861,7.948
1993-02-04,6.139,7.062,7.787,7.937
1993-02-05,5.956,6.795,7.719,7.935
1993-02-06,5.798,6.656,7.718,7.949
1993-02-07,5.822,6.552,7.739,7.957
1993-02-08,5.7,6.292,7.655,7.95
1993-02-09,5.514,6.171,7.666,7.954
1993-02-10,5.584,6.228,7.747,7.96
1993-02-11,5.612,6.133,7.724,7.967
1993-02-12,5.654,6.205,7.802,7.979
1993-02-13,5.542,6.127,7.764,7.985
1993-02-14,5.109,5.741,7.591,7.985
1993-02-15,5.192,5.696,7.704,7.993
1993-02-16,5.581,5.918,7.802,7.997
1993-02-17,5.659,5.676,7.607,7.99
1993-02-18,5.294,5.559,7.613,7.964
1993-02-19,5.508,5.992,7.826,7.938
1993-02-20,5.713,6.166,7.744,7.906
1993-02-21,5.533,5.997,7.669,7.875
1993-02-22,5.175,5.979,7.709,7.845
1993-02-23,4.88,5.961,7.641,7.815
1993-02-24,4.817,5.912,7.56,7.79
1993-02-25,4.833,5.79,7.451,7.787
1993-02-26,4.872,5.725,7.477,7.794
1993-02-27,4.859,5.688,7.525,7.799
1993-02-28,4.755,5.712,7.575,7.802
1993-03-01,4.609,5.784,7.631,7.806
1993-03-02,4.51,5.845,7.666,7.815
1993-03-03,4.571,5.915,7.744,7.822
1993-03-04,4.604,5.872,7.728,7.819
1993-03-05,4.546,5.71,7.675,7.814
1993-03-06,4.32,5.312,7.376,7.802
1993-03-07,3.978,4.668,6.725,7.746
1993-03-08,3.874,4.737,6.971,7.793
1993-03-09,4.084,4.879,7.283,7.798
1993-03-10,4.155,4.664,7.121,7.787
1993-03-11,3.881,4.554,7.067,7.76
1993-03-12,3.701,4.567,7.21,7.735
1993-03-13,3.744,4.735,7.365,7.711
1993-03-14,3.58,4.533,7.096,7.652
1993-03-15,3.203,4.419,6.969,7.608
1993-03-16,3.845,5.177,7.488,7.629
1993-03-17,4.432,5.135,7.417,7.62
1993-03-18,4.519,4.906,7.287,7.62
1993-03-19,4.57,5.309,7.471,7.625
1993-03-20,4.722,5.369,7.395,7.626
1993-03-21,4.649,5.409,7.42,7.625
1993-03-22,4.559,5.54,7.475,7.624
1993-03-23,4.506,5.563,7.472,7.621
1993-03-24,4.5,5.434,7.434,7.618
