"Date","131 m","156 m","186 m"
1993-01-01,3.949,5.831,7.133
1993-01-02,4.146,5.952,7.27
1993-01-03,3.998,5.853,7.213
1993-01-04,4.029,5.848,7.274
1993-01-05,4.866,6.208,7.477
1993-01-06,5.567,6.532,7.674
1993-01-07,5.403,6.428,7.731
1993-01-08,5.583,6.587,7.798
1993-01-09,5.734,6.781,7.869
1993-01-10,5.262,6.762,7.742
1993-01-11,4.583,6.592,7.563
1993-01-12,4.339,6.444,7.533
1993-01-13,4.203,6.283,7.496
1993-01-14,4.36,6.167,7.511
1993-01-15,4.32,6.136,7.474
1993-01-16,5.003,6.324,7.622
1993-01-17,5.674,6.67,7.782
1993-01-18,5.941,6.95,7.843
1993-01-19,6.126,7.18,7.897
1993-01-20,6.157,7.088,7.839
1993-01-21,5.414,6.721,7.579
1993-01-22,4.397,6.373,7.223
1993-01-23,4.016,6.134,7.108
1993-01-24,3.997,6.143,7.171
1993-01-25,4.29,6.199,7.299
1993-01-26,5.133,6.487,7.485
1993-01-27,5.684,6.62,7.544
1993-01-28,5.501,6.515,7.497
1993-01-29,5.515,6.451,7.479
1993-01-30,5.382,6.492,7.503
1993-01-31,5.452,6.51,7.517
1993-02-01,5.02,6.353,7.446
1993-02-02,4.535,6.189,7.315
1993-02-03,4.428,6.22,7.318
1993-02-04,4.608,6.387,7.417
1993-02-05,4.967,6.499,7.527
1993-02-06,5.363,6.63,7.57
1993-02-07,5.513,6.554,7.543
1993-02-08,5.354,6.447,7.464
1993-02-09,5.592,6.457,7.479
1993-02-10,5.687,6.501,7.482
1993-02-11,5.781,6.589,7.468
1993-02-12,5.802,6.602,7.45
1993-02-13,5.66,6.536,7.406
1993-02-14,5.716,6.592,7.396
1993-02-15,5.986,6.744,7.416
1993-02-16,6.033,6.755,7.364
1993-02-17,5.727,6.599,7.234
1993-02-18,5.837,6.653,7.235
1993-02-19,5.935,6.686,7.229
1993-02-20,5.536,6.559,7.074
1993-02-21,5.616,6.516,7.055
1993-02-22,5.445,6.451,7.032
1993-02-23,5.04,6.294,6.927
1993-02-24,5.089,6.272,6.944
1993-02-25,5.406,6.421,7.037
1993-02-26,5.769,6.611,7.12
1993-02-27,6.102,6.78,7.202
1993-02-28,6.163,6.801,7.237
1993-03-01,5.751,6.632,7.186
1993-03-02,5.727,6.629,7.219
1993-03-03,5.514,6.61,7.174
1993-03-04,5.451,6.596,7.179
1993-03-05,5.466,6.628,7.215
1993-03-06,4.793,6.427,7.082
1993-03-07,4.098,6.234,6.988
1993-03-08,4.164,6.288,7.092
1993-03-09,4.245,6.278,7.246
1993-03-10,3.82,6.089,7.227
1993-03-11,3.849,5.922,7.273
1993-03-12,4.012,6.031,7.409
1993-03-13,4.363,6.199,7.556
1993-03-14,3.957,6.176,7.496
1993-03-15,5.245,6.852,7.71
1993-03-16,5.93,7.107,7.845
1993-03-17,4.786,6.728,7.552
