"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
1993-01-01,1.677,1.887,1.348,1.817,2.462,2.705,3.697,5.157,5.031
1993-01-02,1.695,1.968,1.362,1.84,2.502,2.722,3.799,5.28,5.022
1993-01-03,1.645,1.888,1.401,1.857,2.522,2.775,3.834,5.322,5.012
1993-01-04,1.542,1.77,1.423,1.876,2.496,2.796,3.799,5.349,5.018
1993-01-05,1.491,1.688,1.424,1.865,2.458,2.759,3.761,5.318,5.017
1993-01-06,1.517,1.738,1.416,1.918,2.475,2.791,3.758,5.424,5.02
1993-01-07,1.51,1.676,1.407,1.928,2.476,2.789,3.785,5.487,5.021
1993-01-08,1.473,1.652,1.401,1.9,2.426,2.76,3.766,5.466,5.018
1993-01-09,1.506,1.655,1.387,1.909,2.418,2.756,3.785,5.539,5.028
1993-01-10,1.484,1.669,1.367,1.895,2.417,2.736,3.782,5.539,5.04
1993-01-11,1.478,1.7,1.339,1.875,2.385,2.692,3.815,5.532,5.054
1993-01-12,1.454,1.659,1.318,1.831,2.356,2.621,3.788,5.436,5.058
1993-01-13,1.476,1.694,1.299,1.84,2.315,2.593,3.733,5.448,5.071
1993-01-14,1.466,1.633,1.295,1.82,2.29,2.551,3.681,5.391,5.076
1993-01-15,1.462,1.678,1.294,1.822,2.254,2.522,3.63,5.333,5.092
1993-01-16,1.451,1.635,1.284,1.778,2.227,2.48,3.581,5.235,5.094
1993-01-17,1.44,1.634,1.277,1.761,2.211,2.478,3.54,5.241,5.102
1993-01-18,1.427,1.596,1.28,1.76,2.21,2.494,3.514,5.262,5.104
1993-01-19,1.406,1.579,1.283,1.751,2.208,2.497,3.473,5.217,5.095
1993-01-20,1.389,1.565,1.302,1.766,2.207,2.495,3.453,5.157,5.099
1993-01-21,1.362,1.546,1.352,1.786,2.179,2.487,3.422,5.106,5.094
1993-01-22,1.35,1.554,1.355,1.774,2.141,2.461,3.411,5.054,5.084
1993-01-23,1.335,1.515,1.322,1.713,2.13,2.429,3.425,5.042,5.07
1993-01-24,1.322,1.499,1.292,1.672,2.15,2.42,3.483,5.145,5.056
1993-01-25,1.305,1.481,1.286,1.639,2.159,2.402,3.504,5.248,5.034
1993-01-26,1.295,1.447,1.288,1.636,2.122,2.423,3.506,5.342,5.023
1993-01-27,1.271,1.349,1.25,1.618,2.101,2.403,3.49,5.422,5.015
1993-01-28,1.284,1.398,1.251,1.667,2.097,2.413,3.469,5.512,5.016
1993-01-29,1.295,1.431,1.27,1.656,2.106,2.43,3.51,5.498,5.015
1993-01-30,1.246,1.397,1.29,1.707,2.145,2.461,3.589,5.471,5.03
1993-01-31,1.23,1.421,1.304,1.67,2.145,2.444,3.628,5.403,5.035
1993-02-01,1.22,1.391,1.318,1.693,2.15,2.456,3.669,5.421,5.049
1993-02-02,1.2,1.356,1.344,1.705,2.187,2.485,3.723,5.412,5.052
1993-02-03,1.171,1.34,1.358,1.703,2.223,2.501,3.748,5.36,5.055
1993-02-04,1.16,1.324,1.358,1.684,2.214,2.501,3.729,5.307,5.057
1993-02-05,1.157,1.362,1.349,1.664,2.186,2.497,3.716,5.315,5.064
1993-02-06,1.164,1.362,1.34,1.667,2.16,2.487,3.699,5.325,5.071
1993-02-07,1.171,1.39,1.348,1.689,2.148,2.472,3.681,5.341,5.076
1993-02-08,1.141,1.329,1.399,1.74,2.154,2.481,3.665,5.315,5.077
1993-02-09,1.122,1.308,1.419,1.73,2.167,2.475,3.641,5.248,5.074
1993-02-10,1.124,1.372,1.373,1.7,2.158,2.447,3.599,5.189,5.084
1993-02-11,1.047,1.269,1.401,1.723,2.142,2.468,3.63,5.229,5.084
1993-02-12,1.023,1.277,1.35,1.673,2.134,2.443,3.639,5.218,5.088
1993-02-13,0.913,1.105,1.354,1.669,2.125,2.456,3.716,5.236,5.091
1993-02-14,0.875,0.937,1.345,1.621,2.146,2.463,3.815,5.258,5.088
1993-02-15,0.89,0.928,1.346,1.603,2.184,2.496,3.96,5.293,5.096
1993-02-16,0.813,0.917,1.311,1.61,2.163,2.512,4.039,5.367,5.099
1993-02-17,0.826,0.927,1.271,1.585,2.128,2.48,4.035,5.406,5.099
1993-02-18,0.74,0.828,1.236,1.552,2.081,2.454,3.973,5.451,5.108
1993-02-19,0.789,0.917,1.183,1.512,2.018,2.367,3.906,5.472,5.122
1993-02-20,0.711,0.831,1.122,1.475,1.922,2.29,3.796,5.547,5.128
1993-02-21,0.786,0.95,1.048,1.407,1.816,2.109,3.647,5.488,5.145
1993-02-22,0.64,0.819,0.976,1.343,1.715,1.99,3.459,5.5,5.159
1993-02-23,0.542,0.686,0.889,1.255,1.615,1.867,3.385,5.464,5.169
1993-02-24,0.465,0.536,0.824,1.171,1.529,1.758,3.307,5.431,5.177
1993-02-25,0.433,0.491,0.795,1.144,1.511,1.749,3.303,5.405,5.186
1993-02-26,0.447,0.519,0.785,1.143,1.51,1.759,3.3,5.408,5.19
1993-02-27,0.448,0.54,0.775,1.144,1.503,1.756,3.292,5.426,5.196
1993-02-28,0.391,0.521,0.762,1.134,1.496,1.746,3.3,5.414,5.203
1993-03-01,0.331,0.465,0.765,1.131,1.505,1.73,3.29,5.347,5.209
