"Date","131 m","222 m","454 m","541 m","644 m","902 m","1062 m","1245 m","1452 m","1684 m","1942 m"
1993-01-01,8.77,8.403,6.583,5.358,5.154,4.441,4.099,3.874,3.618,3.534,3.415
1993-01-02,8.909,8.548,6.543,5.418,5.161,4.418,4.083,3.876,3.629,3.541,3.424
1993-01-03,9.106,8.596,6.523,5.484,5.189,4.47,4.088,3.878,3.642,3.543,3.43
1993-01-04,9.279,8.67,6.507,5.479,5.211,4.434,4.067,3.855,3.637,3.532,3.43
1993-01-05,9.52,8.871,6.577,5.435,5.221,4.45,4.057,3.834,3.625,3.523,3.429
1993-01-06,9.764,9.131,6.611,5.247,5.191,4.409,4.007,3.794,3.601,3.509,3.422
1993-01-07,9.909,9.202,6.646,5.111,5.1,4.358,3.959,3.762,3.583,3.501,3.42
1993-01-08,9.972,9.247,6.592,5.007,4.996,4.299,3.909,3.732,3.564,3.489,3.416
1993-01-09,9.971,9.385,6.735,4.918,4.887,4.271,3.878,3.714,3.549,3.48,3.415
1993-01-10,9.905,9.347,6.874,4.887,4.806,4.263,3.865,3.705,3.537,3.475,3.415
1993-01-11,9.643,9.174,6.909,4.865,4.792,4.252,3.866,3.697,3.532,3.468,3.411
1993-01-12,8.967,9.041,7.027,4.835,4.808,4.268,3.885,3.698,3.531,3.467,3.413
1993-01-13,7.858,8.721,7.018,4.799,4.814,4.268,3.902,3.7,3.53,3.466,3.412
1993-01-14,6.457,7.915,6.881,4.769,4.807,4.259,3.908,3.707,3.53,3.463,3.404
1993-01-15,4.921,6.391,6.523,4.755,4.795,4.273,3.919,3.722,3.532,3.461,3.395
1993-01-16,3.617,4.782,5.899,4.666,4.746,4.346,3.939,3.747,3.538,3.463,3.389
1993-01-17,2.918,4.175,5.213,4.73,4.633,4.373,3.958,3.771,3.551,3.469,3.381
1993-01-18,2.646,4.935,4.942,4.911,4.602,4.408,3.975,3.79,3.566,3.474,3.376
1993-01-19,2.989,5.849,4.954,4.973,4.687,4.412,3.98,3.801,3.581,3.478,3.373
1993-01-20,3.383,6.471,5.146,4.928,4.789,4.417,3.985,3.812,3.588,3.482,3.373
1993-01-21,4.08,6.928,5.64,4.924,4.903,4.406,3.987,3.815,3.586,3.484,3.372
1993-01-22,4.826,7.141,6.164,4.96,4.987,4.382,3.977,3.813,3.582,3.484,3.369
1993-01-23,5.481,7.468,6.581,5.061,5.097,4.379,3.98,3.817,3.583,3.487,3.372
1993-01-24,6.161,7.831,6.801,5.203,5.195,4.387,4,3.832,3.586,3.491,3.376
1993-01-25,6.871,8.003,6.822,5.181,5.218,4.395,4.021,3.841,3.59,3.493,3.375
1993-01-26,7.483,8.143,6.801,5.22,5.229,4.401,4.046,3.852,3.595,3.497,3.379
1993-01-27,7.959,8.116,6.708,5.082,5.219,4.412,4.076,3.863,3.596,3.496,3.382
1993-01-28,8.348,8.173,6.594,4.983,5.092,4.384,4.08,3.862,3.592,3.49,3.375
1993-01-29,8.675,8.146,6.491,4.84,4.962,4.385,4.084,3.859,3.586,3.481,3.368
1993-01-30,8.966,8.316,6.372,4.767,4.827,4.347,4.078,3.86,3.581,3.476,3.361
1993-01-31,9.211,8.019,6.181,4.706,4.725,4.37,4.1,3.884,3.584,3.478,3.357
1993-02-01,9.431,8.116,5.975,4.647,4.631,4.355,4.099,3.885,3.579,3.472,3.346
1993-02-02,9.668,8.195,5.894,4.658,4.576,4.4,4.127,3.921,3.588,3.477,3.345
1993-02-03,9.891,8.318,5.798,4.635,4.579,4.437,4.157,3.958,3.591,3.477,3.343
1993-02-04,10.024,8.575,5.878,4.726,4.632,4.423,4.2,4.017,3.62,3.497,3.351
1993-02-05,9.966,8.483,5.964,4.772,4.744,4.397,4.239,4.078,3.656,3.519,3.364
1993-02-06,9.854,8.431,6.042,4.817,4.816,4.376,4.264,4.105,3.693,3.535,3.371
1993-02-07,9.735,8.205,6.081,4.748,4.843,4.381,4.274,4.12,3.726,3.554,3.382
1993-02-08,9.643,8.183,6.045,4.679,4.81,4.39,4.269,4.135,3.749,3.58,3.398
1993-02-09,9.544,8,5.974,4.576,4.753,4.408,4.264,4.149,3.773,3.605,3.421
1993-02-10,9.449,7.999,5.959,4.497,4.688,4.421,4.257,4.152,3.793,3.623,3.445
1993-02-11,9.451,7.845,5.97,4.431,4.603,4.431,4.262,4.157,3.809,3.635,3.464
1993-02-12,9.434,7.694,5.97,4.36,4.532,4.429,4.259,4.138,3.808,3.634,3.47
1993-02-13,9.437,7.679,5.933,4.302,4.452,4.418,4.249,4.115,3.793,3.631,3.475
1993-02-14,9.498,7.424,5.971,4.243,4.382,4.414,4.243,4.107,3.776,3.625,3.475
1993-02-15,9.45,7.269,5.971,4.186,4.328,4.405,4.235,4.084,3.755,3.605,3.456
1993-02-16,9.312,7.201,6.021,4.107,4.278,4.404,4.234,4.079,3.747,3.593,3.451
1993-02-17,9.326,7.043,6,4.101,4.26,4.412,4.236,4.076,3.738,3.576,3.445
1993-02-18,9.414,7.352,5.983,4.146,4.312,4.433,4.241,4.065,3.726,3.556,3.439
1993-02-19,9.436,7.839,6.127,4.189,4.427,4.468,4.254,4.076,3.718,3.549,3.438
1993-02-20,9.454,8.048,6.205,4.239,4.514,4.499,4.27,4.086,3.708,3.539,3.431
1993-02-21,9.397,8.097,6.293,4.236,4.565,4.517,4.292,4.09,3.709,3.53,3.425
1993-02-22,9.323,8.322,6.328,4.253,4.554,4.537,4.303,4.098,3.699,3.524,3.426
1993-02-23,9.231,8.32,6.373,4.204,4.521,4.56,4.316,4.107,3.686,3.52,3.428
1993-02-24,9.123,8.414,6.304,4.171,4.452,4.577,4.31,4.097,3.668,3.513,3.425
1993-02-25,8.887,8.179,6.266,4.131,4.376,4.58,4.304,4.116,3.672,3.527,3.435
1993-02-26,8.658,7.832,6.085,4.148,4.368,4.579,4.289,4.113,3.672,3.529,3.441
1993-02-27,8.448,7.719,6.041,4.247,4.402,4.579,4.267,4.099,3.676,3.531,3.447
1993-02-28,8.24,7.671,6.039,4.376,4.464,4.579,4.248,4.097,3.685,3.543,3.458
1993-03-01,8.064,7.735,6.068,4.437,4.516,4.572,4.239,4.086,3.694,3.553,3.466
1993-03-02,8.04,7.842,6.094,4.49,4.535,4.56,4.249,4.095,3.717,3.571,3.475
1993-03-03,7.982,7.881,6.001,4.503,4.525,4.536,4.263,4.112,3.74,3.592,3.485
1993-03-04,8.171,7.817,5.786,4.584,4.512,4.487,4.261,4.136,3.765,3.604,3.487
1993-03-05,8.401,7.714,5.699,4.644,4.533,4.437,4.258,4.131,3.775,3.605,3.482
1993-03-06,8.488,7.776,5.678,4.69,4.566,4.393,4.254,4.122,3.78,3.607,3.48
1993-03-07,8.665,7.751,5.704,4.761,4.609,4.354,4.252,4.124,3.784,3.614,3.482
1993-03-08,8.88,7.85,5.883,4.783,4.679,4.322,4.248,4.113,3.789,3.616,3.48
1993-03-09,9.022,7.931,6.105,4.884,4.742,4.298,4.243,4.11,3.805,3.629,3.483
1993-03-10,9.159,7.644,6.038,4.945,4.798,4.278,4.255,4.113,3.817,3.638,3.482
1993-03-11,9.284,7.791,6.065,4.942,4.842,4.27,4.265,4.103,3.813,3.632,3.473
1993-03-12,9.233,7.765,6.146,5.014,4.905,4.271,4.282,4.119,3.819,3.645,3.482
1993-03-13,9.127,7.352,6.269,5.01,4.999,4.283,4.31,4.152,3.832,3.662,3.495
1993-03-14,9.033,7.381,6.268,5.018,4.997,4.29,4.329,4.162,3.857,3.675,3.498
1993-03-15,8.888,7.223,6.183,5.049,4.978,4.303,4.347,4.191,3.887,3.704,3.508
1993-03-16,8.781,7.305,6.11,5.045,4.952,4.322,4.339,4.225,3.903,3.734,3.527
1993-03-17,8.626,7.172,5.99,5.044,4.901,4.343,4.343,4.252,3.952,3.779,3.567
1993-03-18,8.576,7.092,5.825,5.061,4.846,4.36,4.315,4.239,3.968,3.79,3.582
1993-03-19,8.524,7.159,5.688,5.1,4.822,4.369,4.29,4.216,3.964,3.797,3.599
1993-03-20,8.438,6.949,5.468,5.174,4.801,4.385,4.264,4.187,3.961,3.81,3.628
1993-03-21,8.297,7.027,5.499,5.266,4.807,4.379,4.252,4.157,3.956,3.807,3.641
1993-03-22,8.002,6.998,5.603,5.392,4.86,4.391,4.259,4.151,3.965,3.823,3.677
1993-03-23,7.76,6.944,5.663,5.525,4.961,4.382,4.286,4.163,3.989,3.848,3.703
1993-03-24,7.719,6.941,5.815,5.575,5.104,4.378,4.335,4.192,4.015,3.869,3.706
1993-03-25,7.55,6.839,5.917,5.65,5.269,4.467,4.412,4.253,4.051,3.904,3.729
1993-03-26,7.628,6.933,5.987,5.731,5.379,4.59,4.469,4.317,4.087,3.936,3.75
1993-03-27,7.749,7.095,6.135,5.749,5.455,4.724,4.528,4.359,4.122,3.972,3.766
1993-03-28,7.773,7.111,6.236,5.75,5.486,4.825,4.573,4.382,4.144,3.984,3.756
1993-03-29,7.724,7.084,6.326,5.74,5.504,4.836,4.596,4.387,4.149,3.976,3.739
1993-03-30,7.682,7.121,6.387,5.719,5.51,4.883,4.608,4.398,4.145,3.963,3.737
1993-03-31,7.752,7.294,6.407,5.692,5.514,4.909,4.615,4.405,4.133,3.939,3.719
1993-04-01,7.957,7.66,6.542,5.667,5.567,4.942,4.63,4.412,4.127,3.916,3.694
1993-04-02,8.276,8.011,6.758,5.672,5.657,5.001,4.653,4.42,4.122,3.894,3.676
1993-04-03,8.682,8.261,7.008,5.68,5.776,5.085,4.685,4.433,4.124,3.876,3.652
1993-04-04,8.899,8.51,7.256,5.765,5.916,5.154,4.714,4.446,4.124,3.866,3.632
1993-04-05,9.052,8.621,7.416,5.796,6.004,5.25,4.749,4.473,4.12,3.862,3.619
1993-04-06,8.956,8.669,7.513,5.876,6.038,5.332,4.783,4.503,4.12,3.856,3.603
1993-04-07,8.436,8.323,7.55,5.875,6.067,5.437,4.801,4.523,4.12,3.848,3.586
1993-04-08,8.053,7.834,7.424,5.746,5.987,5.425,4.773,4.507,4.1,3.829,3.566
1993-04-09,7.794,7.621,7.215,5.618,5.866,5.4,4.742,4.498,4.074,3.822,3.564
1993-04-10,7.767,7.696,6.972,5.492,5.672,5.356,4.708,4.502,4.03,3.818,3.58
1993-04-11,7.958,7.968,6.788,5.336,5.462,5.269,4.679,4.501,4.001,3.824,3.607
1993-04-12,8.189,8.017,6.553,5.194,5.297,5.181,4.616,4.478,3.999,3.819,3.616
1993-04-13,8.365,7.915,6.364,5.185,5.199,5.097,4.558,4.443,4.003,3.799,3.607
1993-04-14,8.518,7.765,6.295,5.157,5.158,5.03,4.518,4.412,3.989,3.78,3.596
1993-04-15,8.606,7.637,6.298,5.195,5.152,4.95,4.471,4.378,3.965,3.772,3.588
1993-04-16,8.628,7.596,6.249,5.261,5.153,4.869,4.429,4.349,3.977,3.775,3.586
1993-04-17,8.609,7.601,6.118,5.384,5.2,4.795,4.401,4.328,4.005,3.791,3.591
1993-04-18,8.625,7.726,5.987,5.46,5.276,4.693,4.385,4.312,4.03,3.802,3.584
1993-04-19,8.644,8.061,5.944,5.398,5.352,4.577,4.368,4.29,4.037,3.802,3.573
1993-04-20,8.709,8.272,5.978,5.41,5.411,4.531,4.359,4.272,4.042,3.809,3.573
1993-04-21,8.697,8.283,5.996,5.347,5.464,4.501,4.354,4.26,4.047,3.812,3.564
1993-04-22,8.667,8.285,6.066,5.36,5.515,4.483,4.357,4.251,4.046,3.807,3.554
1993-04-23,8.625,8.314,6.189,5.419,5.573,4.483,4.366,4.249,4.044,3.804,3.55
1993-04-24,8.609,8.296,6.307,5.395,5.629,4.485,4.374,4.248,4.041,3.804,3.545
1993-04-25,8.715,8.235,6.378,5.451,5.68,4.49,4.383,4.249,4.039,3.806,3.547
1993-04-26,8.936,8.069,6.359,5.626,5.732,4.505,4.398,4.264,4.047,3.82,3.558
1993-04-27,9.141,7.909,6.349,5.828,5.794,4.528,4.424,4.288,4.062,3.836,3.572
1993-04-28,9.292,7.838,6.35,5.894,5.838,4.532,4.442,4.298,4.067,3.833,3.578
1993-04-29,9.452,7.854,6.276,5.895,5.817,4.506,4.437,4.291,4.061,3.821,3.578
1993-04-30,9.717,8.066,6.202,5.809,5.773,4.477,4.422,4.274,4.048,3.805,3.57
1993-05-01,10.032,8.425,6.237,5.909,5.716,4.471,4.423,4.28,4.054,3.818,3.58
1993-05-02,10.239,8.585,6.253,5.708,5.597,4.474,4.43,4.295,4.066,3.84,3.592
1993-05-03,10.309,8.856,6.249,5.502,5.429,4.444,4.424,4.305,4.084,3.868,3.608
1993-05-04,10.229,9.068,6.121,5.291,5.215,4.416,4.398,4.303,4.096,3.892,3.633
1993-05-05,10.056,9.173,6.115,5.023,5.032,4.395,4.366,4.294,4.106,3.906,3.655
1993-05-06,9.378,8.713,6.149,4.95,4.907,4.366,4.352,4.295,4.115,3.922,3.677
1993-05-07,8.551,8.128,6.221,4.926,4.826,4.341,4.358,4.296,4.12,3.927,3.681
1993-05-08,8.231,7.719,6.09,4.922,4.801,4.316,4.367,4.288,4.112,3.92,3.673
1993-05-09,7.94,7.467,5.978,4.928,4.784,4.349,4.382,4.296,4.11,3.92,3.678
1993-05-10,7.793,7.354,5.995,4.934,4.784,4.345,4.395,4.298,4.105,3.914,3.67
1993-05-11,7.782,7.416,6.066,4.949,4.798,4.344,4.41,4.304,4.108,3.92,3.666
1993-05-12,7.938,7.495,6.194,4.959,4.822,4.357,4.422,4.308,4.11,3.921,3.663
1993-05-13,8.195,7.705,6.391,4.977,4.857,4.343,4.423,4.301,4.112,3.914,3.66
1993-05-14,7.705,7.854,6.607,5.008,4.881,4.342,4.424,4.3,4.115,3.907,3.665
1993-05-15,6.831,7.596,6.758,5.043,4.89,4.349,4.428,4.301,4.121,3.899,3.671
1993-05-16,7.221,7.481,6.742,5.046,4.93,4.381,4.435,4.31,4.125,3.9,3.684
1993-05-17,7.708,7.66,6.599,5.081,4.984,4.434,4.443,4.331,4.129,3.909,3.702
1993-05-18,8.22,7.947,6.614,5.187,5.014,4.446,4.443,4.34,4.133,3.921,3.717
1993-05-19,8.413,8.027,6.566,5.332,5.035,4.438,4.436,4.34,4.138,3.938,3.734
1993-05-20,8.581,8.05,6.577,5.472,5.077,4.434,4.428,4.332,4.139,3.95,3.742
1993-05-21,8.849,8.042,6.588,5.532,5.138,4.417,4.42,4.317,4.133,3.953,3.741
1993-05-22,9.164,8.012,6.583,5.58,5.229,4.394,4.413,4.297,4.119,3.94,3.729
1993-05-23,9.473,7.989,6.591,5.512,5.289,4.375,4.404,4.274,4.099,3.909,3.703
1993-05-24,9.761,7.915,6.606,5.415,5.361,4.36,4.382,4.242,4.065,3.863,3.665
1993-05-25,9.915,7.846,6.613,5.37,5.429,4.351,4.349,4.208,4.017,3.816,3.625
1993-05-26,10.038,7.809,6.679,5.396,5.477,4.338,4.32,4.174,3.959,3.772,3.592
1993-05-27,9.986,7.842,6.702,5.391,5.473,4.324,4.301,4.154,3.905,3.734,3.575
1993-05-28,9.926,7.922,6.767,5.389,5.457,4.305,4.303,4.139,3.864,3.698,3.561
1993-05-29,9.778,7.998,6.826,5.427,5.452,4.291,4.334,4.137,3.835,3.674,3.541
1993-05-30,9.589,7.964,6.84,5.477,5.467,4.313,4.375,4.147,3.82,3.674,3.53
1993-05-31,9.399,7.752,6.739,5.507,5.49,4.367,4.398,4.153,3.818,3.688,3.529
1993-06-01,9.175,7.472,6.592,5.575,5.519,4.415,4.398,4.171,3.842,3.718,3.543
