"Date","56 m","66 m","78 m"
1993-01-01,5.353,5.073,5.976
1993-01-02,5.499,5.156,6.329
1993-01-03,5.801,5.343,6.922
1993-01-04,5.998,5.318,6.907
1993-01-05,6.067,5.464,6.714
1993-01-06,5.826,5.687,6.302
1993-01-07,5.694,5.589,6.381
1993-01-08,5.725,5.609,6.649
1993-01-09,5.814,5.688,6.733
1993-01-10,5.888,5.669,6.703
1993-01-11,5.853,5.577,6.622
1993-01-12,5.801,5.525,6.54
1993-01-13,5.713,5.437,6.291
1993-01-14,5.596,5.317,6.225
1993-01-15,5.552,5.276,6.236
1993-01-16,5.446,5.168,5.996
1993-01-17,5.159,4.995,5.603
1993-01-18,4.821,4.839,5.392
1993-01-19,4.631,4.706,5.238
1993-01-20,4.531,4.501,5.054
1993-01-21,4.427,4.425,5.001
1993-01-22,4.372,4.395,4.593
1993-01-23,4.365,4.293,3.956
1993-01-24,4.34,4.171,3.79
1993-01-25,4.303,4.097,3.839
1993-01-26,4.221,4.202,4.097
1993-01-27,4.223,4.283,4.203
1993-01-28,4.343,4.216,4.222
1993-01-29,4.46,4.051,4.185
1993-01-30,4.415,3.877,4.18
1993-01-31,4.186,3.776,4.276
1993-02-01,4.115,3.539,4.127
1993-02-02,3.971,3.268,4.216
1993-02-03,3.626,3.097,4.339
1993-02-04,3.446,3.074,4.312
1993-02-05,3.599,3.196,4.403
1993-02-06,3.725,3.339,4.496
1993-02-07,3.786,3.488,4.584
1993-02-08,3.845,3.532,4.645
1993-02-09,3.893,3.566,4.643
1993-02-10,3.863,3.485,4.449
1993-02-11,3.462,3.243,4.247
1993-02-12,3.189,2.981,4.29
1993-02-13,2.989,2.543,4.303
1993-02-14,2.823,2.355,4.207
1993-02-15,2.861,2.505,3.933
1993-02-16,2.747,2.613,3.758
1993-02-17,2.746,2.711,3.891
1993-02-18,2.72,2.769,3.864
1993-02-19,2.629,2.681,3.35
1993-02-20,2.533,2.592,3.424
1993-02-21,2.512,2.549,3.559
1993-02-22,2.528,2.428,3.35
1993-02-23,2.463,2.348,3.211
1993-02-24,2.368,2.308,3.225
1993-02-25,2.307,2.238,3.15
1993-02-26,2.341,2.238,3.277
1993-02-27,2.397,2.286,3.443
1993-02-28,2.483,2.322,3.522
1993-03-01,2.585,2.299,3.342
1993-03-02,2.521,2.279,2.982
1993-03-03,2.412,2.212,2.849
1993-03-04,2.355,2.202,3.069
1993-03-05,2.404,2.242,3.125
1993-03-06,2.538,2.247,3.128
1993-03-07,2.531,2.295,3.209
1993-03-08,2.327,2.332,3.026
1993-03-09,1.818,2.057,2.724
1993-03-10,1.765,1.948,2.701
1993-03-11,1.887,1.97,2.749
1993-03-12,1.965,1.978,2.615
1993-03-13,1.896,1.896,2.255
1993-03-14,1.77,1.785,2.199
1993-03-15,1.372,1.602,1.761
1993-03-16,1.006,1.295,1.27
1993-03-17,0.859,1.136,1.36
1993-03-18,0.867,1.084,1.537
1993-03-19,0.991,1.128,1.786
1993-03-20,1.042,1.121,1.572
1993-03-21,1.068,1.086,1.181
1993-03-22,1.082,1.046,0.986
1993-03-23,1.072,1.056,1.044
1993-03-24,1.075,1.081,1.119
