"Date","6 m","8 m","10 m","16 m","22 m"
1993-01-01,0.779,0.155,0.7,1.934,2.82
1993-01-02,0.373,-0.103,0.447,1.733,2.87
1993-01-03,-0.154,-0.82,-0.077,0.9,1.779
1993-01-04,-0.124,-0.966,-0.126,0.708,1.38
1993-01-05,0.034,-0.592,0.015,0.322,1.042
1993-01-06,0.215,-0.285,0.094,0.266,1.218
1993-01-07,0.327,-0.137,0.156,0.604,1.773
1993-01-08,0.384,-0.101,0.187,0.785,1.995
1993-01-09,0.162,-0.272,0.014,1.017,2.28
1993-01-10,-0.405,-0.745,-0.379,1.367,2.506
1993-01-11,-0.606,-0.956,-0.478,1.444,2.455
1993-01-12,-0.694,-1.054,-0.605,1.269,2.34
1993-01-13,-0.772,-1.115,-0.665,1.173,2.309
1993-01-14,-0.886,-1.188,-0.87,1.331,2.365
1993-01-15,-0.967,-1.192,-0.951,1.641,2.656
1993-01-16,-0.973,-1.255,-0.974,1.477,2.52
1993-01-17,-0.968,-1.286,-0.977,1.291,2.38
1993-01-18,-1.11,-1.351,-1.037,0.99,2.143
1993-01-19,-1.241,-1.425,-1.194,-0.304,0.672
1993-01-20,-1.169,-1.462,-1.311,-0.934,-0.479
1993-01-21,-1.188,-1.438,-1.338,-1.028,-0.594
1993-01-22,-1.09,-1.414,-1.333,-1.068,-0.543
1993-01-23,-1.036,-1.394,-1.352,-1.067,-0.461
1993-01-24,-1.031,-1.382,-1.346,-1.025,-0.284
1993-01-25,-1.042,-1.363,-1.364,-0.994,-0.181
1993-01-26,-1.062,-1.4,-1.463,-1.437,-0.909
1993-01-27,-1.068,-1.403,-1.466,-1.342,-0.551
1993-01-28,-1.077,-1.384,-1.456,-0.831,0.174
1993-01-29,-1.097,-1.381,-1.446,-0.75,0.639
1993-01-30,-1.095,-1.367,-1.44,-1.118,0.028
1993-01-31,-1.104,-1.373,-1.455,-1.438,-0.797
1993-02-01,-1.148,-1.403,-1.479,-1.036,-0.146
1993-02-02,-1.339,-1.449,-1.457,-0.094,0.368
1993-02-03,-1.334,-1.438,-1.317,0.352,0.689
1993-02-04,-1.326,-1.425,-1.225,0.457,0.872
1993-02-05,-1.297,-1.455,-1.232,0.389,0.901
1993-02-06,-1.244,-1.423,-1.309,0.116,0.501
1993-02-07,-1.236,-1.397,-1.307,-0.242,0.152
1993-02-08,-1.22,-1.403,-1.285,-0.384,-0.1
1993-02-09,-1.186,-1.434,-1.387,-0.582,-0.429
1993-02-10,-1.187,-1.408,-1.375,-0.699,-0.417
1993-02-11,-1.18,-1.384,-1.358,-0.857,-0.625
1993-02-12,-1.183,-1.381,-1.35,-0.866,-0.527
1993-02-13,-1.206,-1.407,-1.373,-0.872,-0.442
1993-02-14,-1.21,-1.427,-1.427,-0.886,-0.342
1993-02-15,-1.211,-1.422,-1.434,-0.771,-0.209
1993-02-16,-1.217,-1.417,-1.392,-0.642,-0.121
1993-02-17,-1.238,-1.425,-1.386,-0.582,-0.146
1993-02-18,-1.244,-1.439,-1.437,-0.65,-0.228
1993-02-19,-1.26,-1.449,-1.425,-0.594,-0.177
1993-02-20,-1.304,-1.442,-1.398,-0.468,-0.036
1993-02-21,-1.274,-1.427,-1.429,-0.492,-0.025
1993-02-22,-1.29,-1.459,-1.415,-0.562,-0.111
1993-02-23,-1.275,-1.469,-1.376,-0.583,-0.198
1993-02-24,-1.192,-1.396,-1.305,-0.557,-0.149
1993-02-25,-1.277,-1.335,-1.269,-0.579,-0.107
1993-02-26,-1.246,-1.328,-1.246,-0.598,-0.106
1993-02-27,-1.216,-1.312,-1.236,-0.616,-0.116
1993-02-28,-1.253,-1.351,-1.219,-0.613,-0.171
1993-03-01,-1.27,-1.374,-1.206,-0.475,-0.166
1993-03-02,-1.279,-1.371,-1.144,-0.337,0.057
1993-03-03,-1.247,-1.364,-1.179,-0.313,0.13
1993-03-04,-1.204,-1.338,-1.175,-0.348,0.118
1993-03-05,-1.22,-1.318,-1.154,-0.387,0.046
1993-03-06,-1.227,-1.328,-1.256,-0.305,-0.141
1993-03-07,-1.195,-1.321,-1.214,-0.271,-0.058
1993-03-08,-1.204,-1.319,-1.259,-0.291,-0.094
1993-03-09,-1.104,-1.263,-1.222,-0.349,-0.182
1993-03-10,-1.144,-1.241,-1.139,-0.426,-0.184
1993-03-11,-1.116,-1.189,-1.08,-0.434,-0.165
1993-03-12,-1.203,-1.276,-1.072,-0.482,-0.169
1993-03-13,-1.215,-1.297,-1.131,-0.516,-0.212
1993-03-14,-1.221,-1.326,-1.228,-0.63,-0.323
1993-03-15,-1.306,-1.351,-1.344,-0.85,-0.569
1993-03-16,-1.299,-1.346,-1.354,-0.935,-0.62
1993-03-17,-1.278,-1.341,-1.353,-0.901,-0.638
1993-03-18,-1.255,-1.337,-1.342,-0.871,-0.622
1993-03-19,-1.264,-1.345,-1.333,-0.749,-0.389
1993-03-20,-1.255,-1.345,-1.297,-0.608,-0.253
1993-03-21,-1.249,-1.347,-1.254,-0.521,-0.187
1993-03-22,-1.22,-1.324,-1.201,-0.482,-0.157
1993-03-23,-1.14,-1.255,-1.121,-0.453,-0.136
1993-03-24,-1.086,-1.202,-1.064,-0.43,-0.127
1993-03-25,-1.066,-1.171,-1.031,-0.426,-0.133
1993-03-26,-1.032,-1.129,-0.986,-0.423,-0.135
1993-03-27,-0.961,-1.058,-0.916,-0.405,-0.125
1993-03-28,-0.876,-0.969,-0.839,-0.373,-0.1
1993-03-29,-0.808,-0.934,-0.775,-0.351,-0.083
1993-03-30,-0.912,-1.031,-0.761,-0.353,-0.091
1993-03-31,-0.776,-0.959,-0.641,-0.251,-0.026
1993-04-01,-0.6,-0.723,-0.446,-0.05,0.114
1993-04-02,-0.503,-0.586,-0.366,0.034,0.164
1993-04-03,-0.365,-0.478,-0.318,0.083,0.193
1993-04-04,-0.075,-0.198,-0.143,0.191,0.297
1993-04-05,0.133,0.15,0.167,0.361,0.418
1993-04-06,0.505,0.533,0.538,0.57,0.541
1993-04-07,0.852,0.96,0.903,0.775,0.662
1993-04-08,1.133,1.269,1.198,0.968,0.803
1993-04-09,1.325,1.414,1.374,1.122,0.891
1993-04-10,1.526,1.539,1.454,1.268,1.01
1993-04-11,1.048,1.891,1.518,1.371,1.1
1993-04-12,0.445,2.111,1.68,1.422,1.13
1993-04-13,1.002,2.213,1.887,1.424,1.088
1993-04-14,1.631,2.063,2.079,1.362,1.053
1993-04-15,1.948,2.017,2.184,1.39,1.116
1993-04-16,2.238,2.311,2.368,1.563,1.283
1993-04-17,2.396,2.616,2.538,1.77,1.436
1993-04-18,1.802,3.028,2.813,2.027,1.714
1993-04-19,1.784,3.262,3.038,2.248,1.818
1993-04-20,2.589,3.672,3.333,2.532,1.951
1993-04-21,3.194,4.092,3.682,2.849,2.169
1993-04-22,3.27,4.341,3.915,3.056,2.312
1993-04-23,3.101,4.453,3.988,3.057,2.403
1993-04-24,3.164,4.565,4.175,3.314,2.617
1993-04-25,3.91,4.774,4.392,3.506,2.723
1993-04-26,4.089,4.953,4.522,3.664,2.936
1993-04-27,4.32,5.069,4.639,3.87,3.112
1993-04-28,4.181,4.836,4.518,3.688,3.27
1993-04-29,4.131,4.738,4.517,3.705,3.373
1993-04-30,4.173,4.775,4.46,3.708,3.305
1993-05-01,4.341,4.829,4.412,3.695,3.221
1993-05-02,4.676,5.066,4.547,3.739,3.177
1993-05-03,5.113,5.444,4.711,3.794,3.251
1993-05-04,5.204,5.617,5.002,3.972,3.43
1993-05-05,5.438,5.958,5.338,4.177,3.559
1993-05-06,5.79,6.288,5.585,4.393,3.639
1993-05-07,6.082,6.53,5.901,4.632,3.792
1993-05-08,6.338,6.772,6.207,4.702,3.93
1993-05-09,6.529,7.086,6.51,4.84,4.063
1993-05-10,6.575,7.146,6.556,4.792,4.046
1993-05-11,6.523,7.158,6.564,4.786,4.093
1993-05-12,6.521,7.04,6.549,4.866,4.115
1993-05-13,6.313,6.774,6.304,4.742,4.042
1993-05-14,6.191,6.765,6.188,4.619,3.804
1993-05-15,6.488,6.85,6.151,4.541,3.665
1993-05-16,6.803,7.076,6.224,4.567,3.622
1993-05-17,6.773,7.326,6.522,4.768,3.71
1993-05-18,6.966,7.444,6.831,4.965,3.835
1993-05-19,7.128,7.616,7.055,5.135,3.93
1993-05-20,7.021,7.572,7.025,5.006,3.834
1993-05-21,7.029,7.593,7.009,4.877,3.743
1993-05-22,7.128,7.713,7.062,4.825,3.692
1993-05-23,7.427,7.801,7.086,4.769,3.67
1993-05-24,7.783,7.923,6.89,4.642,3.63
1993-05-25,7.924,8.301,7.122,4.729,3.691
1993-05-26,7.869,8.357,7.392,4.916,3.752
1993-05-27,7.978,8.368,7.609,5.081,3.851
1993-05-28,8.117,8.448,7.871,5.299,4.013
1993-05-29,8.198,8.564,8.048,5.462,4.168
1993-05-30,8.16,8.529,8.063,5.537,4.271
1993-05-31,7.906,8.237,7.923,5.493,4.406
1993-06-01,7.91,8.245,7.713,5.597,4.602
1993-06-02,7.739,8.01,7.611,5.701,4.693
1993-06-03,8.013,8.203,7.793,6.098,4.98
1993-06-04,8.327,8.515,8.008,6.447,5.329
1993-06-05,8.573,8.806,8.29,6.662,5.625
1993-06-06,8.877,9.147,8.522,6.872,5.926
1993-06-07,8.924,9.216,8.498,6.936,6.152
1993-06-08,9.113,9.403,8.623,7.026,6.399
1993-06-09,9.504,9.704,9.015,7.237,6.688
1993-06-10,9.795,10.046,9.394,7.49,6.733
1993-06-11,10.09,10.344,9.582,7.632,6.807
1993-06-12,10.524,10.591,9.542,7.62,6.825
1993-06-13,10.739,10.844,9.592,7.617,6.881
1993-06-14,10.936,11.029,9.935,7.828,7.002
1993-06-15,11.049,11.156,10.257,8.066,7.126
1993-06-16,11.42,11.567,10.653,8.357,7.261
1993-06-17,11.842,11.946,11.074,8.729,7.467
1993-06-18,12.14,12.289,11.446,8.944,7.683
1993-06-19,12.42,12.532,11.733,9.192,7.905
1993-06-20,12.624,12.731,12.052,9.422,8.145
1993-06-21,13.017,13.072,12.346,9.737,8.449
1993-06-22,13.162,13.152,12.497,10.107,8.683
1993-06-23,13.24,13.255,12.695,10.574,8.97
1993-06-24,12.931,13.361,12.699,10.571,9.211
1993-06-25,12.804,13.416,12.925,10.763,9.51
1993-06-26,13.062,13.563,13.106,11.283,9.845
1993-06-27,13.374,13.803,13.29,12.01,9.961
1993-06-28,13.647,13.93,13.516,12.521,10.225
1993-06-29,13.816,13.934,13.659,12.996,10.681
1993-06-30,13.948,14.095,13.83,13.076,10.918
1993-07-01,14.094,14.356,14.109,12.886,11.173
1993-07-02,14.366,14.713,14.481,12.911,11.52
1993-07-03,14.539,14.854,14.664,13.062,11.737
1993-07-04,14.563,14.863,14.659,13.188,11.67
1993-07-05,14.76,15.129,14.803,13.134,11.357
1993-07-06,14.839,15.323,14.999,12.913,10.826
1993-07-07,14.975,15.52,15.209,12.86,10.118
1993-07-08,15.099,15.589,15.376,12.611,9.351
1993-07-09,15.378,15.866,15.551,12.334,8.797
1993-07-10,15.707,16.149,15.722,12.108,8.357
1993-07-11,15.848,16.405,15.846,11.825,7.819
1993-07-12,16.14,16.712,16.16,11.678,7.495
1993-07-13,16.268,16.892,16.338,11.562,7.48
1993-07-14,16.45,17.104,16.55,11.675,7.585
1993-07-15,16.713,17.311,16.838,11.995,7.881
1993-07-16,16.736,17.314,17.117,12.092,8.042
1993-07-17,16.613,17.351,17.319,12.442,8.506
1993-07-18,16.255,17.229,17.047,12.396,8.502
1993-07-19,16.179,17.096,16.978,12.113,7.919
1993-07-20,16.397,17.095,17.131,11.536,7.287
1993-07-21,16.409,16.885,16.974,10.508,6.533
1993-07-22,16.388,16.873,16.888,10.024,6.101
1993-07-23,16.6,17.093,17.006,10.388,6.535
1993-07-24,16.8,17.303,17.124,10.983,7.259
1993-07-25,16.933,17.437,17.242,11.707,8.093
1993-07-26,16.873,17.394,17.133,12.356,8.861
1993-07-27,16.969,17.487,17.201,12.811,9.056
1993-07-28,16.868,17.324,17.169,12.479,8.713
1993-07-29,16.739,17.196,17.134,11.924,8.22
1993-07-30,17.014,17.429,17.261,11.782,8.261
1993-07-31,17.177,17.629,17.327,12.049,8.67
1993-08-01,17.464,17.897,17.501,12.627,9.321
1993-08-02,17.724,18.236,17.653,13.233,10.046
1993-08-03,18.042,18.461,17.848,13.879,10.705
1993-08-04,18.43,18.773,18.2,14.603,11.38
1993-08-05,18.658,18.963,18.433,14.839,11.732
1993-08-06,18.856,19.162,18.65,15.023,11.98
1993-08-07,18.999,19.323,18.879,15.209,12.2
1993-08-08,19.003,19.31,18.928,14.982,12.028
1993-08-09,19.189,19.528,19.014,14.857,11.865
1993-08-10,19.382,19.655,19.104,14.606,11.452
1993-08-11,19.411,19.634,18.873,13.852,10.481
1993-08-12,19.37,19.629,18.393,12.813,9.304
1993-08-13,19.482,19.764,17.882,12.008,8.513
1993-08-14,19.405,19.739,16.893,11.193,7.879
1993-08-15,19.393,19.734,16.09,10.768,7.653
1993-08-16,19.572,19.816,16.249,10.899,7.747
1993-08-17,19.689,19.991,16.589,10.863,7.697
1993-08-18,19.608,19.991,16.704,10.819,7.596
1993-08-19,19.618,19.972,16.433,10.798,7.604
1993-08-20,19.672,19.993,16.173,10.84,7.63
1993-08-21,19.696,19.918,16.19,10.956,7.801
1993-08-22,19.394,19.568,16.302,10.899,8.105
1993-08-23,19.218,19.36,16.971,11.4,8.436
1993-08-24,19.071,19.215,17.735,11.962,8.828
