"Date","8 m","10 m","13 m","16 m","18 m","25 m","34 m"
1993-01-01,-0.89,0.006,0.5,3.706,1.106,2.152,2.529
1993-01-02,-1.123,-0.256,0.269,3.659,1.437,2.215,2.367
1993-01-03,-1.298,-1.159,-0.305,2.792,1.36,2.259,2.365
1993-01-04,-1.357,-1.354,-0.357,2.469,1.089,2.134,2.389
1993-01-05,-1.383,-1.05,0.056,2.484,0.47,2.01,2.349
1993-01-06,-1.366,-0.817,0.122,2.56,0.25,1.886,2.308
1993-01-07,-1.315,-0.721,0.023,2.583,0.367,1.881,2.338
1993-01-08,-1.342,-0.734,-0.038,2.748,0.402,1.871,2.38
1993-01-09,-1.426,-0.912,-0.251,2.817,0.588,1.868,2.359
1993-01-10,-1.494,-1.203,-0.564,2.279,0.561,1.87,2.323
1993-01-11,-1.544,-1.252,-0.706,2.027,0.624,1.825,2.331
1993-01-12,-1.576,-1.314,-0.84,1.817,0.56,1.733,2.301
1993-01-13,-1.608,-1.32,-0.891,1.609,0.473,1.643,2.214
1993-01-14,-1.676,-1.252,-0.974,1.275,0.53,1.571,2.133
1993-01-15,-1.706,-1.162,-0.976,1.101,0.743,1.551,2.077
1993-01-16,-1.713,-1.24,-1.004,1.105,0.667,1.375,2.003
1993-01-17,-1.71,-1.307,-1.009,1.123,0.539,1.254,1.79
1993-01-18,-1.739,-1.395,-1.084,1.141,0.323,1.13,1.599
1993-01-19,-1.75,-1.713,-1.197,0.815,-0.417,0.781,1.447
1993-01-20,-1.763,-1.776,-1.392,0.097,-1.262,0.438,1.264
1993-01-21,-1.774,-1.761,-1.516,-0.384,-1.375,0.384,1.179
1993-01-22,-1.781,-1.736,-1.561,-0.461,-1.342,0.232,0.896
1993-01-23,-1.765,-1.725,-1.553,-0.288,-1.398,0.1,0.47
1993-01-24,-1.742,-1.713,-1.564,0.585,-1.452,0.055,0.36
1993-01-25,-1.72,-1.695,-1.554,1.607,-1.487,-0.142,0.36
1993-01-26,-1.71,-1.679,-1.568,2.008,-1.542,-0.057,0.334
1993-01-27,-1.703,-1.638,-1.562,1.469,-1.443,0.071,0.327
1993-01-28,-1.693,-1.625,-1.542,1.216,-1.415,0.116,0.317
1993-01-29,-1.68,-1.598,-1.531,1.206,-1.312,0.175,0.451
1993-01-30,-1.679,-1.607,-1.583,1.227,-1.34,-0.064,0.593
1993-01-31,-1.679,-1.608,-1.625,0.598,-1.21,-0.188,0.541
1993-02-01,-1.729,-1.616,-1.616,0.216,-1.091,-0.326,0.497
1993-02-02,-1.79,-1.716,-1.627,-0.11,-0.918,-0.261,0.463
1993-02-03,-1.771,-1.786,-1.565,-0.343,-0.756,-0.168,0.427
1993-02-04,-1.772,-1.792,-1.566,-0.443,-0.77,-0.317,0.347
1993-02-05,-1.798,-1.815,-1.588,-0.458,-0.836,-0.419,0.108
1993-02-06,-1.812,-1.824,-1.615,-0.57,-1.048,-0.529,-0.135
1993-02-07,-1.818,-1.824,-1.659,-0.644,-1.186,-0.619,-0.25
1993-02-08,-1.825,-1.818,-1.693,-0.688,-1.312,-0.709,-0.362
1993-02-09,-1.834,-1.825,-1.73,-0.774,-1.464,-0.817,-0.505
1993-02-10,-1.832,-1.82,-1.738,-0.883,-1.519,-0.878,-0.576
1993-02-11,-1.826,-1.816,-1.77,-0.974,-1.631,-0.977,-0.697
1993-02-12,-1.806,-1.791,-1.767,-1.025,-1.649,-1.054,-0.784
1993-02-13,-1.806,-1.781,-1.772,-1.118,-1.666,-1.118,-0.863
1993-02-14,-1.791,-1.771,-1.779,-0.683,-1.685,-1.217,-1.105
1993-02-15,-1.744,-1.729,-1.75,0.024,-1.63,-1.222,-1.047
