"Date","10 m","25 m","29 m","40 m"
1993-01-01,3.96,4.376,4.124,5.184
1993-01-02,3.544,4.236,4.013,5.03
1993-01-03,2.793,3.881,3.369,4.683
1993-01-04,2.715,3.659,3.01,4.397
1993-01-05,3.429,3.874,3.224,4.474
1993-01-06,3.894,4.226,3.61,4.603
1993-01-07,3.842,4.245,3.845,4.621
1993-01-08,3.78,4.194,3.926,4.577
1993-01-09,3.533,4.058,3.831,4.483
1993-01-10,3.007,3.711,3.178,4.143
1993-01-11,2.729,3.273,2.647,3.71
1993-01-12,2.541,3.01,2.562,3.494
1993-01-13,2.375,2.715,2.508,3.232
1993-01-14,2.07,2.577,2.158,2.693
1993-01-15,1.803,2.101,1.6,2.126
1993-01-16,1.637,1.915,1.577,2.114
1993-01-17,1.652,1.877,1.636,2.193
1993-01-18,1.523,1.809,1.573,2.193
1993-01-19,1.537,1.66,1.266,2.253
1993-01-20,1.438,1.407,0.973,2.21
1993-01-21,1.111,1.264,0.889,2.119
1993-01-22,0.72,1.32,0.868,2.033
1993-01-23,1.09,1.334,0.983,2.055
1993-01-24,1.461,1.402,1.151,2.114
1993-01-25,1.734,1.536,1.224,2.09
1993-01-26,1.613,1.74,1.297,2.266
1993-01-27,1.467,1.733,1.369,2.394
1993-01-28,1.278,1.642,1.382,2.282
1993-01-29,1.264,1.609,1.403,2.231
1993-01-30,1.456,1.556,1.264,2.27
1993-01-31,1.387,1.448,0.925,2.361
1993-02-01,0.798,1.236,0.725,2.145
1993-02-02,0.288,0.797,0.202,1.377
1993-02-03,-0.124,0.388,0.099,0.714
1993-02-04,-0.127,0.365,0.145,0.647
1993-02-05,-0.214,0.259,0.073,0.59
1993-02-06,-0.171,0.114,-0.033,0.57
1993-02-07,-0.483,-0.058,-0.307,0.345
1993-02-08,-0.644,-0.065,-0.521,0.116
1993-02-09,-0.721,-0.256,-0.609,0.2
1993-02-10,-0.793,-0.379,-0.635,0.118
1993-02-11,-0.494,-0.367,-0.672,0.22
1993-02-12,-0.587,-0.375,-0.675,0.208
1993-02-13,-0.663,-0.34,-0.691,-0.098
1993-02-14,-0.431,-0.254,-0.581,-0.073
1993-02-15,-0.3,-0.186,-0.406,0.223
1993-02-16,-0.251,-0.176,-0.319,0.292
1993-02-17,-0.179,-0.163,-0.283,0.183
1993-02-18,-0.064,-0.069,-0.195,0.432
1993-02-19,-0.138,0.018,-0.201,0.603
1993-02-20,-0.542,-0.138,-0.437,0.282
1993-02-21,-0.649,-0.218,-0.45,0.255
1993-02-22,-0.767,-0.266,-0.505,0.192
1993-02-23,-0.694,-0.288,-0.549,0.074
1993-02-24,-0.518,-0.266,-0.513,0.051
1993-02-25,-0.447,-0.217,-0.415,0.185
1993-02-26,-0.497,-0.18,-0.368,0.239
1993-02-27,-0.587,-0.163,-0.366,0.214
1993-02-28,-0.696,-0.294,-0.572,0.009
1993-03-01,-0.834,-0.693,-0.82,-0.555
1993-03-02,-0.805,-0.672,-0.761,-0.559
1993-03-03,-0.625,-0.573,-0.663,-0.506
