"Date","22 m","47 m","78 m","92 m","110 m","131 m"
1993-01-01,6.037,6.14,6.277,6.906,7.524,7.548
1993-01-02,5.625,5.845,5.977,6.682,7.429,7.369
1993-01-03,5.096,5.465,5.408,6.164,7.189,7.155
1993-01-04,5.212,5.299,5.3,6.494,7.372,6.99
1993-01-05,4.998,5.037,5.466,6.638,7.053,6.766
1993-01-06,4.944,5.214,5.973,6.214,6.549,6.692
1993-01-07,5.044,5.633,6.066,6.061,6.053,6.811
1993-01-08,4.952,5.789,6.035,5.98,5.837,6.964
1993-01-09,4.786,5.759,5.995,5.687,5.736,6.981
1993-01-10,4.498,5.651,5.962,5.432,5.689,6.96
1993-01-11,4.401,5.584,5.955,5.415,5.734,6.968
1993-01-12,4.461,5.596,5.984,5.377,5.739,6.915
1993-01-13,4.645,5.661,5.998,5.455,5.776,6.755
1993-01-14,4.634,5.594,5.866,5.655,5.824,6.585
1993-01-15,4.437,5.407,5.485,5.86,5.771,6.287
1993-01-16,4.208,4.871,5.031,5.857,5.493,5.52
1993-01-17,4.177,4.91,5.323,5.681,5.088,5.189
1993-01-18,4.297,5.356,5.505,5.34,4.872,5.257
1993-01-19,3.955,5.608,5.51,4.81,4.846,5.317
1993-01-20,4.439,5.485,5.503,4.439,4.938,5.38
1993-01-21,4.098,5.29,5.492,4.776,5.114,5.491
1993-01-22,3.891,5.208,5.455,5.072,5.199,5.645
1993-01-23,4.053,5.259,5.431,5.051,5.213,5.612
1993-01-24,4.221,5.411,5.425,5.09,5.267,5.522
1993-01-25,4.309,5.393,5.32,5.262,5.322,5.447
1993-01-26,3.922,5.19,5.156,5.315,5.32,5.373
1993-01-27,3.889,4.89,4.97,5.231,5.295,5.386
1993-01-28,3.849,4.575,4.947,5.36,5.311,5.442
1993-01-29,3.537,4.198,4.97,5.323,5.35,5.459
1993-01-30,3.396,4.137,4.513,5.193,5.35,5.28
1993-01-31,3.142,4.171,4.295,4.5,5.224,5.318
1993-02-01,3.27,3.986,4.316,4.658,5.339,5.17
1993-02-02,3.127,3.726,4.302,5.009,5.391,4.554
1993-02-03,3.167,3.528,4.228,4.756,5.187,4.134
1993-02-04,2.965,3.499,3.925,4.639,4.798,3.845
1993-02-05,2.545,3.5,4.188,4.531,4.371,3.834
1993-02-06,2.624,4.048,4.443,4.385,4.015,4.173
1993-02-07,2.791,4.19,4.509,4.187,4.042,4.245
1993-02-08,2.781,4.176,4.435,4.122,4.167,4.16
1993-02-09,2.243,3.97,4.103,3.96,4.209,4.045
1993-02-10,2.378,3.254,3.687,3.82,4.187,3.84
1993-02-11,2.197,2.764,3.697,4.018,4.044,3.736
1993-02-12,2.224,2.903,3.838,3.747,3.883,3.786
1993-02-13,2.326,3.251,3.906,3.701,3.778,3.863
1993-02-14,2.511,3.597,3.88,3.708,3.78,3.857
1993-02-15,2.539,3.582,3.875,3.553,3.794,3.823
1993-02-16,2.71,3.577,3.826,3.708,3.804,3.81
1993-02-17,2.844,3.481,3.748,3.784,3.777,3.782
1993-02-18,2.775,3.37,3.67,3.738,3.706,3.728
1993-02-19,2.641,3.206,3.612,3.636,3.632,3.666
1993-02-20,2.496,3.081,3.536,3.564,3.587,3.641
1993-02-21,2.289,2.942,3.454,3.539,3.565,3.613
1993-02-22,2.164,2.76,3.354,3.476,3.523,3.576
1993-02-23,2.304,2.802,3.127,3.412,3.493,3.489
1993-02-24,2.375,2.802,2.765,3.361,3.413,3.301
1993-02-25,2.328,2.675,2.495,3.328,3.273,3.078
1993-02-26,2.025,2.359,2.408,3.29,3.129,2.98
1993-02-27,1.865,2.008,2.406,3.212,3.018,2.966
1993-02-28,1.781,1.853,2.419,3.143,2.985,2.934
1993-03-01,1.515,1.797,2.403,3.133,3.021,2.955
1993-03-02,1.386,1.882,2.37,3.121,3.036,2.925
1993-03-03,1.403,1.984,2.309,3.131,3.014,2.855
1993-03-04,1.518,2.098,2.142,3.121,2.922,2.725
1993-03-05,1.587,2.017,2.077,3.048,2.749,2.595
1993-03-06,1.48,1.943,2.223,2.885,2.5,2.494
1993-03-07,1.402,2.364,2.512,2.588,2.242,2.457
1993-03-08,1.386,2.566,2.563,2.53,2.341,2.43
1993-03-09,1.598,2.539,2.52,2.378,2.452,2.446
1993-03-10,1.606,2.393,2.311,2.421,2.439,2.396
1993-03-11,1.51,2.233,2.208,2.411,2.366,2.348
1993-03-12,1.39,2.186,2.173,2.364,2.274,2.324
1993-03-13,1.237,2.227,2.202,2.3,2.18,2.311
1993-03-14,1.331,2.254,2.257,2.181,2.135,2.348
1993-03-15,1.285,2.329,2.301,2.14,2.139,2.373
1993-03-16,1.149,2.149,2.265,2.131,2.13,2.321
1993-03-17,1.341,1.966,2.216,2.107,2.15,2.303
1993-03-18,1.45,1.807,2.22,2.186,2.185,2.337
1993-03-19,1.269,1.558,2.19,2.192,2.213,2.365
1993-03-20,1.291,1.452,2.188,2.227,2.286,2.429
1993-03-21,1.365,1.488,2.237,2.308,2.366,2.461
1993-03-22,1.472,1.628,2.251,2.438,2.376,2.46
1993-03-23,1.54,1.726,2.198,2.463,2.359,2.435
1993-03-24,1.54,1.694,2.142,2.401,2.365,2.433
1993-03-25,1.546,1.65,2.117,2.389,2.391,2.435
1993-03-26,1.65,1.644,2.104,2.409,2.386,2.425
1993-03-27,1.798,1.638,2.037,2.405,2.345,2.397
1993-03-28,1.929,1.611,1.941,2.35,2.308,2.375
1993-03-29,2.044,1.59,1.862,2.315,2.298,2.359
1993-03-30,2.103,1.578,1.786,2.29,2.286,2.337
1993-03-31,2.16,1.568,1.699,2.271,2.263,2.305
1993-04-01,2.201,1.565,1.614,2.244,2.226,2.263
1993-04-02,2.184,1.536,1.559,2.177,2.176,2.221
1993-04-03,2.207,1.466,1.434,2.089,2.027,2.109
1993-04-04,2.123,1.343,1.286,1.923,1.798,1.993
1993-04-05,1.936,1.22,1.164,1.683,1.612,1.913
1993-04-06,1.977,1.174,1.113,1.533,1.465,1.855
1993-04-07,2.063,1.193,1.091,1.385,1.291,1.806
1993-04-08,2.148,1.245,1.093,1.231,1.179,1.766
1993-04-09,2.276,1.316,1.134,1.141,1.153,1.741
1993-04-10,2.415,1.385,1.202,1.144,1.151,1.732
1993-04-11,2.542,1.426,1.273,1.168,1.139,1.733
1993-04-12,2.601,1.438,1.335,1.189,1.109,1.745
1993-04-13,2.553,1.482,1.375,1.178,1.094,1.746
1993-04-14,2.413,1.58,1.392,1.176,1.12,1.743
1993-04-15,2.477,1.682,1.39,1.212,1.175,1.757
1993-04-16,2.622,1.737,1.378,1.258,1.229,1.767
1993-04-17,2.746,1.723,1.38,1.284,1.247,1.77
1993-04-18,2.884,1.643,1.408,1.297,1.243,1.759
1993-04-19,3.026,1.669,1.439,1.32,1.242,1.762
1993-04-20,3.101,1.77,1.436,1.321,1.257,1.755
1993-04-21,3.289,1.828,1.434,1.332,1.284,1.754
1993-04-22,3.511,1.901,1.484,1.417,1.327,1.767
1993-04-23,3.576,1.995,1.55,1.517,1.371,1.784
1993-04-24,3.795,2.052,1.599,1.65,1.446,1.805
1993-04-25,3.938,2.184,1.662,1.822,1.5,2.135
1993-04-26,3.903,2.262,1.714,1.789,1.578,2.425
1993-04-27,3.955,2.337,1.757,1.962,1.698,2.561
1993-04-28,3.755,2.491,1.807,2.118,1.774,2.815
1993-04-29,3.703,2.53,1.814,2.055,1.888,3.051
1993-04-30,3.728,2.468,1.814,2.062,2.012,3.141
1993-05-01,3.763,2.392,1.832,2.125,1.985,3.11
1993-05-02,3.607,2.342,1.849,2.068,1.89,3.066
1993-05-03,3.634,2.328,1.842,1.976,1.829,3.068
1993-05-04,3.546,2.303,1.823,1.888,1.787,3.089
1993-05-05,3.796,2.301,1.811,1.876,1.733,3.089
1993-05-06,3.838,2.381,1.817,1.863,1.71,3.125
1993-05-07,4.144,2.454,1.821,1.877,1.727,3.191
1993-05-08,4.3,2.545,1.833,1.918,1.808,3.298
1993-05-09,4.534,2.57,1.849,2.005,1.962,3.393
1993-05-10,4.753,2.645,1.885,2.121,2.045,3.482
1993-05-11,4.622,2.72,1.907,2.175,2.212,3.543
1993-05-12,4.746,2.75,1.915,2.269,2.332,3.577
1993-05-13,4.669,2.803,1.938,2.307,2.32,3.574
1993-05-14,4.781,2.799,1.932,2.318,2.363,3.555
1993-05-15,4.803,2.837,1.965,2.348,2.359,3.579
1993-05-16,4.645,2.85,1.975,2.359,2.458,3.615
1993-05-17,4.837,2.791,1.987,2.424,2.579,3.643
1993-05-18,4.866,2.842,2.035,2.51,2.557,3.687
1993-05-19,4.772,2.906,2.071,2.568,2.607,3.758
1993-05-20,4.845,2.913,2.118,2.659,2.744,3.849
1993-05-21,4.939,2.976,2.19,2.798,2.832,3.952
1993-05-22,4.964,3.068,2.267,2.924,2.922,4.051
1993-05-23,5.103,3.18,2.358,3.062,3.027,4.154
1993-05-24,5.205,3.314,2.479,3.207,3.186,4.273
1993-05-25,5.277,3.427,2.607,3.354,3.404,4.38
1993-05-26,5.471,3.465,2.704,3.525,3.596,4.458
1993-05-27,5.55,3.527,2.802,3.649,3.626,4.504
1993-05-28,5.571,3.593,2.912,3.695,3.655,4.566
1993-05-29,5.595,3.602,3.024,3.754,3.751,4.642
1993-05-30,5.646,3.538,3.122,3.862,3.853,4.705
1993-05-31,5.671,3.56,3.246,3.931,3.85,4.77
1993-06-01,5.283,3.508,3.277,3.913,3.973,4.809
1993-06-02,5.013,3.305,3.157,3.95,4.018,4.692
1993-06-03,4.798,3.287,3.049,3.853,3.656,4.562
1993-06-04,4.595,3.407,2.975,3.618,3.498,4.565
1993-06-05,4.972,3.405,2.945,3.518,3.6,4.627
1993-06-06,5.268,3.383,2.969,3.511,3.684,4.683
1993-06-07,5.274,3.335,2.975,3.495,3.733,4.688
1993-06-08,5.354,3.355,2.977,3.489,3.629,4.675
1993-06-09,5.277,3.451,2.998,3.461,3.562,4.713
