"Date","34 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m"
1993-01-01,6.11,5.79,6.32,6.73,6.52,5.26,5.66,5.81
1993-01-02,6.01,5.75,6.21,6.74,6.58,5.23,5.7,5.83
1993-01-03,5.75,5.61,6.06,6.68,6.47,5.14,5.78,5.86
1993-01-04,5.58,5.42,6.06,6.66,6.5,5.14,5.69,5.83
1993-01-05,5.51,5.49,5.91,6.6,6.53,5.28,5.66,5.77
1993-01-06,5.33,5.52,5.71,6.38,6.48,5.35,5.68,5.8
1993-01-07,5.26,5.43,5.83,6.22,6.33,5.35,5.68,5.82
1993-01-08,5.28,5.33,5.86,6.16,6.35,5.4,5.63,5.8
1993-01-09,5.18,5.14,5.72,6.08,6.3,5.39,5.64,5.76
1993-01-10,4.97,4.81,5.52,6.17,6.27,5.38,5.63,5.73
1993-01-11,4.85,4.59,5.26,6.14,6.25,5.35,5.62,5.72
1993-01-12,4.82,4.51,4.92,6.03,6.23,5.34,5.6,5.72
1993-01-13,4.73,4.44,4.72,5.92,6.2,5.31,5.57,5.71
1993-01-14,4.46,4.16,4.53,5.54,6,5.27,5.55,5.66
1993-01-15,4.02,3.61,4.48,5.39,5.86,5.25,5.46,5.61
1993-01-16,3.88,3.49,4.25,5.18,5.68,5.26,5.44,5.52
1993-01-17,3.88,3.48,3.95,4.76,5.42,5.26,5.42,5.51
1993-01-18,3.77,3.34,3.87,4.58,5.37,5.24,5.39,5.49
1993-01-19,3.68,3.26,3.79,4.43,5.28,5.24,5.37,5.47
1993-01-20,3.35,2.89,3.75,4.41,5.19,5.24,5.36,5.47
1993-01-21,3.05,2.59,3.8,4.39,5.14,5.25,5.38,5.48
1993-01-22,2.87,2.45,3.64,4.35,5.09,5.28,5.39,5.48
1993-01-23,2.91,2.48,3.39,4.27,5.01,5.27,5.43,5.5
1993-01-24,3.04,2.64,3.23,4.19,4.91,5.3,5.43,5.52
1993-01-25,3.24,2.91,3.26,4.07,4.92,5.34,5.48,5.52
1993-01-26,3.34,3.04,3.29,4,4.86,5.34,5.51,5.53
1993-01-27,3.26,2.93,3.43,3.99,4.83,5.46,5.59,5.59
1993-01-28,3.04,2.75,3.49,3.98,4.74,5.52,5.63,5.63
1993-01-29,3.01,2.75,3.47,3.97,4.72,5.59,5.68,5.65
1993-01-30,2.94,2.7,3.48,4,4.7,5.69,5.73,5.67
1993-01-31,2.78,2.53,3.35,4.03,4.66,5.74,5.77,5.7
1993-02-01,2.51,2.29,3.64,4.01,4.66,5.76,5.77,5.71
1993-02-02,2.19,1.91,3.58,4.05,4.56,5.67,5.71,5.69
1993-02-03,1.86,1.62,3.01,3.91,4.41,5.55,5.66,5.65
1993-02-04,1.85,1.58,2.35,3.64,4.28,5.48,5.63,5.64
1993-02-05,1.97,1.66,1.98,3.41,4.22,5.48,5.63,5.6
1993-02-06,2.08,1.73,2.02,3.29,4.2,5.44,5.63,5.6
1993-02-07,1.77,1.51,2.27,3.33,4.21,5.45,5.66,5.6
1993-02-08,1.46,1.33,2.55,3.39,4.18,5.43,5.67,5.61
1993-02-09,1.46,1.26,2.29,3.28,4.06,5.38,5.71,5.63
1993-02-10,1.32,1.03,2.06,3.09,4,5.54,5.72,5.66
1993-02-11,1.27,0.96,1.98,3.08,3.98,5.53,5.71,5.67
1993-02-12,1.12,0.83,1.95,2.96,3.89,5.53,5.7,5.66
1993-02-13,0.88,0.71,1.89,2.96,3.79,5.51,5.66,5.64
1993-02-14,1.05,0.8,1.5,2.75,3.61,5.18,5.61,5.6
1993-02-15,1.29,0.89,1.37,2.57,3.61,5.26,5.61,5.59
1993-02-16,1.23,0.88,1.48,2.63,3.65,5.29,5.59,5.58
1993-02-17,1.11,0.86,1.62,2.68,3.71,5.24,5.55,5.55
1993-02-18,1.42,1.02,1.56,2.45,3.48,4.91,5.44,5.48
1993-02-19,1.39,1.02,1.49,2.34,3.24,4.75,5.39,5.41
1993-02-20,1.15,0.95,1.35,2.4,3.29,4.68,5.31,5.37
1993-02-21,1.04,0.91,1.26,2.29,3.12,4.47,5.19,5.28
1993-02-22,0.88,0.91,1.27,2.27,3.02,4.36,5.12,5.24
1993-02-23,0.8,0.93,1.25,2.3,2.96,4.1,4.96,5.15
1993-02-24,0.87,0.91,1.24,2.2,2.85,4.08,4.96,5.11
1993-02-25,0.87,1.01,1.27,2.31,2.91,4.01,4.89,5.08
1993-02-26,0.92,1.03,1.28,2.29,2.95,4.01,4.89,5.06
1993-02-27,0.89,1.06,1.31,2.29,2.93,4.05,4.86,5.05
1993-02-28,0.83,1.11,1.32,2.33,2.94,3.99,4.81,5.04
1993-03-01,0.91,1.34,1.18,2.19,2.88,3.94,4.79,5.04
1993-03-02,0.93,1.35,1.16,2.06,2.76,3.61,4.67,4.97
1993-03-03,0.91,1.19,1.19,2,2.76,3.82,4.8,4.99
1993-03-04,0.96,1.3,1.36,2.16,2.87,3.84,4.77,4.95
1993-03-05,1.04,1.45,1.58,2.34,2.98,3.85,4.77,4.93
1993-03-06,1.17,1.7,1.65,2.38,2.9,3.86,4.77,4.95
1993-03-07,1.54,1.99,1.7,2.41,2.88,3.5,4.61,4.98
1993-03-08,1.32,1.6,1.59,2.26,2.85,3.58,4.83,5.01
