"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
1993-01-01,1.74,1.89,1.35,1.79,2.46,2.7,3.7,5.16,5.02
1993-01-02,1.78,1.97,1.36,1.81,2.5,2.72,3.8,5.28,5.01
1993-01-03,1.74,1.89,1.4,1.83,2.52,2.78,3.83,5.32,5.01
1993-01-04,1.59,1.77,1.42,1.86,2.5,2.8,3.8,5.35,5.01
1993-01-05,1.54,1.69,1.42,1.85,2.46,2.76,3.76,5.32,5.01
1993-01-06,1.57,1.74,1.42,1.89,2.47,2.79,3.76,5.42,5.01
1993-01-07,1.54,1.68,1.41,1.9,2.48,2.79,3.78,5.49,5.01
1993-01-08,1.49,1.65,1.4,1.87,2.43,2.76,3.77,5.47,5.01
1993-01-09,1.5,1.65,1.39,1.88,2.42,2.76,3.78,5.54,5.02
1993-01-10,1.48,1.67,1.37,1.86,2.42,2.74,3.78,5.54,5.03
1993-01-11,1.46,1.7,1.34,1.84,2.39,2.69,3.81,5.53,5.04
1993-01-12,1.44,1.66,1.32,1.79,2.36,2.62,3.79,5.44,5.05
1993-01-13,1.44,1.69,1.3,1.8,2.31,2.59,3.73,5.45,5.06
1993-01-14,1.42,1.63,1.3,1.78,2.29,2.55,3.68,5.39,5.07
1993-01-15,1.42,1.68,1.29,1.78,2.25,2.52,3.63,5.33,5.08
1993-01-16,1.43,1.63,1.28,1.74,2.23,2.48,3.58,5.23,5.09
1993-01-17,1.43,1.63,1.28,1.73,2.21,2.48,3.54,5.24,5.1
1993-01-18,1.41,1.6,1.28,1.73,2.21,2.49,3.51,5.26,5.1
1993-01-19,1.4,1.58,1.28,1.72,2.21,2.5,3.47,5.22,5.09
1993-01-20,1.37,1.56,1.3,1.73,2.21,2.5,3.45,5.16,5.09
1993-01-21,1.34,1.55,1.35,1.75,2.18,2.49,3.42,5.11,5.09
1993-01-22,1.31,1.55,1.35,1.74,2.14,2.46,3.41,5.05,5.07
1993-01-23,1.31,1.51,1.32,1.69,2.13,2.43,3.42,5.04,5.06
1993-01-24,1.28,1.5,1.29,1.65,2.15,2.42,3.48,5.15,5.05
1993-01-25,1.28,1.48,1.29,1.62,2.16,2.4,3.5,5.25,5.02
1993-01-26,1.27,1.45,1.29,1.61,2.12,2.42,3.51,5.34,5.01
1993-01-27,1.24,1.35,1.25,1.59,2.1,2.4,3.49,5.42,5.01
1993-01-28,1.21,1.4,1.25,1.65,2.1,2.41,3.47,5.51,5.01
1993-01-29,1.21,1.43,1.27,1.64,2.11,2.43,3.51,5.5,5.01
1993-01-30,1.2,1.4,1.29,1.69,2.14,2.46,3.59,5.47,5.02
1993-01-31,1.21,1.42,1.3,1.66,2.15,2.44,3.63,5.4,5.03
1993-02-01,1.21,1.39,1.32,1.69,2.15,2.46,3.67,5.42,5.04
1993-02-02,1.19,1.36,1.34,1.7,2.19,2.49,3.72,5.41,5.04
1993-02-03,1.15,1.34,1.36,1.71,2.22,2.5,3.75,5.36,5.04
1993-02-04,1.13,1.32,1.36,1.69,2.21,2.5,3.73,5.31,5.04
1993-02-05,1.13,1.36,1.35,1.67,2.19,2.5,3.72,5.32,5.05
1993-02-06,1.15,1.36,1.34,1.67,2.16,2.49,3.7,5.33,5.06
1993-02-07,1.16,1.39,1.35,1.69,2.15,2.47,3.68,5.34,5.06
1993-02-08,1.12,1.33,1.4,1.74,2.15,2.48,3.67,5.32,5.06
1993-02-09,1.1,1.31,1.42,1.73,2.17,2.47,3.64,5.25,5.06
1993-02-10,1.13,1.37,1.37,1.71,2.16,2.45,3.6,5.19,5.07
1993-02-11,1.03,1.27,1.4,1.73,2.14,2.47,3.63,5.23,5.07
1993-02-12,0.98,1.28,1.35,1.69,2.13,2.44,3.64,5.22,5.07
1993-02-13,0.87,1.11,1.35,1.68,2.13,2.46,3.72,5.24,5.07
1993-02-14,0.83,0.94,1.34,1.64,2.15,2.46,3.82,5.26,5.07
1993-02-15,0.82,0.93,1.35,1.61,2.18,2.5,3.96,5.29,5.08
1993-02-16,0.77,0.92,1.31,1.62,2.16,2.51,4.04,5.37,5.08
1993-02-17,0.79,0.93,1.27,1.6,2.13,2.48,4.04,5.41,5.08
1993-02-18,0.68,0.83,1.24,1.55,2.08,2.45,3.97,5.45,5.09
1993-02-19,0.7,0.92,1.18,1.51,2.02,2.37,3.91,5.47,5.11
1993-02-20,0.62,0.83,1.12,1.46,1.92,2.29,3.8,5.55,5.12
1993-02-21,0.68,0.95,1.05,1.39,1.82,2.11,3.65,5.49,5.14
1993-02-22,0.6,0.82,0.98,1.33,1.71,1.99,3.46,5.5,5.15
1993-02-23,0.47,0.69,0.89,1.24,1.61,1.87,3.39,5.46,5.16
1993-02-24,0.38,0.54,0.82,1.15,1.53,1.76,3.31,5.43,5.17
1993-02-25,0.34,0.49,0.79,1.13,1.51,1.75,3.3,5.4,5.18
1993-02-26,0.34,0.52,0.79,1.13,1.51,1.76,3.3,5.41,5.18
1993-02-27,0.33,0.54,0.78,1.13,1.5,1.76,3.29,5.43,5.19
1993-02-28,0.3,0.52,0.76,1.12,1.5,1.75,3.3,5.41,5.2
1993-03-01,0.26,0.47,0.77,1.12,1.5,1.73,3.29,5.35,5.2
1993-03-02,0.22,0.38,0.74,1.1,1.52,1.74,3.28,5.3,5.21
1993-03-03,0.16,0.33,0.72,1.07,1.57,1.79,3.39,5.31,5.22
1993-03-04,0.17,0.35,0.73,1.1,1.66,1.94,3.63,5.35,5.22
1993-03-05,0.21,0.39,0.75,1.14,1.73,2.06,3.84,5.38,5.21
1993-03-06,0.2,0.39,0.78,1.2,1.83,2.22,4.11,5.41,5.2
1993-03-07,0.2,0.39,0.82,1.27,2.03,2.45,4.39,5.39,5.18
1993-03-08,0.25,0.55,0.94,1.36,2.37,2.94,4.77,5.4,5.19
1993-03-09,0.37,0.7,0.98,1.44,2.44,3.14,5.1,5.43,5.22
1993-03-10,0.41,0.73,0.98,1.5,2.45,3.27,5.2,5.48,5.19
1993-03-11,0.41,0.73,0.96,1.52,2.51,3.37,5.13,5.45,5.19
1993-03-12,0.32,0.7,0.99,1.6,2.62,3.45,5.04,5.41,5.21
1993-03-13,0.38,0.84,1.07,1.67,2.77,3.56,4.97,5.35,5.25
1993-03-14,0.37,0.81,1.02,1.66,2.66,3.52,4.95,5.3,5.27
1993-03-15,0.32,0.65,1.1,1.73,2.71,3.54,4.82,5.22,5.29
1993-03-16,0.39,0.84,1.21,1.82,2.74,3.55,4.78,5.22,5.34
1993-03-17,0.39,0.72,1.2,1.79,2.68,3.53,4.75,5.18,5.35
1993-03-18,0.38,0.69,1.16,1.75,2.6,3.48,4.76,5.14,5.39
1993-03-19,0.31,0.72,1.18,1.84,2.68,3.51,4.69,5.17,5.41
1993-03-20,0.34,0.76,1.14,1.9,2.8,3.51,4.47,5.09,5.41
1993-03-21,0.33,0.77,1.08,1.82,2.75,3.51,4.46,4.97,5.43
1993-03-22,0.26,0.74,1.07,1.82,2.73,3.46,4.41,4.94,5.44
1993-03-23,0.22,0.71,1.08,1.83,2.73,3.45,4.31,4.94,5.45
1993-03-24,0.18,0.71,1.08,1.83,2.67,3.44,4.35,4.99,5.46
1993-03-25,0.15,0.68,1.05,1.82,2.61,3.39,4.37,4.99,5.45
1993-03-26,0.16,0.68,1.04,1.79,2.59,3.35,4.41,4.96,5.46
1993-03-27,0.13,0.66,1.03,1.78,2.55,3.32,4.44,4.99,5.45
1993-03-28,0.15,0.63,1.01,1.77,2.54,3.29,4.37,5.02,5.44
1993-03-29,0.15,0.61,1,1.75,2.52,3.27,4.36,5.04,5.43
1993-03-30,0.18,0.6,0.99,1.73,2.51,3.25,4.33,5.03,5.42
1993-03-31,0.17,0.6,1.01,1.73,2.48,3.23,4.31,5.07,5.4
1993-04-01,0.23,0.65,1,1.73,2.52,3.23,4.3,5.09,5.4
1993-04-02,0.23,0.66,0.99,1.69,2.42,3.18,4.47,5.11,5.39
1993-04-03,0.22,0.62,0.99,1.68,2.41,3.15,4.54,5.15,5.37
1993-04-04,0.24,0.61,0.99,1.69,2.44,3.13,4.51,5.14,5.33
1993-04-05,0.28,0.63,0.96,1.65,2.38,3.07,4.6,5.07,5.3
1993-04-06,0.3,0.69,0.94,1.62,2.36,3.02,4.7,5.06,5.29
1993-04-07,0.29,0.69,0.93,1.62,2.36,3,4.63,5.06,5.27
1993-04-08,0.27,0.68,0.89,1.59,2.35,2.96,4.49,5.02,5.26
1993-04-09,0.25,0.64,0.86,1.56,2.28,2.92,4.25,4.97,5.24
1993-04-10,0.22,0.61,0.83,1.53,2.23,2.86,4.09,4.92,5.24
1993-04-11,0.2,0.58,0.81,1.5,2.16,2.8,3.96,4.88,5.24
1993-04-12,0.18,0.55,0.77,1.46,2.1,2.75,3.86,4.84,5.23
1993-04-13,0.19,0.51,0.75,1.43,2.02,2.7,3.73,4.83,5.22
1993-04-14,0.19,0.46,0.73,1.4,1.96,2.65,3.62,4.86,5.22
1993-04-15,0.26,0.49,0.71,1.37,1.95,2.55,3.59,4.87,5.21
1993-04-16,0.3,0.52,0.69,1.33,1.99,2.49,3.59,4.76,5.21
1993-04-17,0.34,0.56,0.69,1.31,1.93,2.4,3.8,4.74,5.22
1993-04-18,0.34,0.57,0.67,1.28,1.91,2.32,3.88,4.71,5.23
1993-04-19,0.34,0.57,0.65,1.24,1.9,2.26,3.94,4.69,5.25
1993-04-20,0.36,0.56,0.66,1.23,1.87,2.24,3.97,4.74,5.26
1993-04-21,0.37,0.55,0.67,1.23,1.85,2.22,3.97,4.79,5.28
1993-04-22,0.41,0.57,0.7,1.25,1.85,2.24,3.89,4.78,5.27
1993-04-23,0.45,0.6,0.73,1.27,1.85,2.26,3.8,4.75,5.27
1993-04-24,0.51,0.65,0.78,1.3,1.83,2.27,3.69,4.76,5.28
1993-04-25,0.57,0.71,0.84,1.34,1.84,2.29,3.63,4.77,5.28
1993-04-26,0.62,0.78,0.88,1.38,1.86,2.31,3.59,4.75,5.26
1993-04-27,0.68,0.83,0.92,1.4,1.9,2.33,3.54,4.7,5.28
1993-04-28,0.75,0.88,0.98,1.46,1.91,2.35,3.56,4.77,5.27
1993-04-29,0.76,0.91,1.02,1.48,1.94,2.38,3.49,4.81,5.27
1993-04-30,0.8,0.94,1.03,1.5,1.95,2.38,3.52,4.84,5.28
1993-05-01,0.82,0.96,1.07,1.51,1.97,2.38,3.51,4.86,5.29
1993-05-02,0.84,0.97,1.11,1.52,1.98,2.38,3.51,4.91,5.31
1993-05-03,0.88,1,1.12,1.54,1.98,2.36,3.53,4.97,5.33
1993-05-04,0.9,1.01,1.12,1.56,1.99,2.35,3.54,5,5.32
1993-05-05,0.94,1.1,1.13,1.56,2.01,2.32,3.49,4.98,5.37
1993-05-06,0.97,1.1,1.15,1.58,2.02,2.33,3.52,5.04,5.37
1993-05-07,0.99,1.13,1.15,1.58,2.04,2.32,3.49,5.07,5.39
1993-05-08,1,1.13,1.14,1.6,2.06,2.34,3.5,5.13,5.38
1993-05-09,1.01,1.13,1.13,1.61,2.09,2.33,3.49,5.15,5.38
1993-05-10,1.04,1.16,1.15,1.65,2.14,2.39,3.57,5.23,5.36
1993-05-11,1.05,1.15,1.16,1.69,2.19,2.43,3.68,5.32,5.34
1993-05-12,1.06,1.15,1.17,1.71,2.23,2.49,3.8,5.42,5.33
1993-05-13,1.07,1.15,1.17,1.71,2.25,2.54,3.91,5.52,5.33
1993-05-14,1.08,1.17,1.17,1.73,2.29,2.65,4.03,5.64,5.33
1993-05-15,1.1,1.17,1.18,1.75,2.34,2.76,4.22,5.75,5.32
1993-05-16,1.11,1.19,1.2,1.79,2.38,2.82,4.35,5.84,5.32
1993-05-17,1.13,1.23,1.2,1.81,2.38,2.78,4.29,5.92,5.32
1993-05-18,1.16,1.26,1.21,1.85,2.45,2.79,4.22,6,5.33
1993-05-19,1.16,1.27,1.25,1.91,2.52,2.81,4.26,6.09,5.33
1993-05-20,1.16,1.27,1.32,1.98,2.6,2.88,4.34,6.19,5.35
1993-05-21,1.15,1.26,1.38,2.06,2.71,3.06,4.61,6.31,5.37
1993-05-22,1.15,1.26,1.42,2.12,2.81,3.3,4.88,6.44,5.39
1993-05-23,1.15,1.27,1.45,2.15,2.87,3.54,5.09,6.47,5.41
1993-05-24,1.16,1.3,1.51,2.19,3,3.87,5.35,6.47,5.42
1993-05-25,1.2,1.4,1.61,2.26,3.22,4.27,5.79,6.44,5.42
1993-05-26,1.27,1.52,1.63,2.32,3.36,4.44,5.82,6.42,5.42
1993-05-27,1.33,1.6,1.63,2.41,3.44,4.51,5.72,6.43,5.41
1993-05-28,1.42,1.68,1.69,2.5,3.53,4.58,5.76,6.45,5.4
1993-05-29,1.52,1.75,1.71,2.56,3.52,4.57,5.72,6.46,5.4
1993-05-30,1.63,1.81,1.69,2.56,3.45,4.53,5.64,6.48,5.4
1993-05-31,1.67,1.87,1.69,2.59,3.52,4.56,5.77,6.48,5.39
1993-06-01,1.69,1.95,1.68,2.6,3.55,4.52,5.89,6.48,5.38
1993-06-02,1.7,1.96,1.64,2.53,3.39,4.41,5.7,6.49,5.39
1993-06-03,1.68,1.92,1.65,2.51,3.31,4.36,5.58,6.47,5.4
1993-06-04,1.66,1.92,1.62,2.48,3.27,4.29,5.49,6.44,5.4
1993-06-05,1.61,1.89,1.59,2.46,3.21,4.26,5.48,6.41,5.4
1993-06-06,1.56,1.86,1.55,2.43,3.17,4.21,5.44,6.38,5.4
1993-06-07,1.53,1.85,1.53,2.41,3.12,4.16,5.33,6.34,5.4
1993-06-08,1.51,1.85,1.53,2.4,3.12,4.13,5.35,6.3,5.4
1993-06-09,1.6,1.9,1.55,2.38,3.21,4.05,5.38,6.24,5.4
1993-06-10,1.57,1.93,1.52,2.4,3.15,4.01,5.3,6.21,5.41
1993-06-11,1.53,1.94,1.51,2.4,3.11,3.98,5.22,6.18,5.41
1993-06-12,1.51,1.9,1.52,2.39,3.12,3.94,5.19,6.13,5.41
